,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,3.9317847811748696e-11,4.487134541228933e-11,[4.53830113e-11 2.09702862e-11 4.13200805e-11 4.95980132e-11],[4.47477833e-11 3.10055814e-11 1.40643065e-11 6.74537200e-11],inf,inf,3.9317847811748696e-11,1.0,2.3389796810475525e-20,2.0024426561349173e-10,0,adam
1,1,4.539304986034729e-11,5.023613875157171e-11,[4.55534809e-11 1.67803097e-11 5.81528827e-11 6.10855261e-11],[4.37110144e-11 5.45127687e-11 1.66359120e-11 6.67125044e-11],inf,inf,4.539304986034729e-11,1.0,3.033087746785725e-20,2.311848490421653e-10,0,adam
2,2,4.960505980628232e-11,4.2379633759798585e-11,[5.14830318e-11 1.56364633e-11 7.23683883e-11 5.89323559e-11],[5.17458426e-11 3.51516107e-11 4.88485357e-11 6.26742502e-11],inf,inf,4.960505980628233e-11,1.0,3.059333607823812e-20,2.5263657832397257e-10,0,adam
3,3,4.5478829626220195e-11,4.24656792817754e-11,[5.56349032e-11 1.11386824e-11 5.94597870e-11 5.56819458e-11],[4.26915104e-11 4.02186117e-11 2.96363314e-11 6.93688650e-11],inf,inf,4.5478829626220195e-11,1.0,2.5433950515247143e-20,2.3162161078005283e-10,0,adam
4,4,6.414514430612298e-11,5.553355531444449e-11,[6.54462773e-11 2.13917951e-11 8.23042793e-11 8.74382255e-11],[6.37503884e-11 4.69189814e-11 4.60023914e-11 9.99088160e-11],inf,inf,6.414514430612298e-11,1.0,7.869908147970332e-20,3.266884540664705e-10,0,adam
5,5,6.334226422685404e-11,6.052929981078973e-11,[6.49813008e-11 1.62885203e-11 7.80494285e-11 9.40498073e-11],[7.48686669e-11 3.42588907e-11 3.76513224e-11 1.06590177e-10],inf,inf,6.334226422685402e-11,1.0,6.302957568051169e-20,3.2259950266677606e-10,0,adam
6,6,6.236399341028601e-11,6.173259051049406e-11,[7.84977068e-11 1.58309119e-11 7.93242445e-11 7.58031104e-11],[7.39128165e-11 3.64951376e-11 3.75750253e-11 1.01472994e-10],inf,inf,6.236399341028601e-11,1.0,7.232920650764925e-20,3.176172658214682e-10,0,adam
7,7,5.829519861475593e-11,7.711111471543111e-11,[6.54750086e-11 1.52357072e-11 1.06926538e-10 4.55435405e-11],[7.30120744e-11 1.83130535e-11 3.13251574e-11 1.10530509e-10],inf,inf,5.829519861475593e-11,1.0,6.590838189195352e-20,2.968951751114446e-10,0,adam
8,8,6.304158271335306e-11,8.460240972244066e-11,[7.02713074e-11 1.80980265e-11 1.18348610e-10 4.54483871e-11],[9.52667682e-11 3.33011221e-11 2.41341099e-11 9.94643307e-11],inf,inf,6.304158271335304e-11,1.0,7.22471430418912e-20,3.210680610266081e-10,0,adam
9,9,6.332596934121489e-11,7.924432027292245e-11,[9.44190417e-11 1.63774609e-11 9.86037864e-11 4.39035883e-11],[8.27536912e-11 3.15186469e-11 1.94889448e-11 1.19542595e-10],inf,inf,6.332596934121489e-11,1.0,5.345958924589676e-20,3.225164579845341e-10,0,adam
10,10,7.196369202591686e-11,8.185137574141375e-11,[1.11591475e-10 3.35063831e-11 1.09269688e-10 3.34872216e-11],[7.65086626e-11 6.57255684e-11 1.97473741e-11 1.25873163e-10],inf,inf,7.196369202591688e-11,1.0,5.832262522799143e-20,3.6650815715688623e-10,0,adam
