,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,1.707536887949055e-11,9.41998799791929e-12,[1.57214510e-11 1.89374983e-11 2.06778865e-11 1.29646397e-11],[1.78868360e-11 7.43753079e-12 2.59017398e-11],inf,inf,1.707536887949055e-11,1.0,2.9157714756609867e-22,6.522316020607377e-11,0,adam
1,1,2.155684391586939e-11,2.2633828439595953e-11,[8.69955787e-12 1.48773868e-11 3.90184942e-11 2.36319367e-11],[3.22172669e-11 2.37715677e-12 3.00761081e-11],inf,inf,2.155684391586939e-11,1.0,3.744804431134386e-21,8.234102288895429e-11,0,adam
2,2,1.9855418064184554e-11,1.589950028474578e-11,[6.61875366e-12 2.30973628e-11 3.41073429e-11 1.55982130e-11],[2.36636182e-11 8.57265759e-12 2.73299784e-11],inf,inf,1.9855418064184554e-11,1.0,1.2640354393358067e-21,7.584222139200847e-11,0,adam
3,3,2.0039344996312874e-11,1.7643364553663876e-11,[9.39422501e-12 1.96243758e-11 2.84983271e-11 2.26404520e-11],[1.38949705e-11 9.49607077e-12 3.67269937e-11],inf,inf,2.0039344996312877e-11,1.0,6.935104576297497e-22,7.654477052199127e-11,0,adam
4,4,2.6508483625779796e-11,2.7857265031564155e-11,[1.69654574e-11 2.36726285e-11 4.77858330e-11 1.76100155e-11],[3.72483428e-11 9.63488794e-12 3.26422201e-11],inf,inf,2.6508483625779792e-11,1.0,3.1182292440576565e-21,1.0125500438107338e-10,0,adam
5,5,2.873981843181e-11,3.009129183760885e-11,[3.80942672e-11 1.84375705e-11 4.41764704e-11 1.42509656e-11],[4.59467381e-11 6.91086264e-12 3.33618546e-11],inf,inf,2.873981843181e-11,1.0,4.3156461791768904e-21,1.0977796449651578e-10,0,adam
6,6,2.9030270680981667e-11,3.6494872270033333e-11,[3.50657510e-11 1.65178476e-11 4.88271943e-11 1.57102898e-11],[4.04922349e-11 7.93420326e-12 3.86643738e-11],inf,inf,2.9030270680981677e-11,1.0,9.324823773512533e-21,1.1088752138732616e-10,0,adam
7,7,2.796407287949666e-11,4.069153062555581e-11,[4.55365066e-11 5.49897347e-12 4.94550106e-11 1.13658008e-11],[4.53363611e-11 5.77521266e-12 3.27806449e-11],inf,inf,2.7964072879496656e-11,1.0,9.080888747463693e-21,1.0681477924379124e-10,0,adam
8,8,2.5147996919775302e-11,4.089015923312976e-11,[4.14254142e-11 4.56236452e-12 4.60882293e-11 8.51597972e-12],[3.78686603e-11 5.80642908e-12 3.17689014e-11],inf,inf,2.5147996919775296e-11,1.0,6.6470501695981755e-21,9.605827244740794e-11,0,adam
9,9,2.928408577813884e-11,3.6928261522133676e-11,[4.40575922e-11 1.22893884e-11 4.49567647e-11 1.58325977e-11],[3.46603444e-11 4.19974246e-12 4.89921705e-11],inf,inf,2.928408577813884e-11,1.0,1.9464709688613442e-21,1.1185696813242885e-10,0,adam
