,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,1.8686429871506144e-11,1.682166402616127e-11,[3.42400563e-11 3.13280348e-12],[1.32737811e-11 2.40990786e-11],inf,inf,1.8686429871506144e-11,1.0,5.66058697689595e-22,2.379230146232203e-11,0,adam
1,1,2.3344652644021574e-11,1.4991817787475126e-11,[3.79089451e-11 8.78036016e-12],[2.53320401e-11 2.13572652e-11],inf,inf,2.334465264402157e-11,1.0,4.406724127537001e-22,2.972333490447454e-11,0,adam
2,2,1.7643295600464212e-11,1.2720458900603137e-11,[2.98062778e-11 5.48031338e-12],[1.79065425e-11 1.73800487e-11],inf,inf,1.7643295600464212e-11,1.0,2.703578766915271e-22,2.2464252680265417e-11,0,adam
3,3,1.3586294160293023e-11,8.212148159314499e-12,[1.36522149e-11 1.35203734e-11],[1.78693967e-11 9.30319164e-12],inf,inf,1.3586294160293023e-11,1.0,2.992422112854101e-22,1.729860699128949e-11,0,adam
4,4,1.4430619926948463e-11,1.0050920172859921e-11,[2.39899083e-11 4.87133154e-12],[1.75319454e-11 1.13292945e-11],inf,inf,1.4430619926948463e-11,1.0,1.7429228052252934e-22,1.837374696833649e-11,0,adam
5,5,1.2551966757208563e-11,9.992784643081913e-12,[1.40976157e-11 1.10063178e-11],[2.01298842e-11 4.97404927e-12],inf,inf,1.2551966757208563e-11,1.0,2.5542083564301407e-22,1.598166043947913e-11,0,adam
6,6,1.569462347062679e-11,1.0618873600490987e-11,[1.71920526e-11 1.41971943e-11],[2.10362069e-11 1.03530401e-11],inf,inf,1.569462347062679e-11,1.0,3.3134951555553907e-22,1.9983126264833118e-11,0,adam
7,7,1.6208560893808364e-11,9.699535150469988e-12,[1.50672431e-11 1.73498787e-11],[2.03327038e-11 1.20844180e-11],inf,inf,1.620856089380836e-11,1.0,4.259060986423624e-22,2.0637491715547185e-11,0,adam
8,8,1.9579760190558608e-11,6.039772584875948e-12,[1.68464048e-11 2.23131155e-11],[1.71744389e-11 2.19850815e-11],inf,inf,1.9579760190558608e-11,1.0,6.214847642084056e-22,2.492961392874804e-11,0,adam
9,9,2.3058037050197714e-11,1.2726293619387983e-11,[1.26766581e-11 3.34394160e-11],[1.92078662e-11 2.69082079e-11],inf,inf,2.3058037050197714e-11,1.0,8.619174488515007e-22,2.9358515618582715e-11,0,adam
10,10,2.6637462096279073e-11,1.3375000143341636e-11,[1.73280795e-11 3.59468447e-11],[2.05751107e-11 3.26998135e-11],inf,inf,2.6637462096279073e-11,1.0,1.1502775099739612e-21,3.391598113466898e-11,0,adam
11,11,3.0791862264257154e-11,1.3685594711550853e-11,[2.52542606e-11 3.63294639e-11],[2.63852020e-11 3.51985225e-11],inf,inf,3.079186226425715e-11,1.0,1.537082663820892e-21,3.920530566858815e-11,0,adam
12,12,3.3030812249841346e-11,1.4820142506176155e-11,[2.49264010e-11 4.11352235e-11],[3.25355349e-11 3.35260896e-11],inf,inf,3.3030812249841346e-11,1.0,1.140063820527856e-21,4.205613635122063e-11,0,adam
13,13,2.9982851166144054e-11,1.885680305342182e-11,[1.96928543e-11 4.02728480e-11],[2.79917142e-11 3.19739881e-11],inf,inf,2.9982851166144054e-11,1.0,1.1799563344468332e-21,3.817524074634093e-11,0,adam
14,14,3.2697372021431716e-11,2.214076577097987e-11,[1.48014675e-11 5.05932765e-11],[3.23716051e-11 3.30231389e-11],inf,inf,3.2697372021431716e-11,1.0,1.6239269742886644e-21,4.163158706660397e-11,0,adam
