,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,2.7640066245415237e-11,2.7633891391180933e-11,[5.08485667e-11 1.66802079e-11 2.12486181e-11 2.17828723e-11],[1.37351389e-11 3.99278106e-11 2.42248163e-11 3.26724992e-11],inf,inf,2.764006624541524e-11,1.0,7.182413646987718e-21,1.407696181843221e-10,0,adam
1,1,3.352351182374676e-11,3.67252980974137e-11,[6.82354603e-11 5.09804299e-12 3.49686720e-11 2.57918720e-11],[2.39580815e-11 4.26146029e-11 3.68247412e-11 3.06966217e-11],inf,inf,3.352351182374676e-11,1.0,1.0437216572369347e-20,1.7073409352974522e-10,0,adam
2,2,2.923986432873935e-11,3.3298650903499055e-11,[3.87889998e-11 8.01363946e-12 3.55991042e-11 3.45577139e-11],[1.80287487e-11 2.01302330e-11 5.30103694e-11 2.57901062e-11],inf,inf,2.923986432873935e-11,1.0,9.15015366002909e-21,1.4891710087283627e-10,0,adam
3,3,3.792320179364183e-11,4.448620880068282e-11,[5.89464164e-11 9.67979425e-12 4.39712094e-11 3.90953872e-11],[3.22560259e-11 2.45594772e-11 6.10819946e-11 3.37953094e-11],inf,inf,3.792320179364183e-11,1.0,1.9183287546011588e-20,1.931412807465449e-10,0,adam
4,4,3.331081724290257e-11,4.9022609395277907e-11,[3.13148027e-11 7.12432019e-12 5.47413985e-11 4.00627475e-11],[2.40745327e-11 4.25580994e-12 7.50816012e-11 2.98313251e-11],inf,inf,3.331081724290257e-11,1.0,2.544291182455433e-20,1.6965029381310615e-10,0,adam
5,5,3.3364824706676425e-11,4.5922141768726696e-11,[2.55345327e-11 1.09280152e-11 6.05523618e-11 3.64443891e-11],[2.24798792e-11 7.29260985e-12 7.18589851e-11 3.18278246e-11],inf,inf,3.3364824706676425e-11,1.0,2.4887476787134758e-20,1.6992562912321318e-10,0,adam
6,6,3.3131017621830226e-11,4.41556657751527e-11,[2.85700246e-11 1.12974677e-11 6.45771877e-11 2.80793905e-11],[1.50745676e-11 1.66773304e-11 7.03203119e-11 3.04518605e-11],inf,inf,3.3131017621830226e-11,1.0,2.685174527904044e-20,1.6873480390700024e-10,0,adam
7,7,3.72071314914116e-11,4.596474399202394e-11,[3.15602833e-11 2.04325440e-11 6.95861156e-11 2.72495830e-11],[1.85835378e-11 2.16655056e-11 6.68840639e-11 4.16954188e-11],inf,inf,3.72071314914116e-11,1.0,2.803827139847704e-20,1.8949419811065127e-10,0,adam
8,8,3.6798593094404224e-11,5.225472903077898e-11,[2.16479790e-11 2.48835874e-11 8.25649975e-11 1.80978085e-11],[2.31782377e-11 8.83337576e-12 6.51000192e-11 5.00827397e-11],inf,inf,3.6798593094404224e-11,1.0,2.3639992748613483e-20,1.8741386220710865e-10,0,adam
9,9,4.0091124607140795e-11,5.45573854737322e-11,[3.28567894e-11 3.00427989e-11 8.54262704e-11 1.20386397e-11],[1.73252456e-11 1.39686517e-11 6.99467612e-11 5.91238399e-11],inf,inf,4.009112460714079e-11,1.0,2.1122392289355533e-20,2.0418222668183716e-10,0,adam
10,10,4.792823977689203e-11,6.074366217602788e-11,[4.82601105e-11 3.31271646e-11 9.46410446e-11 1.56846394e-11],[1.96516103e-11 2.94810341e-11 7.91336324e-11 6.34466823e-11],inf,inf,4.792823977689204e-11,1.0,3.022473641130535e-20,2.4409652077395094e-10,0,adam
11,11,4.8839598016243575e-11,6.04313187002448e-11,[6.03818486e-11 2.77983991e-11 8.88183969e-11 1.83597474e-11],[2.59529243e-11 3.46397660e-11 8.07106722e-11 5.40550296e-11],inf,inf,4.8839598016243575e-11,1.0,3.62932463070996e-20,2.4873791915069887e-10,0,adam
