,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.01361355931198022,0.0053396772681194886,[0.01570794 0.01570796 0.01570796 0.01570796 0.00523599],[0.01570795 0.01256637 0.01256637],inf,0.01361355931198022,inf,1.0,0.000740425356664109,0.06499995772729039,0,adam
1,1,0.01357920062203336,0.0053262505018808245,[0.0156837  0.01565609 0.01565742 0.01566928 0.0052295 ],[0.01567715 0.01254022 0.01252024],inf,0.013579200622033362,inf,1.0,0.0007369817442289987,0.0648359070669946,0,adam
2,2,0.013514621115844073,0.005301233612713206,[0.01563312 0.01556528 0.01556341 0.01559539 0.00521591],[0.01561875 0.01248987 0.01243524],inf,0.013514621115844077,inf,1.0,0.0007295698916540962,0.06452756263802084,0,adam
3,3,0.013414103171415608,0.005262745888831666,[0.01554752 0.01543295 0.01541843 0.01547855 0.00519307],[0.01552673 0.01241018 0.0123054 ],inf,0.013414103171415608,inf,1.0,0.000717497727484424,0.06404762480626403,0,adam
4,4,0.013272116956638654,0.0052091409498273575,[0.01541841 0.01525728 0.01521534 0.01531066 0.0051589 ],[0.01539482 0.01229622 0.01212532],inf,0.013272116956638654,inf,1.0,0.0007001689475478384,0.0633696905682839,0,adam
5,5,0.013083642427392182,0.005139135134401479,[0.01523798 0.01503728 0.01494788 0.01508361 0.00511147],[0.01521671 0.01214348 0.01189074],inf,0.013083642427392182,inf,1.0,0.0006771549166557946,0.062469790978989526,0,adam
6,6,0.012844509480435223,0.005051928098425731,[0.01499963 0.01477292 0.01461122 0.01478967 0.0050491 ],[0.01498619 0.01194825 0.01159908],inf,0.012844509480435222,inf,1.0,0.0006482679004592916,0.06132801526205944,0,adam
7,7,0.012551731887944903,0.004947300602951665,[0.01469832 0.01446521 0.0142026  0.01442202 0.00497051],[0.01469742 0.0117079  0.01124988],inf,0.012551731887944905,inf,1.0,0.0006136213824431892,0.05993010522991793,0,adam
8,8,0.012203795620566402,0.004825686264357888,[0.01433073 0.01411624 0.01372174 0.01397536 0.00487491],[0.01434516 0.01142114 0.01084509],inf,0.0122037956205664,inf,1.0,0.0005736637972968818,0.05826883192489096,0,adam
9,9,0.011800863081665792,0.004688241723596128,[0.01389529 0.01372921 0.01317122 0.01344652 0.00476208],[0.01392519 0.01108829 0.0103891 ],inf,0.01180086308166579,inf,1.0,0.0005291766703728174,0.056344970765933144,0,adam
10,10,0.01134486967397058,0.0045369693583513756,[0.0133921  0.01330839 0.01255641 0.01283504 0.00463241],[0.01343477 0.01071135 0.00988849],inf,0.01134486967397058,inf,1.0,0.0004812358574277794,0.054167762620372706,0,adam
11,11,0.01083951056428062,0.004374954786080165,[0.01282288 0.01285895 0.01188527 0.01214355 0.0044869 ],[0.01287305 0.01029397 0.00935151],inf,0.010839510564280619,inf,1.0,0.0004319437760159971,0.051754850610062464,0,adam
12,12,0.01029013238878233,0.004206743999309283,[0.01219118 0.01238679 0.01116779 0.01137789 0.00432702],[0.01224165 0.00984125 0.0087875 ],inf,0.01029013238878233,inf,1.0,0.00039477947176239195,0.04913176304234157,0,adam
13,13,0.009703548147256302,0.00403878910222589,[0.01150266 0.01189823 0.01041526 0.01054694 0.00415465],[0.01154498 0.00935949 0.00820617],inf,0.009703548147256304,inf,1.0,0.0003573179713610958,0.04633102959498148,0,adam
14,14,0.009087783595040042,0.0038797481737543587,[0.01076564 0.01139975 0.00963951 0.00966212 0.00397189],[0.01079056 0.00885575 0.00761704],inf,0.009087783595040042,inf,1.0,0.0003203973092520432,0.04339097042700191,0,adam
15,15,0.00845174999421112,0.0037402902648475743,[0.00999131 0.01089769 0.00885217 0.00873666 0.00378091],[0.00998886 0.00833745 0.00702894],inf,0.008451749994211118,inf,1.0,0.0002848070522745312,0.04035413368066787,0,adam
16,16,0.00780483674717615,0.00363204867058738,[0.00919358 0.010398   0.00806403 0.00778471 0.00358386],[0.00915288 0.00781198 0.00644965],inf,0.00780483674717615,inf,1.0,0.0002512370511249999,0.03726535045015056,0,adam
17,17,0.007156437408773272,0.003565633660495245,[0.00838833 0.00990605 0.00728467 0.00682045 0.0033827 ],[0.00829723 0.00728635 0.00588573],inf,0.007156437408773272,inf,1.0,0.0002202310206154776,0.0341694716560208,0,adam
18,18,0.006515456512512273,0.003548186734085679,[0.00759213 0.00942651 0.00652215 0.00585734 0.00317916],[0.00743699 0.00676693 0.00534245],inf,0.006515456512512272,inf,1.0,0.0001921551385725865,0.03110901331399818,0,adam
19,19,0.0058898703212393,0.0035815085836205297,[0.00682081 0.00896329 0.00578298 0.00490754 0.00297473],[0.00658651 0.00625931 0.00482379],inf,0.005889870321239299,inf,1.0,0.00016719029463058843,0.028122059273864464,0,adam
20,20,0.005286412119772625,0.003661729276983484,[0.00608812 0.00851958 0.00507214 0.00398156 0.00277065],[0.00575848 0.00576819 0.00433257],inf,0.005286412119772625,inf,1.0,0.0001453499834821718,0.025240758602481428,0,adam
21,21,0.004736336801306926,0.003748121479475911,[0.005405   0.00809782 0.00439325 0.00321767 0.00256794],[0.00504106 0.00529741 0.00387054],inf,0.004736336801306927,inf,1.0,0.00012651822750787094,0.022614342422281553,0,adam
22,22,0.004355019254731304,0.003717026217637659,[0.00484521 0.00769979 0.00374872 0.00311392 0.00236746],[0.00477651 0.00484993 0.00343862],inf,0.004355019254731304,inf,1.0,0.0001104979254876273,0.020793685249526073,0,adam
23,23,0.0041441424226757164,0.003597203312842827,[0.00507189 0.00732671 0.00313999 0.0030122  0.00216993],[0.00496746 0.00442798 0.00303699],inf,0.0041441424226757164,inf,1.0,9.706142913037456e-05,0.019786822543369942,0,adam
24,24,0.003942658192710839,0.003574074918569443,[0.00527705 0.00697928 0.00256772 0.00291318 0.00197606],[0.0051296  0.00403309 0.00266528],inf,0.0039426581927108385,inf,1.0,8.60009168787747e-05,0.0188248062087506,0,adam
25,25,0.0038038606387416187,0.0035735087559024773,[0.00545596 0.00665778 0.00230135 0.00281765 0.00178656],[0.00542262 0.00366623 0.00232273],inf,0.0038038606387416182,inf,1.0,8.687496176836854e-05,0.01816209670465274,0,adam
26,26,0.003706998189290137,0.003603282848866356,[0.00560498 0.00636212 0.00223928 0.00272639 0.00160222],[0.00578484 0.00332787 0.00200828],inf,0.0037069981892901365,inf,1.0,8.96609885513707e-05,0.017699612575746926,0,adam
27,27,0.0036794762634993214,0.003619301006760879,[0.00572131 0.00609189 0.0021896  0.00297064 0.00142394],[0.00610133 0.00321639 0.00172071],inf,0.003679476263499321,inf,1.0,9.267139026204757e-05,0.017568205059756314,0,adam
28,28,0.003655406204402276,0.003672730966965809,[0.00580271 0.00584645 0.00215097 0.00322412 0.00125278],[0.00637219 0.00313534 0.00145869],inf,0.003655406204402277,inf,1.0,9.557502596446522e-05,0.017453278993182275,0,adam
29,29,0.003626520203469339,0.003755229183814771,[0.0058475  0.0056249  0.00212177 0.00344843 0.00109   ],[0.00659782 0.00306086 0.00122089],inf,0.0036265202034693393,inf,1.0,9.811647820456137e-05,0.01731535849814314,0,adam
