,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.010471972035775106,0.007404802389567306,[0.01047197],[6.97573700e-11 1.57079540e-02 1.57079621e-02],inf,0.010471972035775106,inf,1.0,9.999910028020869e-05,0.009999996680482237,0,adam
1,1,0.010471770816892228,0.007404660632212493,[0.01047177],[5.95602376e-11 1.57110506e-02 1.57042618e-02],inf,0.010471770816892228,inf,1.0,9.999525738486744e-05,0.009999804530603118,0,adam
2,2,0.010471097697138361,0.00740418758835134,[0.0104711],[1.81885366e-11 1.57153536e-02 1.56979394e-02],inf,0.010471097697138361,inf,1.0,9.998240262321922e-05,0.009999161748586394,0,adam
3,3,0.010469708560331553,0.007403212976595746,[0.01046971],[1.03073490e-11 1.57202384e-02 1.56888873e-02],inf,0.010469708560331553,inf,1.0,9.995587649006229e-05,0.009997835220649787,0,adam
4,4,0.01046736583964992,0.007401571397409376,[0.01046737],[5.45363118e-12 1.57250924e-02 1.56770051e-02],inf,0.01046736583964992,inf,1.0,9.991114925639331e-05,0.009995598087189084,0,adam
5,5,0.010463839253883722,0.0073991024042431046,[0.01046384],[3.16977489e-11 1.57293168e-02 1.56622010e-02],inf,0.010463839253883722,inf,1.0,9.984383853918869e-05,0.009992230445847738,0,adam
6,6,0.010458906218984538,0.007395650619628388,[0.01045891],[3.19628269e-11 1.57323270e-02 1.56443916e-02],inf,0.010458906218984538,inf,1.0,9.974972146882192e-05,0.009987519744515616,0,adam
7,7,0.010452352312132684,0.007391065702026079,[0.01045235],[7.06544497e-11 1.57335537e-02 1.56235031e-02],inf,0.010452352312132684,inf,1.0,9.962474852951384e-05,0.009981261224483617,0,adam
8,8,0.010443971536364694,0.00738520255886872,[0.01044397],[7.51091554e-11 1.57324429e-02 1.55994716e-02],inf,0.010443971536364694,inf,1.0,9.946505413577235e-05,0.009973258173141097,0,adam
9,9,0.010433566708404321,0.007377921351277542,[0.01043357],[7.30610790e-11 1.57284567e-02 1.55722434e-02],inf,0.010433566708404321,inf,1.0,9.926696996887079e-05,0.009963322294329391,0,adam
