,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.01308996324614508,0.005854009526080831,[0.01570796 0.01570796 0.01047197 0.01047196],[0.01178097 0.01178097 0.01570795],inf,0.01308996324614508,inf,1.0,0.0008219364326328398,0.04999997653236554,0,adam
1,1,0.013031602897602109,0.005828155275769325,[0.01564672 0.01565409 0.0104378  0.0103878 ],[0.01174277 0.01174829 0.01560375],inf,0.013031602897602112,inf,1.0,0.0008154817819895325,0.04977705642153696,0,adam
2,2,0.012914989061700272,0.005778450234119678,[0.01553477 0.0155524  0.01037421 0.01019858],[0.01167174 0.01168506 0.01538817],inf,0.012914989061700273,inf,1.0,0.0008019857553332736,0.04933162437953653,0,adam
3,3,0.012720812557324643,0.005703634464707713,[0.01536458 0.01539337 0.01027635 0.00984895],[0.01156223 0.0115842  0.01501601],inf,0.012720812557324643,inf,1.0,0.000779675576496561,0.048589924767447945,0,adam
4,4,0.01242796885972363,0.005615337846112549,[0.01512905 0.01516767 0.01013983 0.00927532],[0.01140887 0.01143859 0.01443645],inf,0.01242796885972363,inf,1.0,0.0007471954509328313,0.04747134423881216,0,adam
5,5,0.012020905522110556,0.005550947355925745,[0.0148221  0.01486687 0.00996114 0.00843351],[0.011207   0.01124157 0.01361415],inf,0.012020905522110556,inf,1.0,0.0007046938036040995,0.04591647682282951,0,adam
6,6,0.01150139437766203,0.005569781153609199,[0.0144393  0.01448435 0.00973794 0.00734398],[0.01095311 0.01098759 0.01256348],inf,0.01150139437766203,inf,1.0,0.0006548052299339433,0.04393209042370172,0,adam
7,7,0.010893811574837861,0.0057083863278677895,[0.01397861 0.01401618 0.00946908 0.00611138],[0.01064522 0.01067299 0.01136322],inf,0.010893811574837861,inf,1.0,0.000601897263741509,0.041611295069931664,0,adam
8,8,0.01023958756789579,0.005926157550435541,[0.01344086 0.01346175 0.00915446 0.00490128],[0.01028308 0.01029673 0.01013896],inf,0.010239587567895789,inf,1.0,0.0005495668681047903,0.03911234343967074,0,adam
9,9,0.01006388438975673,0.0053033584162216554,[0.01283011 0.01282409 0.00879495 0.00580639],[0.00986826 0.00986085 0.01046255],inf,0.010063884389756727,inf,1.0,0.0004991893934488394,0.038441206736043565,0,adam
10,10,0.00979719542562264,0.00481908362603286,[0.01215361 0.01210979 0.00839238 0.006533  ],[0.00940415 0.00937059 0.01061684],inf,0.009797195425622641,inf,1.0,0.0004507030780602685,0.03742252993020356,0,adam
11,11,0.009446647199067336,0.004457866473982855,[0.01142141 0.01132866 0.00794972 0.00708679],[0.00889591 0.00883407 0.01060997],inf,0.009446647199067336,inf,1.0,0.00040389100789206653,0.036083534337042256,0,adam
12,12,0.009025717929520576,0.00419857745300611,[0.01064564 0.01049305 0.00747113 0.00749304],[0.00835016 0.00826157 0.01046542],inf,0.009025717929520576,inf,1.0,0.000358932281617954,0.034475702962472266,0,adam
13,13,0.00854978983109978,0.004024323536522828,[0.00983955 0.00961697 0.00696195 0.0077807 ],[0.00777471 0.00766467 0.01021   ],inf,0.00854978983109978,inf,1.0,0.000316360094525819,0.03265779153639259,0,adam
14,14,0.008033993153507205,0.0039233041324765105,[0.00901654 0.00871507 0.00642842 0.00797594],[0.00717798 0.00705528 0.00986872],inf,0.008033993153507205,inf,1.0,0.00027683851066859547,0.030687593355530618,0,adam
15,15,0.007492274442546122,0.0038865488449266105,[0.00818939 0.00780176 0.00587741 0.00810053],[0.00656859 0.00644483 0.00946341],inf,0.007492274442546122,inf,1.0,0.00024096590907799953,0.028618380300774904,0,adam
16,16,0.006937008332553579,0.0039057295328897767,[0.00736956 0.00689043 0.00531608 0.00817197],[0.00595485 0.0058436  0.00901257],inf,0.006937008332553576,inf,1.0,0.00020915747183013048,0.026497419993493754,0,adam
17,17,0.006378857420113161,0.003972080910026818,[0.00656688 0.00599292 0.00475148 0.00820415],[0.00534445 0.00526038 0.00853175],inf,0.006378857420113162,inf,1.0,0.00018160104119335305,0.02436544055254597,0,adam
18,18,0.005826768794708968,0.004076349779034364,[0.00578943 0.00511927 0.00419033 0.00820804],[0.00474421 0.00470226 0.00803384],inf,0.005826768794708968,inf,1.0,0.00015826803516921404,0.022256617342356844,0,adam
19,19,0.005288059843499699,0.004209283990824798,[0.00504358 0.00427767 0.00363876 0.00819223],[0.00416001 0.00417468 0.0075295 ],inf,0.005288059843499699,inf,1.0,0.00013896337684161797,0.020198900723009672,0,adam
20,20,0.004768563418275054,0.0043621983474314745,[0.00433414 0.00347451 0.00310224 0.00816337],[0.00359672 0.00368155 0.00702742],inf,0.004768563418275054,inf,1.0,0.00012340544882493692,0.018214570547176123,0,adam
21,21,0.004346854520200358,0.004456318885348279,[0.00366458 0.00301084 0.00258547 0.00812653],[0.00328048 0.00322543 0.00653466],inf,0.004346854520200358,inf,1.0,0.00011133609679811647,0.0166037612109895,0,adam
22,22,0.004051482345653448,0.0044866869299934825,[0.00314306 0.00288493 0.00209246 0.00808548],[0.00321052 0.00288709 0.00605684],inf,0.004051482345653448,inf,1.0,0.00010264576049969283,0.015475522611847259,0,adam
23,23,0.0038875926527736026,0.004463180369943579,[0.002971   0.00276591 0.00177056 0.0080429 ],[0.00313933 0.00281701 0.00570644],inf,0.0038875926527736026,inf,1.0,9.731682985765037e-05,0.014849510097999508,0,adam
24,24,0.0038280744638922413,0.004410436675644453,[0.00280082 0.00265422 0.00185666 0.00800059],[0.00306796 0.00275367 0.0056626 ],inf,0.00382807446389224,inf,1.0,9.488125917429944e-05,0.014622167362855487,0,adam
25,25,0.003771356054834299,0.004407504065227171,[0.00263457 0.00255023 0.00194104 0.00795959],[0.0029974  0.00269763 0.00561904],inf,0.003771356054834299,inf,1.0,9.434549136702386e-05,0.014405518998874323,0,adam
26,26,0.0037179410169705645,0.004441705241772919,[0.0024742  0.00245421 0.00202308 0.00792028],[0.00292856 0.00264923 0.00557604],inf,0.0037179410169705645,inf,1.0,9.491732663049174e-05,0.014201488583399202,0,adam
27,27,0.0036681239317182205,0.004500382167606069,[0.00232153 0.00236638 0.00210207 0.00788252],[0.00286228 0.00260858 0.00553352],inf,0.0036681239317182205,inf,1.0,9.616988068719305e-05,0.014011201334559242,0,adam
28,28,0.003622006060777756,0.004571894856699659,[0.00217822 0.0022869  0.0021772  0.0078457 ],[0.00279928 0.00257563 0.0054911 ],inf,0.0036220060607777553,inf,1.0,9.785100940090265e-05,0.013835044043558176,0,adam
29,29,0.0035795072628611777,0.004646125159023383,[0.00204583 0.00221587 0.00224753 0.0078088 ],[0.0027402  0.00255017 0.00544815],inf,0.0035795072628611777,inf,1.0,9.975553323724269e-05,0.01367271059322439,0,adam
30,30,0.003585697764845916,0.004680223579670398,[0.00192574 0.0023346  0.002312   0.00777045],[0.00268553 0.00253185 0.00553971],inf,0.003585697764845916,inf,1.0,0.00010167664245992033,0.013696356569010915,0,adam
31,31,0.003631364843937788,0.00467432342765074,[0.00195791 0.00246914 0.00236945 0.00772896],[0.00263565 0.00252019 0.00573825],inf,0.0036313648439377875,inf,1.0,0.00010339902124913189,0.013870791961988038,0,adam
32,32,0.0036629928237366196,0.004662908092858338,[0.00197512 0.00257587 0.00241858 0.00768239],[0.00259081 0.00251462 0.00588355],inf,0.0036629928237366196,inf,1.0,0.00010471089933189603,0.013991601945787746,0,adam
33,33,0.003679923747438462,0.004641171321240466,[0.00197916 0.00265393 0.00245799 0.00762861],[0.00255112 0.00251446 0.00597419],inf,0.003679923747438462,inf,1.0,0.00010542143248205396,0.014056273310546041,0,adam
34,34,0.003681572778479999,0.004605208842793722,[0.00197215 0.00270261 0.00248621 0.00756532],[0.00251656 0.00251898 0.00600918],inf,0.0036815727784799985,inf,1.0,0.00010537607705597364,0.014062572145143726,0,adam
35,35,0.0036673681574037314,0.004552070841998555,[0.00195621 0.00272137 0.00250175 0.00749016],[0.00248697 0.00252739 0.00598774],inf,0.003667368157403732,inf,1.0,0.00010446737916596417,0.014008314489326823,0,adam
36,36,0.003636798636315651,0.004479755361847144,[0.00193337 0.00270995 0.00250312 0.00740075],[0.00246205 0.00253887 0.00590947],inf,0.003636798636315651,inf,1.0,0.00010264116905451462,0.01389154751998789,0,adam
37,37,0.0035894707231267733,0.004387228514248552,[0.00190562 0.00266844 0.00248897 0.00729485],[0.0024414  0.00255257 0.00577444],inf,0.0035894707231267733,inf,1.0,9.98988104445942e-05,0.013710768208062385,0,adam
38,38,0.003525174204896649,0.004274473969251077,[0.00187478 0.00259731 0.00245813 0.00717047],[0.0024245  0.00256765 0.00558338],inf,0.003525174204896649,inf,1.0,9.629587012424769e-05,0.013465173599264135,0,adam
39,39,0.003443952706619053,0.004142566465073474,[0.00184256 0.00249754 0.00240976 0.00702595],[0.00241073 0.00258327 0.00533785],inf,0.003443952706619053,inf,1.0,9.193715652191138e-05,0.013154930328795222,0,adam
40,40,0.0033461740601381357,0.003993756169332671,[0.00181046 0.00237064 0.00234341 0.00686018],[0.00239944 0.00259865 0.00504043],inf,0.0033461740601381357,inf,1.0,8.696796176439033e-05,0.012781443410804672,0,adam
41,41,0.003232593332304618,0.003831541484026303,[0.00177977 0.00221872 0.0022592  0.00667268],[0.0023899  0.00261306 0.00469482],inf,0.003232593332304618,inf,1.0,8.15616958132429e-05,0.012347596988212306,0,adam
42,42,0.0031044000213924215,0.0036606963838587614,[0.0017515  0.0020445  0.00215783 0.00646377],[0.0023814  0.00262583 0.00430596],inf,0.0031044000213924223,inf,1.0,7.590489030185242e-05,0.011857934609740495,0,adam
43,43,0.00299615104898971,0.003458969385476481,[0.00174646 0.00196286 0.00204066 0.00623462],[0.00237325 0.00263639 0.00397881],inf,0.00299615104898971,inf,1.0,7.018150331009999e-05,0.011444453992720094,0,adam
44,44,0.002922768519453525,0.0032202014208964156,[0.00182221 0.00197185 0.00190973 0.00598729],[0.00236479 0.00264424 0.00375928],inf,0.002922768519453526,inf,1.0,6.455906847915284e-05,0.011164153377225983,0,adam
45,45,0.002843693994570033,0.002988353013319357,[0.00190259 0.00197982 0.00176764 0.00572473],[0.00235541 0.00264902 0.00352665],inf,0.002843693994570033,inf,1.0,5.917898811427698e-05,0.010862110941037395,0,adam
46,46,0.0027598315066295234,0.0027737406538599022,[0.00198509 0.00198606 0.00161751 0.00545067],[0.00234461 0.00265046 0.00328443],inf,0.0027598315066295234,inf,1.0,5.415206951796104e-05,0.010541779833140419,0,adam
47,47,0.002672351783093391,0.00258666633329657,[0.00206717 0.00198999 0.00146278 0.00516946],[0.00233195 0.00264839 0.00303672],inf,0.0026723517830933904,inf,1.0,4.955877759915381e-05,0.010207631903034198,0,adam
48,48,0.002582620038608558,0.0024360201847201503,[0.00214636 0.00199119 0.00130706 0.00488587],[0.0023171  0.00264276 0.00278801],inf,0.002582620038608558,inf,1.0,4.5452434185274564e-05,0.00986488188654544,0,adam
49,49,0.0025307840724248087,0.002285382495097778,[0.0022203  0.00198935 0.00130864 0.00460485],[0.00229979 0.00263363 0.00265894],inf,0.0025307840724248087,inf,1.0,4.1863177205605044e-05,0.009666883080591493,0,adam
50,50,0.002533846020341811,0.0021136091720739976,[0.00228683 0.00198433 0.00153293 0.0043313 ],[0.00227986 0.00262114 0.00270053],inf,0.002533846020341811,inf,1.0,3.880074919807956e-05,0.009678578860107034,0,adam
51,51,0.002531404576914369,0.001986286870292037,[0.00234408 0.00197609 0.0017356  0.00406985],[0.00225723 0.00260554 0.00273144],inf,0.002531404576914369,inf,1.0,3.6254811282371004e-05,0.00966925323315282,0,adam
52,52,0.002523242216121622,0.0019019353986697509,[0.00239047 0.00196472 0.0019131  0.00382468],[0.00223188 0.00258714 0.00275071],inf,0.002523242216121622,inf,1.0,3.4192612121130795e-05,0.009638075311533711,0,adam
53,53,0.0025093148209829248,0.0018540787442805201,[0.00242475 0.0019504  0.00206274 0.00359937],[0.00220386 0.00256629 0.00275779],inf,0.0025093148209829248,inf,1.0,3.2555910165782215e-05,0.009584876580796653,0,adam
54,54,0.002489732704186781,0.0018327960669810765,[0.00244607 0.00193338 0.00218268 0.0033968 ],[0.00217329 0.00254341 0.00275251],inf,0.002489732704186781,inf,1.0,3.126135128762706e-05,0.009510078404372901,0,adam
55,55,0.002464739758905757,0.001827108947117796,[0.0024539  0.00191397 0.00227199 0.0032191 ],[0.00214031 0.00251893 0.00273498],inf,0.002464739758905757,inf,1.0,3.02082663747966e-05,0.009414612385559407,0,adam
