,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.00785397391430078,0.007853973904989566,[0.00785397],[0.00785397],inf,0.015707947819290344,9.311213742283844e-12,1.0,2.4999898742331488e-05,0.004999995085503084,0,adam
1,1,0.007858122012003737,0.007858122005917406,[0.00785812],[0.00785812],inf,0.015716244017921144,6.086330529025062e-12,1.0,2.5026313200284976e-05,0.0050026358465184995,0,adam
2,2,0.007864736278703459,0.00786473627677397,[0.00786474],[0.00786474],inf,0.01572947255547743,1.9294888530983753e-12,1.0,2.506846069568876e-05,0.005006846619479255,0,adam
3,3,0.00787358864977423,0.007873588641202444,[0.00787359],[0.00787359],inf,0.015747177290976674,8.571785620706013e-12,1.0,2.5124925312331946e-05,0.005012482213935243,0,adam
4,4,0.00788444589458693,0.007884445878735265,[0.00788445],[0.00788445],inf,0.015768891773322195,1.585166474974963e-11,1.0,2.5194264692899055e-05,0.005019394150656442,0,adam
5,5,0.007897070728454749,0.00789707071509412,[0.00789707],[0.00789707],inf,0.01579414144354887,1.3360629068471865e-11,1.0,2.527501289676512e-05,0.005027431369519553,0,adam
6,6,0.007911222434172074,0.007911222423471293,[0.00791122],[0.00791122],inf,0.015822444857643368,1.0700780551890482e-11,1.0,2.536568051844678e-05,0.005036440625191929,0,adam
7,7,0.007926657334444165,0.007926657326955014,[0.00792666],[0.00792666],inf,0.01585331466139918,7.489151238924133e-12,1.0,2.546475443250569e-05,0.005046266787889664,0,adam
8,8,0.007943129216224384,0.007943129204701164,[0.00794313],[0.00794313],inf,0.015886258420925548,1.1523219943720917e-11,1.0,2.557069752542194e-05,0.0050567531135190524,0,adam
9,9,0.007960389673764896,0.007960389661514107,[0.00796039],[0.00796039],inf,0.015920779335279002,1.2250789312405518e-11,1.0,2.5681948523125665e-05,0.005067741462069453,0,adam
10,10,0.007978188427555731,0.007978188413138975,[0.00797819],[0.00797819],inf,0.015956376840694706,1.4416755649668879e-11,1.0,2.5796921963350447e-05,0.005079072500656201,0,adam
11,11,0.007996273561940366,0.007996273548477194,[0.00799627],[0.00799627],inf,0.01599254711041756,1.346317240231332e-11,1.0,2.591400833985856e-05,0.005090585854791385,0,adam
12,12,0.008014391734887993,0.008014391717154972,[0.00801439],[0.00801439],inf,0.016028783452042967,1.7733021017575487e-11,1.0,2.60315744350682e-05,0.00510212024192902,0,adam
13,13,0.008032288309926678,0.008032288293440918,[0.00803229],[0.00803229],inf,0.016064576603367596,1.64857592426876e-11,1.0,2.6147963851635338e-05,0.005113513555456306,0,adam
14,14,0.00804970747054056,0.008049707457126217,[0.00804971],[0.00804971],inf,0.016099414927666776,1.3414342243341197e-11,1.0,2.6261497751097167e-05,0.00512460293752115,0,adam
15,15,0.008066392259831807,0.008066392249758147,[0.00806639],[0.00806639],inf,0.016132784509589954,1.007366179594853e-11,1.0,2.6370475807207843e-05,0.005135224804281746,0,adam
16,16,0.00808208458357355,0.008082084570031553,[0.00808208],[0.00808208],inf,0.016164169153605103,1.3541998230368313e-11,1.0,2.6473177383547065e-05,0.0051452148478501325,0,adam
17,17,0.008096525147186876,0.008096525140758733,[0.00809653],[0.00809653],inf,0.01619305028794561,6.428141641829909e-12,1.0,2.6567862948739828e-05,0.005154407996170507,0,adam
18,18,0.008109453391073313,0.008109453387248517,[0.00810945],[0.00810945],inf,0.01621890677832183,3.824796594916266e-12,1.0,2.665277574818511e-05,0.005162638371850603,0,adam
19,19,0.008120607330790234,0.008120607326451326,[0.00812061],[0.00812061],inf,0.01624121465724156,4.338908411522738e-12,1.0,2.6726143758515547e-05,0.005169739190414191,0,adam
20,20,0.008129723390832642,0.008129723385798253,[0.00812972],[0.00812972],inf,0.016259446776630895,5.034389390025659e-12,1.0,2.6786181959946287e-05,0.005175542654483278,0,adam
