,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.005890439908848719,0.0076045252134992565,[0.00785389 0.00392699],[1.17808798e-02 9.63828861e-12],inf,0.007853977017248666,0.003926902800448775,1.0,9.194817375649846e-05,0.014999882055664715,0,adam
1,1,0.005663809494710697,0.007327752687370848,[0.00740947 0.00391815],[1.13276190e-02 8.53485781e-12],inf,0.007829444495197242,0.00349817449422415,1.0,8.592745116980008e-05,0.014422772445024101,0,adam
2,2,0.0050477633937401276,0.006769173096099997,[0.00619263 0.0039029 ],[1.00955268e-02 8.46802153e-12],inf,0.007787841399280498,0.0023076853881997565,1.0,7.367893470277176e-05,0.012854023930753078,0,adam
3,3,0.004136473986692447,0.006575400922949255,[0.00439221 0.00388074],[8.27294797e-03 3.94739517e-12],inf,0.007730214634556734,0.0005427333388281602,1.0,6.439827845063889e-05,0.010533444511250378,0,adam
4,4,0.004291102448003342,0.006476444282474974,[0.00473126 0.00385094],[8.58220489e-03 5.59118400e-12],inf,0.007658233402270071,0.0009239714937366132,1.0,6.414225638699847e-05,0.010927202654615442,0,adam
5,5,0.0047173307428170315,0.006482795562796002,[0.00562194 0.00381272],[9.43466148e-03 6.93741404e-12],inf,0.007572367935059962,0.0018622935505741014,1.0,6.713770273978142e-05,0.012012584094699186,0,adam
6,6,0.004961249224803341,0.006574934864416064,[0.00615718 0.00376532],[9.92249844e-03 8.81170738e-12],inf,0.007471931450558775,0.002450566999047907,1.0,6.986496047841977e-05,0.012633717408612632,0,adam
7,7,0.005096448388098584,0.006650994108377544,[0.00648489 0.00370801],[1.01928968e-02 7.93136937e-12],inf,0.007355754845093985,0.0028371419311031825,1.0,7.160203220074628e-05,0.012977999250857852,0,adam
8,8,0.0051612779268748275,0.006689533077828725,[0.00668243 0.00364013],[1.03225558e-02 8.46932948e-12],inf,0.007222556007297877,0.0030999998464517784,1.0,7.233125565793929e-05,0.013143086315731578,0,adam
9,9,0.00517337659488371,0.006685734684267868,[0.00678567 0.00356109],[1.03467532e-02 6.78342465e-12],inf,0.007071102277064906,0.0032756509127025157,1.0,7.209990498810861e-05,0.013173895320826468,0,adam
10,10,0.005138906436075974,0.0066349532807309436,[0.00680742 0.00347039],[1.02778129e-02 6.18442683e-12],inf,0.006900298188725651,0.003377514683426298,1.0,7.089299200886901e-05,0.013086117782211915,0,adam
11,11,0.005056608637877004,0.006528354324119,[0.00674555 0.00336767],[1.01132173e-02 5.57893286e-12],inf,0.00670925546035793,0.0034039618153960767,1.0,6.861568130668072e-05,0.012876548159988843,0,adam
12,12,0.004919295504635733,0.00635168724654213,[0.00658584 0.00325275],[9.83859100e-03 4.33995477e-12],inf,0.006497368654188282,0.003341222355083183,1.0,6.510462937830534e-05,0.012526883137480072,0,adam
13,13,0.0047146558343622025,0.0060867255553354975,[0.00630362 0.00312569],[9.42931167e-03 2.89466926e-12],inf,0.0062644091707936955,0.00316490249793071,1.0,6.017866384019513e-05,0.012005772496252565,0,adam
14,14,0.004427412270956213,0.005718912055512455,[0.00586798 0.00298685],[8.85482454e-03 2.45205875e-12],inf,0.006010646670496713,0.0028441778714157124,1.0,5.3773941179437054e-05,0.011274312768454475,0,adam
15,15,0.004045377939681527,0.005256653287650511,[0.00525381 0.00283694],[8.09075588e-03 2.74307778e-12],inf,0.00573700010349177,0.002353755775871285,1.0,4.618727227788482e-05,0.010301470332403362,0,adam
16,16,0.003570092520062641,0.0047601324410940365,[0.00446307 0.00267712],[7.14018504e-03 2.79495982e-12],inf,0.005445198867500636,0.001694986172624647,1.0,3.8290888491812046e-05,0.009091165949814073,0,adam
17,17,0.0030256499221576897,0.004350450299191013,[0.00354236 0.00250894],[6.05129984e-03 2.23685726e-12],inf,0.005137893797033452,0.0009134060472819269,1.0,3.136532712602338e-05,0.007704754258831992,0,adam
