,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.010471903675162557,0.007404754095973736,[0.01570783 0.00523597],[0.00785389 0.0117809  0.01178092],inf,0.013089905416451726,0.007853901933873393,1.0,0.0006393680033755354,0.039999725603623526,0,adam
1,1,0.010421215518563648,0.007369253784885369,[0.01565542 0.00518701],[0.00784609 0.01174939 0.01166816],inf,0.013018792012621759,0.007823639024505533,1.0,0.0006342519180477001,0.03980611110732912,0,adam
2,2,0.010319097932268243,0.00730045951004814,[0.01556125 0.00507695],[0.00783807 0.01169186 0.01142736],inf,0.01286838888512599,0.007769806979410497,1.0,0.0006239362697261354,0.039416050660076474,0,adam
3,3,0.01014340803624477,0.007192876813131717,[0.01541539 0.00487142],[0.00782811 0.01160425 0.01099786],inf,0.012601757005072099,0.007685059067417444,1.0,0.0006066635270383608,0.0387449646903939,0,adam
4,4,0.009869413047823489,0.007057773609334814,[0.0152076  0.00453122],[0.00781461 0.01148236 0.01031127],inf,0.012177269451521887,0.007561556644125091,1.0,0.0005811572434554382,0.03769838092744249,0,adam
5,5,0.00948277892253115,0.006943281772888431,[0.01492905 0.00403651],[0.00779699 0.01132208 0.00932927],inf,0.011573087851177286,0.007392469993885012,1.0,0.0005482298686146955,0.036221547354443384,0,adam
6,6,0.008997792128147213,0.006926126805178112,[0.01457426 0.00342133],[0.0077761  0.01111963 0.00809764],inf,0.01082191823800704,0.007173666018287385,1.0,0.0005118398731890583,0.03436903425859139,0,adam
7,7,0.008457374181568326,0.007046408779298838,[0.01414296 0.00277179],[0.00775387 0.01087209 0.00674617],inf,0.010009328313047279,0.006905420050089379,1.0,0.0004770627942789691,0.032304789757784835,0,adam
8,8,0.008248353348030604,0.006878099417157339,[0.01364118 0.00285552],[0.00773257 0.01057784 0.00643465],inf,0.009903227531843964,0.006593479164217248,1.0,0.0004466978051706356,0.03150638898498381,0,adam
9,9,0.008196063246001443,0.006622420726301709,[0.01308108 0.00331104],[0.00771405 0.01023717 0.00663697],inf,0.010143314803921812,0.006248811688081074,1.0,0.0004208664150058102,0.0313066555078787,0,adam
10,10,0.008073417855053723,0.006524798416076577,[0.01247933 0.0036675 ],[0.00769939 0.0098526  0.00666827],inf,0.010260995875272053,0.005885839834835396,1.0,0.00039871362243667705,0.03083818462267618,0,adam
11,11,0.007897037043679047,0.006546394549740505,[0.01185451 0.00393956],[0.00768893 0.00942898 0.0065732 ],inf,0.010274380359607678,0.005519693727750418,1.0,0.00037946254828235035,0.030164459550751976,0,adam
12,12,0.007684469157194018,0.00665106567584131,[0.01122438 0.00414456],[0.00768249 0.00897321 0.0063977 ],inf,0.010205356625506132,0.005163581688881906,1.0,0.00036257385854139936,0.029352510033711532,0,adam
13,13,0.007591162541825939,0.006651552543631104,[0.01088504 0.00429728],[0.00767955 0.00849362 0.00660032],inf,0.01007407427978236,0.005108250803869518,1.0,0.00034766826195381067,0.028996105016295015,0,adam
14,14,0.0076146037762805,0.006548841250945023,[0.0108201  0.00440911],[0.00767934 0.0079992  0.00716527],inf,0.009897580627404284,0.005331626925156715,1.0,0.0003344847840032315,0.029085643936350047,0,adam
15,15,0.007605075951046991,0.006507640580791314,[0.01072169 0.00448846],[0.007681   0.00749874 0.00763548],inf,0.00968981302596411,0.005520338876129872,1.0,0.0003228675927712333,0.029049250324762133,0,adam
16,16,0.0075678454002590665,0.006514522735339062,[0.01059411 0.00454158],[0.00768362 0.00700017 0.00801974],inf,0.009461908878784826,0.005673781921733304,1.0,0.0003127390782297811,0.028907040096155967,0,adam
17,17,0.0075076242129337905,0.006555318925082848,[0.0104421  0.00457315],[0.00768628 0.0065101  0.0083265 ],inf,0.009222566400567208,0.005792682025300373,1.0,0.000304049114754965,0.028677012104755262,0,adam
18,18,0.007428418311737651,0.006616807377199138,[0.0102701  0.00458674],[0.00768805 0.00603371 0.00856349],inf,0.008978414497625105,0.005878422125850195,1.0,0.0002967115821596452,0.02837446784801756,0,adam
19,19,0.007456943389636952,0.006549770332721596,[0.01032873 0.00458516],[0.00768809 0.00594513 0.00873761],inf,0.008981280709157607,0.005932606070116298,1.0,0.00029054835546363385,0.02848342561961159,0,adam
20,20,0.00749907837327915,0.006454077791727924,[0.01042749 0.00457067],[0.00768556 0.00595682 0.00885486],inf,0.00904134141234736,0.005956815334210938,1.0,0.0002852654093452501,0.028644369401781944,0,adam
21,21,0.007510608590984583,0.0063763027496854495,[0.01047608 0.00454514],[0.00767972 0.00593173 0.00892038],inf,0.009068717192611504,0.005952499989357663,1.0,0.0002804769154079717,0.028688411589207208,0,adam
22,22,0.007492991138568262,0.006312588075768329,[0.01047582 0.00451017],[0.00766986 0.00587051 0.0089386 ],inf,0.009065027783686137,0.005920954493450388,1.0,0.0002757673110657019,0.028621117877925872,0,adam
23,23,0.00744772750949801,0.0062596848061612495,[0.01042834 0.00446712],[0.00765536 0.00577445 0.00891337],inf,0.00903211187141152,0.005863343147584499,1.0,0.000270759786396112,0.02844822355051435,0,adam
24,24,0.007376357886504714,0.006215058406431481,[0.01033552 0.00441719],[0.00763565 0.00564532 0.0088481 ],inf,0.008971963695588456,0.005780752077420973,1.0,0.0002651637270554176,0.028175611671650502,0,adam
25,25,0.007280467456110878,0.006176926705121001,[0.01019946 0.00436148],[0.00761025 0.00548526 0.00874589],inf,0.008886681988405453,0.005674252923816303,1.0,0.0002587938489241048,0.027809337207833407,0,adam
26,26,0.007161699822173423,0.006144244409955137,[0.01002247 0.00430093],[0.00757874 0.00529666 0.00860969],inf,0.008778431255481048,0.005544968388865797,1.0,0.0002515684884073227,0.02735567826334173,0,adam
27,27,0.007021772575033927,0.0061166442385117556,[0.00980712 0.00423642],[0.00754078 0.00508213 0.00844241],inf,0.00864941261879274,0.005394132531275111,1.0,0.00024349731638675232,0.026821195550009946,0,adam
28,28,0.006862490528145054,0.006094340378992517,[0.00955624 0.00416874],[0.00749609 0.00484439 0.00824699],inf,0.008501840838947701,0.005223140217342408,1.0,0.00023466541027750468,0.02621278294741436,0,adam
29,29,0.0066857528957446795,0.006077998273747081,[0.00927289 0.00409861],[0.00744448 0.00458629 0.00802649],inf,0.008337924580924388,0.00503358121056497,1.0,0.00022521684475380318,0.025537694919569587,0,adam
30,30,0.006493551744552197,0.006068576122330363,[0.00896043 0.00402667],[0.0073858  0.00431072 0.00778413],inf,0.008159847918696101,0.004827255570408291,1.0,0.00021533867871365681,0.024803540600843554,0,adam
31,31,0.006287960304229721,0.0060671475183975195,[0.00862242 0.0039535 ],[0.00732001 0.0040206  0.00752328],inf,0.007969752007845428,0.004606168600614015,1.0,0.00020524526069387364,0.024018239145210618,0,adam
32,32,0.006071111132367652,0.006074719669130191,[0.00826261 0.00387961],[0.00724709 0.0037188  0.00724744],inf,0.007769716686391168,0.004372505578344138,1.0,0.00019516256462449275,0.023189936322637106,0,adam
33,33,0.005845165515904153,0.006092065619121481,[0.00788485 0.00380548],[0.00716713 0.00340817 0.0069602 ],inf,0.007561742356638232,0.004128588675170074,1.0,0.00018531240321306686,0.022326887641114235,0,adam
34,34,0.005612276650157851,0.006119589756575818,[0.00749304 0.00373151],[0.00708025 0.00309144 0.00666514],inf,0.007347732839819536,0.003876820460496168,1.0,0.0001758967101511974,0.021437317700924163,0,adam
35,35,0.005374549919482175,0.006157242396065641,[0.00709104 0.00365806],[0.00698663 0.00277122 0.0063658 ],inf,0.007129480017015829,0.0036196198219485207,1.0,0.00016708265925513696,0.020529268477913476,0,adam
36,36,0.005134003843288045,0.006204491790980014,[0.00668256 0.00358544],[0.00688652 0.00244996 0.00606553],inf,0.006908651006358949,0.0033593566802171404,1.0,0.00015899018700285487,0.019610450148289882,0,adam
37,37,0.004892534962504777,0.006260352379057358,[0.00627115 0.00351392],[0.00678022 0.00212994 0.00576744],inf,0.006686778436153594,0.003098291488855961,1.0,0.00015168419308332864,0.018688106964781293,0,adam
38,38,0.004802759842662947,0.006209646233938208,[0.0061618  0.00344372],[0.00666807 0.00181324 0.00592697],inf,0.0064652541180046305,0.0031402655673212626,1.0,0.00014517363323016198,0.018345191266633698,0,adam
39,39,0.004717210778348792,0.006171548647291231,[0.00605938 0.00337504],[0.00655046 0.00150173 0.00609944],inf,0.0062453261774447185,0.0031890953792528664,1.0,0.00013941832860473344,0.018018417911533913,0,adam
40,40,0.004630584575826124,0.006149430168241278,[0.00595315 0.00330802],[0.00642781 0.00119707 0.00626687],inf,0.006028099440469577,0.0032330697111826712,1.0,0.00013434196825677427,0.017687530191547562,0,adam
41,41,0.004542899048148807,0.006141915176715241,[0.00584302 0.00324278],[0.00630059 0.0009007  0.0064274 ],inf,0.005814538719229202,0.0032712593770684133,1.0,0.0001298478630109897,0.017352596147528265,0,adam
42,42,0.004454220026802013,0.006147163872354371,[0.00572902 0.00317942],[0.00616929 0.00061388 0.00657949],inf,0.00560547450105052,0.0033029655525535074,1.0,0.0001258337703508406,0.01701386723722731,0,adam
43,43,0.00436996459267476,0.0061592835397964755,[0.00561131 0.00312862],[0.00603442 0.00035355 0.00672192],inf,0.00541222202594923,0.0033277071594002903,1.0,0.00012220359719488185,0.016692035185458032,0,adam
44,44,0.004376806057815929,0.006115258770401939,[0.00555076 0.00320286],[0.00589653 0.00038013 0.00685376],inf,0.00540841048345539,0.003345201632176465,1.0,0.00011887648433898722,0.01671816765734313,0,adam
45,45,0.004411489534363729,0.006058043991294283,[0.00555027 0.00327271],[0.00575617 0.00050398 0.00697432],inf,0.005467637447387184,0.003355341621340274,1.0,0.00011580097889810118,0.016850648779011657,0,adam
46,46,0.0044399604150200415,0.006010099763539553,[0.00554184 0.00333808],[0.0056139  0.00062281 0.00708317],inf,0.005521750990827033,0.0033581698392130513,1.0,0.00011306174319710231,0.016959399532386676,0,adam
47,47,0.0044621667603498266,0.005969937298752205,[0.00552545 0.00339888],[0.0054703  0.00073615 0.00718005],inf,0.005570479733200624,0.00335385378749903,1.0,0.00011276515671638621,0.01704422152344076,0,adam
48,48,0.0044839365190510825,0.005931718630345229,[0.00551282 0.00345505],[0.00532592 0.00086099 0.00726489],inf,0.00561363019185977,0.0033542428462423955,1.0,0.00011511767294803371,0.017127375876414108,0,adam
49,49,0.004526877170750278,0.005877435087924186,[0.00554718 0.00350657],[0.00518134 0.00106155 0.00733774],inf,0.0056510792033471965,0.003402675138153359,1.0,0.00011747035041759632,0.017291397083874394,0,adam
50,50,0.004561543177353241,0.005828053438851208,[0.00556967 0.00355341],[0.00503711 0.00124875 0.00739877],inf,0.0056827664200936835,0.003440319934612799,1.0,0.00011958309128764066,0.01742381147526939,0,adam
51,51,0.0045882255995200434,0.0057825445820210595,[0.00558086 0.00359559],[0.00489376 0.00142269 0.00744823],inf,0.00570868704044435,0.003467764158595736,1.0,0.00012139723044437715,0.017525730820425522,0,adam
52,52,0.004607258796790785,0.00573996752443315,[0.00558138 0.00363314],[0.00475181 0.00158352 0.00748645],inf,0.005728884875657557,0.0034856327179240104,1.0,0.00012288494344550778,0.01759843227870883,0,adam
53,53,0.004619010062306727,0.005699476446773747,[0.00557193 0.00366609],[0.00461175 0.00173147 0.00751381],inf,0.005743445820235826,0.003494574304377628,1.0,0.00012403314526892692,0.01764331880657566,0,adam
54,54,0.00462387063132223,0.005660322914857415,[0.00555323 0.00369451],[0.00447405 0.00186682 0.00753074],inf,0.0057524917625477465,0.0034952495000967134,1.0,0.0001248386548447012,0.0176618848126171,0,adam
55,55,0.004622247940795106,0.005621854586036463,[0.00552603 0.00371847],[0.00433914 0.00198993 0.00753768],inf,0.005756174945972484,0.0034883209356177274,1.0,0.00012530563484065613,0.017655686591373065,0,adam
56,56,0.00461455900305793,0.005583511523993536,[0.00549106 0.00373806],[0.00420741 0.00210115 0.00753512],inf,0.005754672779860613,0.0034744452262552446,1.0,0.0001254438170834547,0.017626317012621184,0,adam
57,57,0.004601224759878336,0.005544820990040961,[0.00544908 0.00375337],[0.00407921 0.00220092 0.00752354],inf,0.005748183083878619,0.003454266435878052,1.0,0.00012526712962899854,0.017575383955474866,0,adam
58,58,0.004582665289110783,0.005505391358894726,[0.0054008  0.00376453],[0.00395487 0.00228966 0.00750346],inf,0.005736919749562801,0.0034284108286587664,1.0,0.00012479258793417767,0.017504491999143168,0,adam
59,59,0.0045592957463893614,0.005464905620936748,[0.00534696 0.00377163],[0.00383465 0.00236785 0.00747539],inf,0.005721108792424011,0.0033974827003547116,1.0,0.00012403938538146526,0.017415226921337013,0,adam
60,60,0.004531522943186877,0.005423114779562804,[0.00528822 0.00377482],[0.00371877 0.00243597 0.00743983],inf,0.0057009847742324595,0.003362061112141296,1.0,0.00012302814490964235,0.01730914262742056,0,adam
61,61,0.004499742472208906,0.00537983134324003,[0.00522525 0.00377423],[0.0036074  0.00249452 0.0073973 ],inf,0.005676787574342487,0.003322697370075324,1.0,0.0001217803051934543,0.017187750170222005,0,adam
62,62,0.004464336308079293,0.005334923028178826,[0.00515868 0.00376999],[0.00350069 0.002544   0.00734832],inf,0.005648759485962465,0.003279913130196122,1.0,0.00012031762107757089,0.017052508585330806,0,adam
63,63,0.004425670825877936,0.005288306730842205,[0.00508908 0.00376226],[0.0033987  0.00258492 0.00729339],inf,0.0056171426258738,0.003234199025882071,1.0,0.00011866176131040172,0.016904817322465293,0,adam
64,64,0.004384095187822062,0.005239942797602634,[0.00501701 0.00375118],[0.00330148 0.00261779 0.00723302],inf,0.005582176638665015,0.003186013736979109,1.0,0.00011683398932542902,0.016746010083054763,0,adam
65,65,0.004339940062976988,0.005189829594828339,[0.00494297 0.00373691],[0.003209   0.00264314 0.00716769],inf,0.005544096686149108,0.0031357834398048705,1.0,0.00011485491452012653,0.01657734992988824,0,adam
66,66,0.004293516651042629,0.0051379983749024,[0.00486743 0.00371961],[0.00312121 0.00266145 0.00709789],inf,0.005503131711503951,0.0030839015905813096,1.0,0.00011274430308883035,0.016400025558259035,0,adam
67,67,0.004245115987011224,0.0050845084318612305,[0.0047908  0.00369943],[0.00303801 0.00267324 0.0070241 ],inf,0.005459502969142969,0.00303072900487948,1.0,0.00011052093883667819,0.01621514863995044,0,adam
68,68,0.004195008512391847,0.005029442538850155,[0.00471348 0.00367654],[0.00295925 0.002679   0.00694677],inf,0.005413422815015871,0.0029765942097678237,1.0,0.00010820252559142422,0.016023752185433837,0,adam
69,69,0.004143443898160203,0.004972902666934522,[0.00463578 0.0036511 ],[0.00288477 0.00267921 0.00686636],inf,0.005365093749268762,0.002921794047051642,1.0,0.00010580562406476594,0.015826789867587232,0,adam
70,70,0.004090651105980549,0.004915005990073465,[0.00455802 0.00362328],[0.00281434 0.00267433 0.00678329],inf,0.0053147077037101155,0.0028665945082509826,1.0,0.00010334561704452114,0.01562513625554729,0,adam
71,71,0.0040368386802385045,0.0048558811810661484,[0.00448043 0.00359324],[0.00274772 0.00266482 0.00669798],inf,0.005262445568625385,0.0028112317918516255,1.0,0.00010083669777209696,0.015419587930188383,0,adam
