,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.013613552939897093,0.005339674775039435,[0.01570792 0.01570796 0.01570796 0.01570795 0.00523599],[0.01256635 0.01413716 0.01413716],inf,0.01466075756673169,0.012566348313062494,1.0,0.0018837707085027032,0.12999985460566954,0,adam
1,1,0.01354884953238157,0.005314463809225207,[0.01564604 0.01564432 0.01564608 0.01560689 0.00520093],[0.01253128 0.01404844 0.01406683],inf,0.014582191824486734,0.0125155072402764,1.0,0.0018461957307715252,0.12938198257721045,0,adam
2,2,0.013428960909530635,0.005268690155951494,[0.01553209 0.0155268  0.0155306  0.01542101 0.0051343 ],[0.01246777 0.01388399 0.01393512],inf,0.014436556055961797,0.012421365763099473,1.0,0.0017920680350673607,0.12823713056037822,0,adam
3,3,0.013245547836072229,0.005201078032794798,[0.01535531 0.01534806 0.01535297 0.01514114 0.00503026],[0.01237048 0.01363423 0.01373193],inf,0.014214544801970519,0.012276550870173935,1.0,0.0017202140665760592,0.12648566472426315,0,adam
4,4,0.012992663016136035,0.00511261496155913,[0.01510623 0.01510282 0.01510615 0.01476382 0.0048843 ],[0.01223444 0.01329424 0.01344931],inf,0.01390993808986744,0.012075387942404632,1.0,0.0016308789712000604,0.12407079257671838,0,adam
5,5,0.012667962125403808,0.005006908681370746,[0.01477864 0.01478869 0.01478549 0.01429276 0.00469423],[0.01205568 0.01286533 0.01308288],inf,0.013520899551829816,0.011815024698977794,1.0,0.0015260146682440528,0.12097012746953517,0,adam
6,6,0.012273398135417115,0.004889846202033578,[0.01437095 0.01440666 0.01438953 0.01373876 0.0044611 ],[0.01183168 0.01235548 0.01263303],inf,0.013050708698260577,0.011496087572573654,1.0,0.0014092160327918426,0.11720231890718891,0,adam
7,7,0.011815182782542575,0.004768519320515709,[0.01388683 0.01396105 0.01392032 0.01311818 0.00418954],[0.01156159 0.01177848 0.01210549],inf,0.012507655814737803,0.011122709750347338,1.0,0.0012852590549841778,0.11282668460255452,0,adam
8,8,0.011303007099302537,0.0046497069778005645,[0.01333486 0.01345899 0.01338344 0.01245038 0.00388736],[0.01124625 0.01115193 0.01151085],inf,0.011904097498966312,0.010701916699638762,1.0,0.0011593523565612703,0.10793576709940722,0,adam
9,9,0.010748755736921575,0.004538451068211889,[0.01272714 0.01290956 0.01278742 0.01175517 0.00356449],[0.01088811 0.01049481 0.01086335],inf,0.011254940819424153,0.010242570654418994,1.0,0.0010363333215467297,0.10264305645710592,0,adam
10,10,0.010165083922078754,0.0044372566747540865,[0.01207749 0.01232285 0.01214285 0.01105073 0.00323151],[0.01049095 0.00982525 0.01017906],inf,0.010575963705614,0.009754204138543504,1.0,0.0009340613247417754,0.09706940118856733,0,adam
11,11,0.009564194375021018,0.0043461602515310485,[0.01139972 0.01170906 0.01146132 0.0103525  0.00289837],[0.01005954 0.00915901 0.00947404],inf,0.009882346658124234,0.0092460420919178,1.0,0.0008392367511547404,0.0913313286885784,0,adam
