,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.0052359808052800175,0.007404795064936316,[0.00523598 0.00523598 0.00523598],[1.57079424e-02 1.31701914e-12 1.81671444e-12],0.005235980805280017,inf,inf,0.8888888888888888,0.00022499518392512285,0.014999980087702758,0,adam
1,1,0.004861986901737215,0.00687588781376111,[0.00486199 0.00486199 0.00486199],[1.45859607e-02 1.09914363e-12 2.79843316e-12],0.004861986901737215,inf,inf,1.0,0.0001940018275514979,0.013928566475871484,0,adam
2,2,0.00386854693327437,0.005470951537684685,[0.00386855 0.00386855 0.00386855],[1.16056408e-02 8.74292370e-13 1.99482826e-12],0.00386854693327437,inf,inf,1.0,0.0001228221140903965,0.011082570606244957,0,adam
3,3,0.0022586208864214764,0.0031941722881524076,[0.00225862 0.00225862 0.00225862],[6.77586266e-03 5.83171613e-13 1.79834500e-12],0.0022586208864214764,inf,inf,1.0,4.1866864605719236e-05,0.006470472215602374,0,adam
4,4,0.0006313704311087024,0.0008928926234171604,[0.00063137 0.00063137 0.00063137],[1.89411129e-03 1.15448447e-12 3.28347940e-12],0.0006313704311087023,inf,inf,1.0,3.271550520569754e-06,0.001808743050594197,0,adam
5,5,0.0005919161578893917,0.0008370958558454044,[0.00059192 0.00059192 0.00059192],[1.77574847e-03 8.16393753e-13 2.61950550e-12],0.0005919161578893917,inf,inf,1.0,2.8754482727138686e-06,0.0016957148836329594,0,adam
6,6,0.0013928183056190432,0.0019697425349079214,[0.00139282 0.00139282 0.00139282],[4.17845491e-03 1.22168407e-12 2.76646103e-12],0.0013928183056190434,inf,inf,1.0,1.5921120479607633e-05,0.003990130527026681,0,adam
7,7,0.0018487172306533121,0.0026144809781739123,[0.00184872 0.00184872 0.00184872],[5.54615169e-03 1.86066158e-12 1.54593958e-12],0.0018487172306533117,inf,inf,1.0,2.8049507242577797e-05,0.005296184741477417,0,adam
8,8,0.002004591699720455,0.002834920766621088,[0.00200459 0.00200459 0.00200459],[6.01377510e-03 2.01273265e-12 1.01950396e-12],0.0020045916997204556,inf,inf,1.0,3.297888250440436e-05,0.005742732202046685,0,adam
9,9,0.0018727583285792027,0.0026484802254955306,[0.00187276 0.00187276 0.00187276],[5.61827498e-03 1.64580888e-12 9.39864298e-13],0.0018727583285792027,inf,inf,1.0,2.8783772004648666e-05,0.005365057413778018,0,adam
10,10,0.001474440816649625,0.0020851741983094535,[0.00147444 0.00147444 0.00147444],[4.42332245e-03 1.33166819e-12 8.07906606e-13],0.0014744408166496247,inf,inf,1.0,1.7841826729881074e-05,0.004223961796792297,0,adam
11,11,0.0008852240224373969,0.001251895816648089,[0.00088522 0.00088522 0.00088522],[2.65567207e-03 1.10867713e-12 1.18424762e-12],0.0008852240224373969,inf,inf,1.0,6.43119121749823e-06,0.002535980020462736,0,adam
12,12,0.00023111636600732356,0.00032684789718953345,[0.00023112 0.00023112 0.00023112],[6.93349095e-04 9.30098266e-13 2.04598366e-12],0.00023111636600732356,inf,inf,1.0,4.383758864268439e-07,0.0006620996174311333,0,adam
13,13,0.00036775440530568146,0.0005200832661025397,[0.00036775 0.00036775 0.00036775],[1.10326321e-03 6.67345506e-13 1.45851034e-12],0.00036775440530568146,inf,inf,1.0,1.1099438287262879e-06,0.0010535387660681739,0,adam
14,14,0.0008357461708865858,0.001181923567774551,[0.00083575 0.00083575 0.00083575],[2.50723851e-03 6.86877570e-13 1.85112807e-12],0.0008357461708865858,inf,inf,1.0,5.732365281199892e-06,0.002394236416801032,0,adam
15,15,0.0011362036842775607,0.0016068346577198054,[0.0011362 0.0011362 0.0011362],[3.40861105e-03 8.95684630e-13 2.22095840e-12],0.0011362036842775607,inf,inf,1.0,1.0594910110856865e-05,0.003254983788815835,0,adam
16,16,0.0012538640468831431,0.0017732315385832465,[0.00125386 0.00125386 0.00125386],[3.76159214e-03 7.61750480e-13 1.91239830e-12],0.0012538640468831431,inf,inf,1.0,1.2902851704134346e-05,0.0035920558984798845,0,adam
