,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.011780963552126517,0.00680174246493878,[0.01570796 0.01570794 0.01178096 0.00392699],[0.01570796 0.01178096 0.00785396 0.01178097],0.011780963552126515,inf,inf,1.0,0.0009906923479256775,0.059999954678604306,0,adam
1,1,0.011785132270644837,0.0068041541179896465,[0.01570772 0.0157182  0.011786   0.00392861],[0.0157133  0.01178195 0.00785704 0.01178824],0.011785132270644837,inf,inf,1.0,0.000990293918930582,0.06002118578767779,0,adam
2,2,0.011793550407679074,0.006809034882579835,[0.01570638 0.01573462 0.01180231 0.00393088],[0.0157216  0.01179127 0.00786224 0.01179909],0.011793550407679073,inf,inf,1.0,0.0009908683024532107,0.060064059007538084,0,adam
3,3,0.011805418235480668,0.0068159470493135785,[0.01570313 0.01575608 0.01182899 0.00393347],[0.015732   0.01180819 0.007869   0.01181248],0.011805418235480664,inf,inf,1.0,0.0009922584393185145,0.06012450135820613,0,adam
4,4,0.011819563100062411,0.006824254749752122,[0.01569706 0.01578119 0.01186397 0.00393603],[0.01574347 0.01183093 0.00787653 0.01182732],0.011819563100062411,inf,inf,1.0,0.0009942276040474762,0.06019654056196777,0,adam
5,5,0.011834690386151333,0.006833259922510618,[0.01568717 0.01580839 0.01190496 0.00393824],[0.01575488 0.01185753 0.0078839  0.01184245],0.011834690386151335,inf,inf,1.0,0.0009965225363331722,0.060273583197379965,0,adam
6,6,0.011849470550734799,0.00684224520957742,[0.01567238 0.01583604 0.01194971 0.00393976],[0.01576503 0.01188606 0.00789008 0.01185671],0.011849470550734795,inf,inf,1.0,0.000998892565608807,0.06034885795748113,0,adam
7,7,0.011862567955107026,0.006850486642311588,[0.01565152 0.01586241 0.0119961  0.00394025],[0.01577266 0.01191474 0.00789399 0.01186889],0.011862567955107026,inf,inf,1.0,0.0010010944785161246,0.06041556249020141,0,adam
8,8,0.01187264928309991,0.0068572568405448515,[0.01562335 0.01588572 0.01204215 0.00393938],[0.01577649 0.01194186 0.0078945  0.01187775],0.01187264928309991,inf,inf,1.0,0.0010028931237181728,0.06046690627205753,0,adam
9,9,0.011878385638197611,0.006861826008852426,[0.01558657 0.01590417 0.01208597 0.00393683],[0.01577522 0.01196581 0.00789046 0.01188205],0.011878385638197611,inf,inf,1.0,0.0010040611713593491,0.06049612128866966,0,adam
10,10,0.011878453789823482,0.00686346338343335,[0.01553981 0.01591589 0.01212581 0.0039323 ],[0.01576753 0.01198506 0.0078807  0.01188052],0.011878453789823482,inf,inf,1.0,0.0010043791955098738,0.06049646838205014,0,adam
11,11,0.011871538733398218,0.006861440151554019,[0.01548169 0.01591901 0.01215997 0.00392548],[0.01575209 0.01199813 0.00786401 0.01187192],0.011871538733398218,inf,inf,1.0,0.0010036364068199619,0.06046125028887128,0,adam
12,12,0.011856338546602022,0.006855034032887287,[0.01541075 0.01591162 0.01218688 0.00391611],[0.0157276  0.0120036  0.00783918 0.01185498],0.011856338546602022,inf,inf,1.0,0.0010016321249029262,0.06038383637320632,0,adam
13,13,0.011831571625568124,0.006843536088364881,[0.01532558 0.01589179 0.012205   0.00390392],[0.01569274 0.01200009 0.00780498 0.01182848],0.011831571625568124,inf,inf,1.0,0.0009981779118085927,0.06025769948015958,0,adam
14,14,0.011795986496072733,0.006826259604633646,[0.01522472 0.01585762 0.01221292 0.00388869],[0.01564627 0.01198629 0.00776017 0.01179121],0.011795986496072735,inf,inf,1.0,0.0009931002797458153,0.060076465903847076,0,adam
15,15,0.011748373961765295,0.006802551372592154,[0.0151068  0.01580718 0.01220929 0.00387023],[0.01558695 0.01196095 0.00770356 0.01174204],0.011748373961765295,inf,inf,1.0,0.0009862438466378624,0.0598339772578258,0,adam
16,16,0.011687581326494455,0.006771805525852304,[0.01497045 0.0157386  0.01219289 0.00384839],[0.01551363 0.0119229  0.00763392 0.01167987],0.011687581326494457,inf,inf,1.0,0.0009774747790187738,0.05952436290880381,0,adam
17,17,0.011612528330365524,0.006733480098395738,[0.01481441 0.01565006 0.01216258 0.00382306],[0.01542523 0.01187105 0.00755012 0.01160371],0.011612528330365524,inf,inf,1.0,0.0009666843578692364,0.05914212113831541,0,adam
18,18,0.011522224368819865,0.006687116406808114,[0.01463751 0.01553981 0.01211741 0.00379417],[0.01532078 0.01180442 0.00745105 0.01151265],0.011522224368819866,inf,inf,1.0,0.0009537924829553029,0.058682206838770234,0,adam
19,19,0.011415786376196741,0.006632361505758177,[0.0144387  0.0154062  0.01205653 0.00376172],[0.0151994  0.01172215 0.00733568 0.01140591],0.011415786376196741,inf,inf,1.0,0.0009387509051582643,0.05814012259369039,0,adam
20,20,0.011292456853342356,0.006568993609921628,[0.01421708 0.01524773 0.01197929 0.00372574],[0.01506036 0.01162353 0.00720309 0.01128284],0.011292456853342358,inf,inf,1.0,0.0009215460017732158,0.05751201049156429,0,adam
21,21,0.011151621272020854,0.0064969506072413506,[0.0139719  0.01506306 0.01188521 0.00368632],[0.01490307 0.01150799 0.00705249 0.01114293],0.011151621272020852,inf,inf,1.0,0.0009022008834108954,0.056794740765787166,0,adam
22,22,0.010992824276406904,0.006416361255676887,[0.01370259 0.01485106 0.01177402 0.00364362],[0.01472708 0.01137513 0.00688324 0.01098584],0.010992824276406904,inf,inf,1.0,0.0008807766813064703,0.055985994308184184,0,adam
23,23,0.010815784004168393,0.006327578582466704,[0.0134088  0.01461085 0.01164566 0.00359782],[0.01453212 0.01122472 0.00669488 0.01081141],0.010815784004168395,inf,inf,1.0,0.0008573728625346052,0.05508433560568493,0,adam
24,24,0.010620403899955968,0.006231214618143529,[0.01309034 0.01434182 0.01150028 0.00354918],[0.01431808 0.01105673 0.00648716 0.01061964],0.010620403899955968,inf,inf,1.0,0.0008321264927326094,0.05408927290593368,0,adam
25,25,0.010406781580746094,0.0061281748873666985,[0.01274725 0.01404367 0.01133822 0.00349798],[0.01408504 0.0108713  0.00626008 0.01041071],0.010406781580746094,inf,inf,1.0,0.0008052103996763339,0.0530013033681096,0,adam
26,26,0.010175214313647268,0.006019690562196927,[0.01237978 0.01371645 0.01116008 0.00344455],[0.01383324 0.01066877 0.00601386 0.01018499],0.010175214313647268,inf,inf,1.0,0.0007768302540411856,0.05182194096116399,0,adam
27,27,0.009926200794674052,0.005907345297415137,[0.01198838 0.01336056 0.01096661 0.00338925],[0.0135631  0.01044964 0.00574906 0.009943  ],0.00992620079467405,inf,inf,1.0,0.0007472206309569661,0.05055372552304238,0,adam
28,28,0.009660439139110532,0.005793092572478311,[0.01157372 0.01297679 0.01075878 0.00333247],[0.01327523 0.01021459 0.00546648 0.00968545],0.009660439139110534,inf,inf,1.0,0.0007166401752654012,0.0492002125256914,0,adam
29,29,0.009378821004634321,0.005679258437025698,[0.01113666 0.01256633 0.01053771 0.00327459],[0.01297038 0.00996446 0.00516726 0.00941319],0.009378821004634321,inf,inf,1.0,0.000685366019323465,0.04776594314437266,0,adam
30,30,0.009082421957525911,0.00556852339513805,[0.01067828 0.01213072 0.01030466 0.00321603],[0.01264949 0.00970021 0.0048528  0.00912718],0.009082421957525913,inf,inf,1.0,0.0006536876536669631,0.046256395193171596,0,adam
31,31,0.008772488255268053,0.0054638766101884955,[0.01019984 0.01167191 0.010061   0.0031572 ],[0.01231365 0.00942294 0.00452482 0.00882854],0.008772488255268052,inf,inf,1.0,0.0006219004458918879,0.044677915809328006,0,adam
32,32,0.008450420375533983,0.0053685358342656355,[0.0097028  0.01119216 0.00980821 0.00309851],[0.0119641  0.00913384 0.00418527 0.00851847],0.008450420375533983,inf,inf,1.0,0.0005902990358528881,0.04303763756706247,0,adam
33,33,0.008117753636239608,0.005285828575035123,[0.00918882 0.01069406 0.00954781 0.00304033],[0.01160222 0.00883418 0.00383635 0.00819826],0.008117753636239608,inf,inf,1.0,0.0005591708172857055,0.04134337977631164,0,adam
34,34,0.007776136432404433,0.005219034223792087,[0.00865975 0.01018041 0.00928136 0.00298303],[0.01122954 0.0085253  0.00348042 0.00786929],0.007776136432404435,inf,inf,1.0,0.0005287897142327571,0.03960353764397273,0,adam
35,35,0.007427306535982369,0.005171194146747775,[0.00811759 0.00965427 0.00901042 0.00292695],[0.01084772 0.00820856 0.00311998 0.00753296],0.0074273065359823694,inf,inf,1.0,0.0004994104279035286,0.03782696156993093,0,adam
36,36,0.007073066051805939,0.0051449055287822645,[0.00756455 0.00911878 0.00873653 0.00287241],[0.01045855 0.00788537 0.0027576  0.00719075],0.007073066051805939,inf,inf,1.0,0.0004712633096830386,0.0360228295987326,0,adam
37,37,0.0067152555531985285,0.005142123473891926,[0.00700301 0.00857717 0.00846119 0.00281966],[0.0100639  0.00755712 0.00239587 0.00684412],0.006715255553198528,inf,inf,1.0,0.00044454997814147746,0.03420051569333871,0,adam
38,38,0.006355727964477976,0.005164000505135522,[0.00643546 0.00803267 0.00818583 0.00276896],[0.00966576 0.00722522 0.00203733 0.00649459],0.006355727964477977,inf,inf,1.0,0.0004194397682852921,0.032369456719810064,0,adam
39,39,0.0059963226980777615,0.0052107902550289934,[0.00586457 0.00748846 0.00791179 0.00272047],[0.00926615 0.00689106 0.00168442 0.00614366],0.0059963226980777615,inf,inf,1.0,0.0003960670690869113,0.030539020728742372,0,adam
40,40,0.0057484518303348026,0.005162322149266589,[0.00529307 0.00738605 0.00764033 0.00267436],[0.00886716 0.00655597 0.00177787 0.0057928 ],0.005748451830334802,inf,inf,1.0,0.00037452958152250806,0.02927662476555004,0,adam
41,41,0.005623211919309501,0.005020771873599882,[0.00512699 0.00736255 0.00737259 0.00263072],[0.00887406 0.00622129 0.00195402 0.00544348],0.005623211919309501,inf,inf,1.0,0.00035488751033175214,0.0286387831363637,0,adam
42,42,0.005525504085053036,0.004896639390358686,[0.00507183 0.00733099 0.00710958 0.00258961],[0.00899155 0.00588828 0.00212507 0.00509713],0.0055255040850530355,inf,inf,1.0,0.00033716368943002373,0.028141161222740685,0,adam
43,43,0.005493004363119859,0.0047482596251832146,[0.005278   0.00729078 0.0068522  0.00255104],[0.0091134  0.00555815 0.00228958 0.00501089],0.005493004363119859,inf,inf,1.0,0.00032134462242280605,0.02797564149810805,0,adam
44,44,0.005497685115669614,0.004605694582701655,[0.0056331  0.00724146 0.00660121 0.00251497],[0.00923798 0.00523207 0.00244628 0.00507441],0.005497685115669614,inf,inf,1.0,0.0003073823996173851,0.02799948037508959,0,adam
45,45,0.005502069713669498,0.004511779979525159,[0.00598694 0.00718279 0.00635722 0.00248132],[0.00936357 0.00491113 0.00259408 0.0051395 ],0.0055020697136694986,inf,inf,1.0,0.0002951974268735231,0.028021810949334647,0,adam
46,46,0.0055055714522479725,0.004465749444332421,[0.00633691 0.00711465 0.00612075 0.00244998],[0.0094884  0.00459636 0.00273204 0.00520549],0.0055055714522479725,inf,inf,1.0,0.0002846818647529718,0.028039645157468485,0,adam
47,47,0.005507702807958285,0.004464420731728167,[0.00668044 0.00703747 0.00589213 0.00242077],[0.00961069 0.00428908 0.00285941 0.00527164],0.005507702807958286,inf,inf,1.0,0.0002757036382795689,0.02805050006296539,0,adam
48,48,0.0055954549074204215,0.004393486792267733,[0.00701505 0.00730165 0.00567161 0.00239351],[0.00972869 0.00434043 0.00297555 0.00533714],0.005595454907420422,inf,inf,1.0,0.0002812325419525857,0.028497417835640526,0,adam
49,49,0.005679223539379515,0.004356983599350893,[0.00733838 0.00755124 0.0054593  0.00236797],[0.00984072 0.00439502 0.00307997 0.00540118],0.005679223539379515,inf,inf,1.0,0.0002945190047862135,0.028924047974915323,0,adam
50,50,0.005758079176294345,0.004350644452542789,[0.00764823 0.00778502 0.00525519 0.00234388],[0.00994515 0.004452   0.00317228 0.00546289],0.005758079176294346,inf,inf,1.0,0.0003074599174568604,0.02932565643589613,0,adam
