,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.01178097083431245,0.006801746681246854,[0.01178097],[2.17991781e-12 1.57079616e-02 1.57079608e-02 1.57079609e-02],0.01178097083431245,inf,inf,1.0,0.00022499571953250953,0.014999997941618215,0,adam
1,1,0.011783883011674675,0.00680342811186292,[0.01178388],[1.61837098e-13 1.57101323e-02 1.57129508e-02 1.57124490e-02],0.011783883011674675,inf,inf,1.0,0.00022510696607423925,0.015003705840997084,0,adam
2,2,0.011788334081021406,0.006805998407025799,[0.01178833],[1.65108719e-11 1.57133270e-02 1.57206565e-02 1.57193529e-02],0.011788334081021406,inf,inf,1.0,0.00022527705213763442,0.015009373118505698,0,adam
3,3,0.011794022095194031,0.006809283692218561,[0.01179402],[2.48119989e-11 1.57172260e-02 1.57306211e-02 1.57282412e-02],0.011794022095194031,inf,inf,1.0,0.00022549449831993227,0.015016615323081295,0,adam
4,4,0.011800645716368574,0.0068131105344736665,[0.01180065],[2.65496550e-12 1.57215082e-02 1.57423905e-02 1.57386841e-02],0.011800645716368574,inf,inf,1.0,0.00022574784385747215,0.015025048779490069,0,adam
5,5,0.01180790538967532,0.0068173065299672805,[0.01180791],[1.91637447e-11 1.57258527e-02 1.57555143e-02 1.57502546e-02],0.01180790538967532,inf,inf,1.0,0.0002260256809967008,0.015034292082626077,0,adam
6,6,0.01181550435088953,0.0068217009831035855,[0.0118155],[7.97745283e-12 1.57299399e-02 1.57695475e-02 1.57625300e-02],0.01181550435088953,inf,inf,1.0,0.00022631668614783436,0.015043967380542922,0,adam
7,7,0.01182314973543447,0.00682612538063705,[0.01182315],[5.94960608e-12 1.57334531e-02 1.57840520e-02 1.57750938e-02],0.01182314973543447,inf,inf,1.0,0.00022660965801888307,0.015053701786480245,0,adam
8,8,0.011830553581632933,0.006830414033063214,[0.01183055],[5.19762164e-12 1.57360798e-02 1.57985978e-02 1.57875367e-02],0.011830553581632933,inf,inf,1.0,0.0002268935547276494,0.015063128656243263,0,adam
9,9,0.011837433871535519,0.006834404628399785,[0.01183743],[2.61799409e-12 1.57375129e-02 1.58127646e-02 1.57994580e-02],0.011837433871535519,inf,inf,1.0,0.00022715753524294463,0.015071888913426479,0,adam
10,10,0.011843515543308127,0.006837938800732959,[0.01184352],[2.79866568e-12 1.57374519e-02 1.58261431e-02 1.58104671e-02],0.011843515543308127,inf,inf,1.0,0.00022739100244243858,0.015079632338425464,0,adam
11,11,0.011848531476836096,0.006840862696536246,[0.01184853],[4.65839717e-12 1.57356048e-02 1.58383362e-02 1.58201849e-02],0.011848531476836096,inf,inf,1.0,0.000227583647614351,0.015086018823347036,0,adam
12,12,0.011852223453491791,0.00684302752205922,[0.01185222],[9.26377873e-13 1.57316886e-02 1.58489604e-02 1.58282449e-02],0.011852223453491791,inf,inf,1.0,0.00022772549615908213,0.015090719594023305,0,adam
13,13,0.011854343087274115,0.006844290061171033,[0.01185434],[5.30923343e-12 1.57254309e-02 1.58576469e-02 1.58342945e-02],0.011854343087274115,inf,inf,1.0,0.00022780695406516752,0.01509341839557532,0,adam
14,14,0.01185465269462398,0.006844513204958649,[0.01185465],[2.39616566e-12 1.57165714e-02 1.58640430e-02 1.58379964e-02],0.01185465269462398,inf,inf,1.0,0.0002278188535502441,0.015093812599896506,0,adam
15,15,0.011852926144141945,0.006843566406730387,[0.01185293],[1.04161705e-11 1.57048623e-02 1.58678131e-02 1.58390292e-02],0.011852926144141945,inf,inf,1.0,0.00022775249907274378,0.015091614287546795,0,adam
16,16,0.011848949620146473,0.0068413261625777004,[0.01184895],[1.66824750e-11 1.56900699e-02 1.58686393e-02 1.58370892e-02],0.011848949620146473,inf,inf,1.0,0.00022759971077866353,0.015086551219945177,0,adam
17,17,0.011842522349679849,0.006837676418189654,[0.01184252],[6.76227944e-12 1.56719754e-02 1.58662233e-02 1.58318907e-02],0.011842522349679849,inf,inf,1.0,0.00022735286688284519,0.01507836776502236,0,adam
18,18,0.011833457268447228,0.006832508932045955,[0.01183346],[1.01580682e-11 1.56503759e-02 1.58602861e-02 1.58231671e-02],0.011833457268447228,inf,inf,1.0,0.00022700494363348642,0.015066825745120749,0,adam
