,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.009817458036984729,0.007604570294538462,[0.00785396 0.00785397 0.01570793 0.00785396],[0.00785397 0.01178095],0.009817458036984729,inf,inf,1.0,0.0006249650289959201,0.024999951602934,0,adam
1,1,0.009728138302509463,0.007535522086893992,[0.00775891 0.00781791 0.01557682 0.00775891],[0.00778841 0.01166787],0.009728138302509464,inf,inf,1.0,0.0006136454116087543,0.024772500766815586,0,adam
2,2,0.009694655702342637,0.007509719857237683,[0.00772273 0.00780522 0.01552795 0.00772273],[0.00776397 0.01162534],0.009694655702342637,inf,inf,1.0,0.000609428768502012,0.024687238025629776,0,adam
3,3,0.009701524854077461,0.0075150767665743586,[0.00772609 0.00781392 0.01554001 0.00772609],[0.00777    0.01163305],0.009701524854077461,inf,inf,1.0,0.00061029265244349,0.024704730176885015,0,adam
4,4,0.009736218526428891,0.007541924751647582,[0.00775528 0.00783952 0.0155948  0.00775528],[0.0077974  0.01167504],0.009736218526428891,inf,inf,1.0,0.0006146651744060415,0.024793076888064647,0,adam
5,5,0.009790070447971833,0.00758358694757521,[0.00780149 0.0078779  0.0156794  0.00780149],[0.0078397  0.01174044],0.009790070447971833,inf,inf,1.0,0.000621483165244274,0.02493020968020132,0,adam
6,6,0.009857046274691113,0.007635410230361584,[0.00785894 0.00792568 0.01578462 0.00785894],[0.00789231 0.01182178],0.009857046274691113,inf,inf,1.0,0.0006300151847744235,0.025100762222441952,0,adam
7,7,0.009932763480765671,0.007694010041589227,[0.0079236  0.00798012 0.01590372 0.0079236 ],[0.00795186 0.01191366],0.009932763480765671,inf,inf,1.0,0.0006397308036764584,0.025293574504424488,0,adam
8,8,0.010013863812784251,0.007756788990168561,[0.00799251 0.00803896 0.01603147 0.00799251],[0.00801574 0.01201199],0.010013863812784251,inf,inf,1.0,0.0006502195998339025,0.02550009480405846,0,adam
9,9,0.01009762145809924,0.007821636340378718,[0.00806331 0.00810027 0.01616359 0.00806331],[0.00808179 0.01211345],0.01009762145809924,inf,inf,1.0,0.0006611415796583563,0.02571338189643635,0,adam
10,10,0.010181693741589531,0.007886736561446488,[0.00813403 0.00816235 0.01629637 0.00813403],[0.00814819 0.0122152 ],0.010181693741589533,inf,inf,1.0,0.0006721960540685053,0.025927470208348735,0,adam
11,11,0.010263957163510423,0.007950443229518298,[0.00820288 0.0082236  0.01642648 0.00820288],[0.00821324 0.01231468],0.010263957163510423,inf,inf,1.0,0.0006831013859520964,0.026136952292098226,0,adam
12,12,0.010342395494448611,0.008011192779927593,[0.00826819 0.00828251 0.0165507  0.00826819],[0.00827535 0.01240944],0.010342395494448611,inf,inf,1.0,0.0006935813519301559,0.02633669386164561,0,adam
13,13,0.01041502060949939,0.008067443470874328,[0.0083283  0.00833759 0.01666589 0.0083283 ],[0.00833294 0.0124971 ],0.01041502060949939,inf,inf,1.0,0.0007033557448302616,0.026521632198492684,0,adam
14,14,0.010479815057038254,0.008117631055218101,[0.00838155 0.00838731 0.01676886 0.00838155],[0.00838443 0.0125752 ],0.010479815057038254,inf,inf,1.0,0.0007121339504037626,0.026686629904264292,0,adam
