,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.0026179937734547884,0.005854011960810982,[0.00261799],[7.85398124e-03 7.84566372e-11 6.80395947e-12],0.005235987493574718,inf,5.333485739958225e-11,1.0,2.499994582147751e-05,0.004999999800349819,0,adam
1,1,0.002617900418857082,0.005853803191126646,[0.0026179],[7.85370114e-03 1.03709154e-10 8.22474271e-12],0.0052358007776378375,inf,6.00763258948166e-11,1.0,2.4998162855212443e-05,0.004999821506201485,0,adam
2,2,0.0026177247745383728,0.005853410406823889,[0.00261772],[7.85317417e-03 1.36082503e-10 1.40184411e-11],0.005235449485471162,inf,6.360558376566829e-11,1.0,2.4994808438283204e-05,0.004999486050262902,0,adam
3,3,0.002617451848975679,0.0058528001816627135,[0.00261745],[7.85235546e-03 7.62844799e-11 7.92112375e-12],0.005234903649172528,inf,4.877882917405848e-11,1.0,2.498959692929007e-05,0.004998964800833949,0,adam
4,4,0.0026170668353655397,0.005851939242158742,[0.00261707],[7.85120039e-03 1.03040965e-10 1.20284377e-11],0.005234133620407822,inf,5.032325734497671e-11,1.0,2.498224572231675e-05,0.004998229479003413,0,adam
5,5,0.002616554977448097,0.00585079471380943,[0.00261655],[7.84966484e-03 8.12043800e-11 8.39224759e-12],0.005233109914407214,inf,4.048897959027484e-11,1.0,2.4972474440826192e-05,0.004997251902390865,0,adam
6,6,0.0026159018063577847,0.0058493341784060056,[0.0026159],[7.84770533e-03 8.45264003e-11 5.47063454e-12],0.005231803582765766,inf,2.9949803612125415e-11,1.0,2.4960008249194894e-05,0.004996004437498369,0,adam
7,7,0.002615093094931898,0.005847525849750702,[0.00261509],[7.84527920e-03 6.18731304e-11 2.44237120e-11],0.005230186161245835,inf,2.8617961026160824e-11,1.0,2.4944577866871013e-05,0.004994459912446736,0,adam
8,8,0.002614114960598792,0.005845338675746391,[0.00261411],[7.84234481e-03 5.59720057e-11 1.58314351e-11],0.005228229892970904,inf,2.822668031182589e-11,1.0,2.4925921075959908e-05,0.004992591813477221,0,adam
9,9,0.002612953901562253,0.005842742462300202,[0.00261295],[7.83886163e-03 6.38116877e-11 6.16986498e-12],0.005225907766132929,inf,3.699157758503831e-11,1.0,2.4903784232392955e-05,0.004990374354058469,0,adam
10,10,0.0026115968545146434,0.005839707978562808,[0.0026116],[7.83479046e-03 8.44189740e-11 1.92893079e-11],0.005223193640358271,inf,6.867101518532621e-11,1.0,2.4877923218459478e-05,0.004987782585111011,0,adam
11,11,0.0026100312050804843,0.005836207073303246,[0.00261003],[7.83009350e-03 8.59886020e-11 3.15520432e-11],0.005220062336558457,inf,7.360251245466062e-11,1.0,2.4848103677824853e-05,0.004984792414951755,0,adam
12,12,0.002608244885632768,0.005832212741409242,[0.00260824],[7.82473454e-03 8.11582529e-11 3.12813846e-11],0.005216489698819601,inf,7.244593526072096e-11,1.0,2.4814103001981933e-05,0.004981380796111212,0,adam
13,13,0.0026062263611262224,0.005827699229010055,[0.00260623],[7.81867902e-03 3.72967370e-11 2.75725596e-11],0.005212452678520969,inf,4.3731476539448557e-11,1.0,2.477571070474905e-05,0.004977525698275809,0,adam
14,14,0.0026039647249625725,0.005822642077495682,[0.00260396],[7.81189413e-03 6.28252313e-12 3.59812002e-11],0.005207929410278892,inf,3.9646252430014315e-11,1.0,2.473272967007521e-05,0.004973206291376542,0,adam
15,15,0.0026014496566621683,0.005817018217152807,[0.00260145],[7.80434892e-03 2.76124957e-11 2.21379373e-11],0.005202899273721798,inf,3.960253781150594e-11,1.0,2.4684976157549168e-05,0.004968402864749866,0,adam
16,16,0.002598671476770862,0.005810806005042521,[0.00259867],[7.79601437e-03 4.39646696e-11 2.07271817e-11],0.005197342904262153,inf,4.927957082808925e-11,1.0,2.4632280506241475e-05,0.004963096931999811,0,adam
