,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.001963492119707296,0.005194911768701376,[0.00196349],[7.85396838e-03 4.11959124e-11 3.61936114e-11 2.42103416e-11],0.003926984205272718,inf,3.414187275988199e-11,1.0,2.499986397081213e-05,0.004999991625174394,0,adam
1,1,0.001965641530481907,0.005200598555272434,[0.00196564],[7.86256601e-03 3.46456954e-11 2.50756818e-11 5.43790090e-11],0.003931283031976661,inf,2.898715190667504e-11,1.0,2.5054627838532338e-05,0.005005465054766622,0,adam
2,2,0.0019693239414841565,0.005210341314114619,[0.00196932],[7.87729567e-03 2.68011303e-11 1.59529873e-11 5.24976527e-11],0.003938647844037945,inf,3.893036742079805e-11,1.0,2.5148589715646257e-05,0.005014842237382577,0,adam
3,3,0.0019744937539044032,0.005224019361738434,[0.00197449],[7.89797493e-03 3.77753598e-11 3.10978355e-11 1.49106378e-11],0.003948987475640894,inf,3.216791358343401e-11,1.0,2.5280801472101023e-05,0.005028007056607331,0,adam
4,4,0.001981056456972529,0.005241382639188432,[0.00198106],[7.92422574e-03 4.32129468e-11 3.22809205e-11 1.30498600e-11],0.003962112886922971,inf,2.7022086794896974e-11,1.0,2.5449133990392657e-05,0.005044718842740714,0,adam
5,5,0.0019888919945240755,0.005262113555724743,[0.00198889],[7.95556793e-03 1.43131660e-11 2.05704020e-11 1.12790691e-11],0.003977783973401923,inf,1.5646229295216922e-11,1.0,2.5650846236030018e-05,0.005064671875270488,0,adam
6,6,0.0019978690102512146,0.005285864482959595,[0.00199787],[7.99147596e-03 2.14535303e-11 3.69778586e-11 1.95627568e-11],0.003995737991488944,inf,2.9013485313835004e-11,1.0,2.5882922303187775e-05,0.005087531658105382,0,adam
7,7,0.002007853226336832,0.005312280223285066,[0.00200785],[8.03141281e-03 1.59528129e-11 3.30733642e-11 4.45411271e-11],0.004015706423939731,inf,2.8733932653719612e-11,1.0,2.6142264467953493e-05,0.005112956255592271,0,adam
8,8,0.002018712439818046,0.005341011010394452,[0.00201871],[8.07484968e-03 2.10405667e-11 2.01832486e-11 4.09057217e-11],0.004037424850606563,inf,2.902952950892584e-11,1.0,2.642580264616258e-05,0.005140609015650277,0,adam
9,9,0.0020303192439692238,0.005371719712253697,[0.00203032],[8.12127687e-03 2.99653246e-11 3.46008763e-11 4.62442533e-11],0.004060638460822711,inf,2.7115736064068505e-11,1.0,2.6730551524898783e-05,0.005170165499716939,0,adam
10,10,0.0020425523464057222,0.005404085478560174,[0.00204255],[8.17020930e-03 3.28333989e-11 1.43164794e-11 3.91865514e-11],0.004085104679823146,inf,1.2988299106309443e-11,1.0,2.7053635759314487e-05,0.005201316839270609,0,adam
11,11,0.0020552971947318983,0.005437805176909948,[0.0020553],[8.22118869e-03 2.15278219e-11 3.99831805e-11 2.43052116e-11],0.004110594361541144,inf,2.79226544410828e-11,1.0,2.7392299598596008e-05,0.0052337713290318,0,adam
12,12,0.002068445986632473,0.005472593596657575,[0.00206845],[8.27378384e-03 4.17351369e-11 2.03095095e-11 4.12925264e-11],0.004136891957420781,inf,1.5844165832478912e-11,1.0,2.7743905158065344e-05,0.00526725445265841,0,adam
13,13,0.002081897472489471,0.005508182893012701,[0.0020819],[8.32758979e-03 4.63513308e-11 8.06151046e-12 4.12768310e-11],0.004163794933338879,inf,1.1640063538404207e-11,1.0,2.8105925144254488e-05,0.0053015083801155605,0,adam
