,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.005890471480903815,0.007604565976723474,[0.00589047],[9.26622024e-12 7.85397687e-03 7.85393088e-03 7.85397817e-03],0.011780942957195447,inf,4.612182908341714e-12,1.0,0.00022499465486424116,0.014999962453242865,0,adam
1,1,0.005874877429232728,0.007584463704170521,[0.00587488],[5.33826993e-12 7.84573174e-03 7.80871834e-03 7.84505964e-03],0.011749754848718912,inf,9.746543329191546e-12,1.0,0.00022380498111297109,0.014960252526742268,0,adam
2,2,0.005845581132856494,0.007546871820384686,[0.00584558],[8.10850949e-12 7.83110130e-03 7.72191312e-03 7.82931011e-03],0.011691162252198937,inf,1.351405168402802e-11,1.0,0.00022157848746783942,0.014885650120621374,0,adam
3,3,0.005799597129061718,0.007488372306242185,[0.0057996],[1.40826178e-11 7.80939434e-03 7.58295535e-03 7.80603881e-03],0.011599194242015762,inf,1.6107674297503464e-11,1.0,0.0002181061874050215,0.014768552816507796,0,adam
4,4,0.005733596677908839,0.007405594866771458,[0.0057336],[6.65276037e-12 7.77990513e-03 7.37994263e-03 7.77453895e-03],0.011467193340106575,inf,1.5711103649279883e-11,1.0,0.00021317034693908488,0.014600484047751383,0,adam
5,5,0.005644091474207901,0.007295786360788094,[0.00564409],[1.22144283e-11 7.74192119e-03 7.10034965e-03 7.73409504e-03],0.011288182924013323,inf,2.4402479561111368e-11,1.0,0.00020656695059642621,0.014372560918128219,0,adam
6,6,0.005527776067974342,0.007157686759575665,[0.00552778],[7.25546405e-12 7.69473216e-03 6.73238083e-03 7.68399127e-03],0.011055552114837313,inf,2.1111370444746647e-11,1.0,0.0001981408121053113,0.014076366168371157,0,adam
7,7,0.005382043202943815,0.006992648786159095,[0.00538204],[8.23442154e-12 7.63763957e-03 6.26701238e-03 7.62352085e-03],0.010764086388741836,inf,1.714579475757951e-11,1.0,0.00018783122408960065,0.013705260474922376,0,adam
8,8,0.005205612752616512,0.006805725542008886,[0.00520561],[9.14902786e-12 7.56996743e-03 5.70048761e-03 7.55199597e-03],0.01041122549075959,inf,1.4473433512761517e-11,1.0,0.00017571853885170024,0.01325598402241801,0,adam
9,9,0.004999112035795901,0.006606201332259268,[0.00499911],[7.32565740e-12 7.49107313e-03 5.03661679e-03 7.46875821e-03],0.009998224060794363,inf,1.0797438107641546e-11,1.0,0.0001620541296224308,0.012730134265073634,0,adam
10,10,0.004765370176104119,0.006406952852908995,[0.00476537],[1.45282802e-11 7.40035871e-03 4.28793273e-03 7.37318925e-03],0.00953074033433871,inf,1.7869527470916298e-11,1.0,0.000147254366943949,0.012134915507034716,0,adam
11,11,0.004509227100891445,0.006222347420640966,[0.00450923],[1.56869502e-11 7.29728231e-03 3.47490409e-03 7.26472199e-03],0.009018454186323828,inf,1.545906155194253e-11,1.0,0.00013184985999521305,0.011482652522093018,0,adam
12,12,0.004236839471633962,0.006065131724315458,[0.00423684],[1.20440459e-11 7.18137055e-03 2.62313458e-03 7.14285274e-03],0.008473678929355294,inf,1.3912627856637955e-11,1.0,0.00011640189050712465,0.01078902311995833,0,adam
13,13,0.003954697405557764,0.005943502000998987,[0.0039547],[1.60888398e-11 7.05223200e-03 1.75940256e-03 7.00715504e-03],0.007909394799420879,inf,1.1694648680398043e-11,1.0,0.00010141520560858124,0.010070554248435393,0,adam
14,14,0.003668686448762965,0.005859625243132658,[0.00366869],[1.61599051e-11 6.90957243e-03 9.07877701e-04 6.85729564e-03],0.007337372883800862,inf,1.3725067728157543e-11,1.0,8.72766885545042e-05,0.009342233327598093,0,adam
15,15,0.0033834609687449163,0.0058101150515288726,[0.00338346],[1.03744905e-11 6.75321159e-03 8.75796555e-05 6.69305261e-03],0.006766921922265896,inf,1.5223935616820524e-11,1.0,7.423349056250055e-05,0.008615912606947829,0,adam
16,16,0.003446504017470502,0.005589773854091447,[0.0034465],[8.54745774e-12 6.58310111e-03 6.88579906e-04 6.51433505e-03],0.006893008020579313,inf,1.4361690925756565e-11,1.0,7.702558716481403e-05,0.008776450412264047,0,adam
17,17,0.003533503450446653,0.005382183305199053,[0.0035335],[7.70705582e-12 6.39934245e-03 1.41346796e-03 6.32120338e-03],0.007067006891334845,inf,9.558460020436431e-12,1.0,8.096332528750527e-05,0.008997992649133701,0,adam
18,18,0.003600191283335639,0.005209130163663565,[0.00360019],[6.51490237e-12 6.20220380e-03 2.08467239e-03 6.11388893e-03],0.007200382555877241,inf,1.0794037435855989e-11,1.0,8.404818467759354e-05,0.009167811821107597,0,adam
19,19,0.003647040363569028,0.005066382728462836,[0.00364704],[6.46162518e-12 5.99213439e-03 2.70321577e-03 5.89281129e-03],0.007294080715314008,inf,1.1824048601674162e-11,1.0,8.624982957596029e-05,0.009287112024282784,0,adam
20,20,0.0036751796915777592,0.004949967845277528,[0.00367518],[5.55198908e-12 5.76977528e-03 3.27235134e-03 5.65859214e-03],0.00735035937101791,inf,1.2137607979645139e-11,1.0,8.758590330809153e-05,0.009358768234648762,0,adam
21,21,0.0036861512023878655,0.004856743455069566,[0.00368615],[6.35480921e-12 5.53596536e-03 3.79657506e-03 5.41206438e-03],0.007372302394134288,inf,1.0641443189068111e-11,1.0,8.81096203275224e-05,0.009386706957506652,0,adam
22,22,0.003681723582389303,0.004784601241857711,[0.00368172],[9.06558060e-12 5.29174188e-03 4.28087699e-03 5.15427544e-03],0.00736344715307842,inf,1.170018567163863e-11,1.0,8.789808327670962e-05,0.009375432115764193,0,adam
23,23,0.0036637560935851837,0.0047323974247351006,[0.00366376],[6.23552410e-12 5.03833503e-03 4.73020516e-03 4.88648418e-03],0.007327512176891314,inf,1.0279053652125014e-11,1.0,8.704226526167612e-05,0.00932967828123421,0,adam
24,24,0.0036341024265921108,0.004699711107615626,[0.0036341],[5.70667604e-12 4.77715630e-03 5.14910235e-03 4.61015105e-03],0.007268204843363692,inf,9.820529739705553e-12,1.0,8.563897398272742e-05,0.009254165838310069,0,adam
25,25,0.0035945456759298865,0.004686515741959905,[0.00359455],[6.76576731e-12 4.50978107e-03 5.54148015e-03 4.32692148e-03],0.007189091339133936,inf,1.2725837001834294e-11,1.0,8.378479436858282e-05,0.009153435399901433,0,adam
26,26,0.0035467577629778283,0.004692834170495738,[0.00354676],[6.76070990e-12 4.23792572e-03 5.91050238e-03 4.03860295e-03],0.007093515513422263,inf,1.2533393857456667e-11,1.0,8.157185357419926e-05,0.009031744478839698,0,adam
27,27,0.003492278295786076,0.004718434289972185,[0.00349228],[7.61907434e-12 3.96342022e-03 6.25855628e-03 3.74713667e-03],0.006984556581196701,inf,1.0375449617738727e-11,1.0,7.908517045864157e-05,0.008893013654830417,0,adam
28,28,0.003432508666760886,0.004762607521751092,[0.00343251],[6.01570119e-12 3.68817739e-03 6.58729246e-03 3.45456481e-03],0.006865017323257584,inf,1.0264186612652253e-11,1.0,7.640129983232718e-05,0.008740811544332372,0,adam
29,29,0.0033687173481354925,0.004824053253600811,[0.00336872],[4.65194461e-12 3.41415981e-03 6.89771483e-03 3.16299475e-03],0.00673743468614422,inf,1.0126764593830712e-11,1.0,7.358795098081222e-05,0.008578368285362847,0,adam
30,30,0.0033020522006597195,0.00490087033752041,[0.00330205],[3.41889590e-12 3.14334601e-03 7.19030095e-03 2.87456183e-03],0.006604104393060646,inf,8.258793021365964e-12,1.0,7.070425294738533e-05,0.008408606881319391,0,adam
31,31,0.0032335555989967697,0.00499063640159184,[0.00323356],[2.98256355e-12 2.87769694e-03 7.46513319e-03 2.59139227e-03],0.006467111191783696,inf,6.209844672210793e-12,1.0,6.780136536010569e-05,0.008234181717484912,0,adam
32,32,0.003164178597340573,0.0050905426766078565,[0.00316418],[2.08286787e-12 2.61912409e-03 7.72202298e-03 2.31556731e-03],0.006328357186956084,inf,7.725061944458193e-12,1.0,6.492319067420146e-05,0.00805751463347737,0,adam
33,33,0.0030947912753327045,0.005197549059185634,[0.00309479],[3.24554883e-12 2.36946018e-03 7.96061469e-03 2.04909023e-03],0.00618958254151006,inf,9.155349618779082e-12,1.0,6.210702227266534e-05,0.007880821268909877,0,adam
34,34,0.0030261876424926832,0.005308530003175309,[0.00302619],[2.55721799e-12 2.13043297e-03 8.18046074e-03 1.79385686e-03],0.0060523752775032335,inf,7.482131903571891e-12,1.0,5.9384046199193565e-05,0.0077061235524211735,0,adam
35,35,0.0029590847514163764,0.005420392527433572,[0.00295908],[3.00662984e-12 1.90364295e-03 8.38106570e-03 1.55163035e-03],0.005918169497335479,inf,5.4972731380676295e-12,1.0,5.677968528978274e-05,0.007535247443452242,0,adam
36,36,0.002894116731197772,0.005530158734922502,[0.00289412],[5.32100498e-12 1.69054472e-03 8.56190185e-03 1.32402035e-03],0.005788233456124052,inf,6.271492747913095e-12,1.0,5.431382018901428e-05,0.007369807738481393,0,adam
