,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.007853980508169104,0.007853980503537052,[0.00785398 0.00785398],[1.57079610e-02 4.63206376e-12],0.00785398051467668,0.007853980501661525,inf,1.0,0.000176466454363516,0.01999999713316014,0,adam
1,1,0.007843168865461516,0.007843168908872666,[0.00784355 0.00784279],[1.56863377e-02 1.11877742e-11],0.007843518256504837,0.007842819474418197,inf,1.0,0.00017552389904360402,0.01997246551108245,0,adam
2,2,0.007824251560244104,0.007824251943867568,[0.00782529 0.00782321],[1.56485031e-02 8.25892382e-12],0.007825159329849216,0.007823343790638992,inf,1.0,0.00017421823984257225,0.01992429298891718,0,adam
3,3,0.007796565320936959,0.007796566699206419,[0.00779855 0.00779458],[1.55931306e-02 1.01202248e-11],0.007798220576504653,0.007794910065369266,inf,1.0,0.0001725262516112581,0.019853790559455353,0,adam
4,4,0.007759466871026622,0.0077594704336100455,[0.00776269 0.00775624],[1.55189337e-02 1.18002439e-11],0.007762037322701791,0.007756896419351454,inf,1.0,0.00017042763900919052,0.01975932013250703,0,adam
5,5,0.007712344643082288,0.007712352257986446,[0.00771711 0.00770758],[1.54246893e-02 1.12216065e-11],0.007715975121231672,0.007708714164932903,inf,1.0,0.00016790581258684787,0.019639324364397304,0,adam
6,6,0.007654631397890094,0.007654645742407116,[0.00766123 0.00764803],[1.53092628e-02 4.66781441e-12],0.007659442566426551,0.007649820229353638,inf,1.0,0.00016494866553651885,0.019492358792330133,0,adam
7,7,0.007585817556339116,0.007585842196413999,[0.00759455 0.00757709],[1.51716351e-02 1.11270853e-11],0.007591904786446845,0.0075797303262313855,inf,1.0,0.00016154932786090673,0.01931712578375433,0,adam
8,8,0.007505464835296259,0.007505504325934635,[0.00751661 0.00749432],[1.50109297e-02 1.24670372e-11],0.007512897384351512,0.007498032286241005,inf,1.0,0.00015770685398120774,0.019112509259836763,0,adam
9,9,0.007413219846349723,0.007413279725701698,[0.00742703 0.00739941],[1.48264397e-02 9.28557791e-12],0.007422040371801263,0.007404399320898182,inf,1.0,0.00015342680984988633,0.018877609324375877,0,adam
10,10,0.007308827055424091,0.007308913785056119,[0.00732555 0.00729211],[1.46176541e-02 1.35629254e-11],0.007319051523938757,0.007298602586909426,inf,1.0,0.0001487217136284491,0.01861177526519242,0,adam
11,11,0.007192140559599402,0.007192261430905068,[0.00721198 0.00717231],[1.43842811e-02 1.30123654e-11],0.007203758625307271,0.007180522493891533,inf,1.0,0.00014361129096939244,0.018314635543551283,0,adam
12,12,0.007063134155280464,0.0070632970798275505,[0.00708625 0.00704002],[1.41262683e-02 1.30223058e-11],0.007076109993718724,0.007050158316842205,inf,1.0,0.00013812251362225713,0.017986123432545353,0,adam
13,13,0.006921909067744115,0.006922122316791632,[0.00694843 0.00689538],[1.38438181e-02 1.37810044e-11],0.0069361827183551696,0.006907635417133061,inf,1.0,0.0001322893925694891,0.017626496700225314,0,adam
14,14,0.00676869889149232,0.006768970762722634,[0.00679871 0.00673869],[1.35373978e-02 1.57751932e-11],0.00678418808648123,0.00675320969650341,inf,1.0,0.00012615251619286865,0.017236350190106275,0,adam
15,15,0.00660387132928932,0.006604209761574422,[0.00663738 0.00657036],[1.32077426e-02 1.73515354e-11],0.0066204737721923985,0.006587268886386241,inf,1.0,0.00011975833443398567,0.016816620249587633,0,adam
16,16,0.006427926484537055,0.006428338630755693,[0.00646491 0.00639095],[1.28558529e-02 2.14032178e-11],0.006445522502491772,0.006410330466582339,inf,1.0,0.000113158207848578,0.01636858038152611,0,adam
17,17,0.006241491605191839,0.006241983409934223,[0.00628185 0.00620113],[1.24829832e-02 1.96858786e-11],0.006259947145302776,0.006223036065080902,inf,1.0,0.00010640725533075049,0.015893827859725596,0,adam
18,18,0.006045312407994698,0.006045888176075086,[0.0060889  0.00600173],[1.20906248e-02 1.93833060e-11],0.006064482226297302,0.006026142589692094,inf,1.0,9.956305021402713e-05,0.01539426163627411,0,adam
19,19,0.00584024121443435,0.005840903251492376,[0.00588685 0.00579363],[1.16804824e-02 1.81096236e-11],0.005859972194941786,0.005820510233926914,inf,1.0,9.268422195423438e-05,0.014872052130019853,0,adam
20,20,0.005627222387624037,0.00562797070227088,[0.0056766  0.00557784],[1.12544448e-02 1.83018052e-11],0.0056473568705154,0.005607087904732674,inf,1.0,8.582903077203358e-05,0.01432960414188389,0,adam
