,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.007853978266151057,0.007853978248169817,[0.00785398 0.00785398 0.00785398 0.00785397],[1.57079565e-02 1.79843219e-11],0.007853977102764628,0.007853979429537486,inf,1.0,0.000500242966244118,0.03999998284781614,0,adam
1,1,0.007831955093393232,0.00783204779805489,[0.00784175 0.00783758 0.00784225 0.00780623],[1.56639102e-02 1.92398238e-11],0.007824125437165865,0.007839784749620597,inf,1.0,0.0004952647949351844,0.03988781974999278,0,adam
2,2,0.007785929882235873,0.007786963037951914,[0.0078192  0.00780715 0.00782021 0.00769716],[1.55718597e-02 1.68834689e-11],0.007758367068040688,0.007813492696431057,inf,1.0,0.0004891330485602889,0.0396534152743917,0,adam
3,3,0.0077051704351450805,0.007710987754331275,[0.00778488 0.0077605  0.00778597 0.00748933],[1.54103409e-02 1.62744871e-11],0.007637047151058365,0.007773293719231795,inf,1.0,0.0004816392229541857,0.03924211078780382,0,adam
4,4,0.007575488987417174,0.007599471595463197,[0.00773769 0.00769596 0.00773774 0.00713056],[1.51509780e-02 1.64986698e-11],0.00743317982938148,0.0077177981454528664,inf,1.0,0.00047270838951150103,0.03858164859794111,0,adam
5,5,0.007382174035838614,0.007462152123940434,[0.00767719 0.00761277 0.00767394 0.0065648 ],[1.47643481e-02 1.50967047e-11],0.007117966188144014,0.0076463818835332134,inf,1.0,0.00046267638975295964,0.03759710363418778,0,adam
6,6,0.0071196921336925175,0.007338468372923646,[0.00760378 0.00751151 0.00759339 0.00577009],[1.42393842e-02 2.07053226e-11],0.006679859374475484,0.007559524892909551,inf,1.0,0.00045258962593189024,0.0362602942838286,0,adam
7,7,0.006804391177891996,0.007288322334457485,[0.00751869 0.00739434 0.00749543 0.0048091 ],[1.36087823e-02 1.85355905e-11],0.006149904793291321,0.007458877562492672,inf,1.0,0.00044384926643831543,0.034654479702156626,0,adam
8,8,0.00647212443382709,0.007338524500433697,[0.00742356 0.00726437 0.00737999 0.00382058],[1.29442488e-02 2.14748935e-11],0.00559747472005812,0.00734677414759606,inf,1.0,0.00043693380736791685,0.032962259070381084,0,adam
9,9,0.006572330449967049,0.0070892608049497674,[0.00731963 0.00712474 0.00724743 0.00459752],[1.31446609e-02 2.64648617e-11],0.005919293862198963,0.007225367037735136,inf,1.0,0.0004308563085484574,0.03347260411986053,0,adam
10,10,0.0066323794108215095,0.00692069052929126,[0.00720738 0.00697773 0.00709847 0.00524594],[1.32647588e-02 2.61456236e-11],0.006168756217010711,0.007096002604632307,inf,1.0,0.0004241955616283098,0.03377843096618105,0,adam
11,11,0.006645321355073385,0.0068021376246715295,[0.0070865  0.00682463 0.00693399 0.00573617],[1.32906427e-02 1.94988907e-11],0.006331502582439501,0.006959140127707269,inf,1.0,0.0004160393300910035,0.033844343747010175,0,adam
12,12,0.00661834108858087,0.006704433946177419,[0.00695616 0.00666589 0.0067551  0.00609621],[1.32366822e-02 1.93497516e-11],0.006422083094267455,0.0068145990828942845,inf,1.0,0.00040605274561506644,0.0337069343781069,0,adam
13,13,0.006558495223459546,0.006610655498802291,[0.00681534 0.0065015  0.00656302 0.00635412],[1.31169904e-02 2.00812503e-11],0.006455131682584454,0.006661858764334638,inf,1.0,0.00039421902132366025,0.03340214188986157,0,adam
14,14,0.006471196971573601,0.006511871202931445,[0.00666305 0.00633116 0.00635913 0.00653145],[1.29423939e-02 2.14378295e-11],0.006442101910696473,0.006500292032450731,inf,1.0,0.00038064526164232926,0.032957535543911565,0,adam
15,15,0.006360265056558199,0.006403392769033124,[0.00649843 0.00615452 0.00614491 0.0066432 ],[1.27205301e-02 2.19862096e-11],0.0063912101102103665,0.00632932000290603,inf,1.0,0.00036547569761779863,0.03239256394002843,0,adam
16,16,0.006228348347763937,0.00628260763983931,[0.00632086 0.00597129 0.00592193 0.00669932],[1.24566967e-02 2.24540036e-11],0.0063081900546821945,0.00614850664084568,inf,1.0,0.00034886434744904203,0.031720717659035946,0,adam
17,17,0.00607732958598774,0.0061478903358456,[0.00613002 0.00578123 0.0056918  0.00670627],[1.21546591e-02 2.42495474e-11],0.006197046117369657,0.005957613054605823,inf,1.0,0.0003309713338779035,0.030951585421074235,0,adam
18,18,0.005908628053696918,0.0059980955912219865,[0.00592589 0.00558428 0.00545615 0.00666819],[1.18172561e-02 2.14872101e-11],0.006060630662775972,0.0057566254446178656,inf,1.0,0.0003119663250733252,0.03009239557239396,0,adam
19,19,0.005723411955125738,0.005832348200148966,[0.00570877 0.00538053 0.00521656 0.00658778],[1.14468239e-02 2.06466828e-11],0.005901058627945427,0.0055457652823060494,inf,1.0,0.0002920328015282483,0.02914909772830465,0,adam
20,20,0.00552274627930226,0.00564998663243298,[0.00547926 0.00517023 0.0049746  0.0064669 ],[1.10454925e-02 1.79348324e-11],0.005720005786811765,0.0053254867717927555,inf,1.0,0.0002713710596452104,0.02812711583338645,0,adam
21,21,0.00530769717746234,0.005450589609982755,[0.00523824 0.00495378 0.00473171 0.00630705],[1.06153943e-02 1.68532825e-11],0.005518929606548926,0.005096464748375755,inf,1.0,0.00025019934205693366,0.027031879751297172,0,adam
22,22,0.005079406103473594,0.005234047222266399,[0.00498688 0.00473176 0.00448928 0.00610971],[1.01588122e-02 1.86774650e-11],0.005299237130923446,0.0048595750760237425,inf,1.0,0.00022875290041370652,0.02586920285884675,0,adam
23,23,0.004839140676671642,0.005000650948216241,[0.00472653 0.00450487 0.00424856 0.0058766 ],[9.67828133e-03 2.02391908e-11],0.005062412170937477,0.0046158691824058065,inf,1.0,0.000207280889060819,0.02464554108829975,0,adam
24,24,0.004588324974801928,0.0047511817022842726,[0.00445875 0.00427394 0.00401071 0.00560991],[9.17664993e-03 1.60114418e-11],0.004810105746146478,0.004366544203457377,inf,1.0,0.0001860410572250094,0.023368147208055134,0,adam
25,25,0.004328549796931275,0.004486977945784974,[0.00418521 0.00403991 0.00377674 0.00531233],[8.65709958e-03 1.54206568e-11],0.004544189459735672,0.00411291013412688,inf,1.0,0.00016529237657883017,0.0220451230912333,0,adam
26,26,0.004061563051728176,0.004209970469316698,[0.00390769 0.0038038  0.00354757 0.00498719],[8.12312609e-03 1.26900591e-11],0.004266770754355141,0.0038563553491012107,inf,1.0,0.00014528602861097086,0.020685370763582123,0,adam
27,27,0.0037892415837497175,0.0039226777533823524,[0.00362797 0.0035667  0.00332399 0.00463831],[7.57848316e-03 1.08729396e-11],0.0039801712861991,0.003598311881300336,inf,1.0,0.00012625552276775406,0.019298448915940236,0,adam
28,28,0.0035135475262464792,0.0036281655993736844,[0.00334785 0.00332972 0.00310666 0.00426996],[7.02709504e-03 9.48509489e-12],0.003686873335145576,0.0033402217173473833,inf,1.0,0.00010840698758853242,0.017894350610893506,0,adam
29,29,0.0032364742407975525,0.003329984912242195,[0.00306906 0.003094   0.00289618 0.00388666],[6.47294847e-03 8.41054255e-12],0.0033894431476320097,0.0030835053339630953,inf,1.0,9.191077533287457e-05,0.016483227955600643,0,adam
30,30,0.0029599880903286345,0.003032110337168958,[0.00279324 0.00286065 0.00269301 0.00349305],[5.91997617e-03 7.61487800e-12],0.0030904427007654826,0.0028295334798917864,inf,1.0,7.68953752714136e-05,0.015075095554206053,0,adam
31,31,0.0026859724324638165,0.0027389082423415877,[0.00252192 0.00263079 0.00249754 0.00309364],[5.37194486e-03 6.93076529e-12],0.002792341850701392,0.0025796030142262415,inf,1.0,6.344427142627218e-05,0.0136795452683256,0,adam
32,32,0.0024161792369048266,0.0024551643653152834,[0.00225648 0.00240545 0.00231009 0.0026927 ],[4.83235847e-03 6.38654881e-12],0.002497441123600141,0.0023349173502095117,inf,1.0,5.1595909844194496e-05,0.012305499806380737,0,adam
33,33,0.0021521919726301313,0.002186196967624825,[0.00199816 0.00218561 0.00213089 0.00229411],[4.30438394e-03 5.91618794e-12],0.0022078121963489106,0.0020965717489113524,inf,1.0,4.134648259368729e-05,0.010961023709657125,0,adam
34,34,0.0018954013803810332,0.0019380617254033889,[0.00174802 0.00197218 0.00196011 0.00190129],[3.79080276e-03 5.05376886e-12],0.0019252593280761174,0.0018655434326859495,inf,1.0,3.2654900838584185e-05,0.009653199962586845,0,adam
35,35,0.001646993908282777,0.0017177944055599388,[0.00150698 0.00176597 0.00179786 0.00151716],[3.29398781e-03 4.42982733e-12],0.0016513015918692205,0.0016426862246963331,inf,1.0,2.5449164636991577e-05,0.008388071095853933,0,adam
