,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.011780879906173537,0.006801694185602135,[0.01178088],[3.06583641e-13 1.57077699e-02 1.57078876e-02 1.57078621e-02],0.011780860211526554,0.011780899600820518,inf,1.0,0.0004499741811208194,0.029999764336632095,0,adam
1,1,0.011793728492859177,0.0068091123324614256,[0.01179373],[1.49455165e-12 1.57249456e-02 1.57249006e-02 1.57250678e-02],0.011793952046509706,0.011793504939208653,inf,1.0,0.00045095618687149037,0.030032482993956444,0,adam
2,2,0.011815020961890632,0.00682140562245055,[0.01181502],[1.41188917e-12 1.57531830e-02 1.57529138e-02 1.57539870e-02],0.01181553491642828,0.011814507007352981,inf,1.0,0.00045258590872908875,0.030086703821107896,0,adam
3,3,0.01184458929750227,0.0068384771488842755,[0.01184459],[5.57012599e-13 1.57921516e-02 1.57916171e-02 1.57945885e-02],0.011845378690306722,0.011843799904697819,inf,1.0,0.00045485394094657827,0.030161998969453485,0,adam
4,4,0.011882177361570647,0.006860179228195969,[0.01188218],[7.48845367e-13 1.58414183e-02 1.58406321e-02 1.58466591e-02],0.011883174021543503,0.01188118070159779,inf,1.0,0.00045774531023741623,0.03025771618861728,0,adam
5,5,0.011927457938180553,0.00688632327578355,[0.01192746],[1.38119593e-12 1.59004694e-02 1.58995242e-02 1.59098382e-02],0.01192854841752399,0.011926367458837118,inf,1.0,0.0004612405750253595,0.030373022230113733,0,adam
6,6,0.011980044186370817,0.006916686421264541,[0.01198004],[1.74742212e-12 1.59687212e-02 1.59678092e-02 1.59836464e-02],0.01198107559926357,0.011979012773478064,inf,1.0,0.00046531646251248807,0.03050693201152388,0,adam
7,7,0.012039499521889731,0.006951017194993552,[0.0120395],[1.20401221e-12 1.60455282e-02 1.60449594e-02 1.60675105e-02],0.012040283243673004,0.012038715800106453,inf,1.0,0.00046994636478291053,0.030658333780180236,0,adam
8,8,0.012105346233984998,0.006989040474179672,[0.01210535],[9.43468429e-13 1.61301896e-02 1.61304100e-02 1.61607854e-02],0.012105659594345692,0.0121050328736243,inf,1.0,0.000475100729923079,0.03082601105564109,0,adam
9,9,0.01217707281402487,0.007030461693679226,[0.01217707],[2.74704523e-12 1.62219551e-02 1.62235638e-02 1.62627724e-02],0.012176658947480575,0.012177486680569165,inf,1.0,0.0004807473561955679,0.031008661291871853,0,adam
10,10,0.012254139976126224,0.007074970325746471,[0.01225414],[3.00096206e-12 1.63200281e-02 1.63237969e-02 1.63727349e-02],0.01225270595856468,0.01225557399368777,inf,1.0,0.00048685159527992513,0.03120491120864788,0,adam
