,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.014922539686623831,0.003423465390392596,[0.01570793 0.01570795 0.01570795 0.01570794 0.01178093],[0.01256635 0.01570793 0.01570795 0.01570793],0.014922541690823956,0.0149225376824237,inf,1.0,0.00363535562920347,0.18999967636889337,0,adam
1,1,0.01464787953989904,0.0034925773239001404,[0.01548262 0.01546125 0.01563764 0.01569673 0.01096116],[0.01250326 0.01547824 0.01511005 0.01549997],0.014888914437979683,0.014406844641818397,inf,1.0,0.003548430837644647,0.18650259476716546,0,adam
2,2,0.014086452312763443,0.0041010942484682065,[0.01482571 0.01476486 0.0155098  0.01566903 0.00966286],[0.01237446 0.01477769 0.01426884 0.01492481],0.014823192662671314,0.01334971196285557,inf,1.0,0.0033955940346154403,0.17935428129636533,0,adam
3,3,0.013669199183363078,0.004525763773095092,[0.01373276 0.01382215 0.01533277 0.01560762 0.00985069],[0.01216168 0.01353543 0.0148279  0.01415178],0.014722249171315985,0.01261614919541017,inf,1.0,0.0032052988101509256,0.17404164945119494,0,adam
4,4,0.013549290865579489,0.004455316981792123,[0.01361414 0.01405882 0.01510813 0.01549238 0.00947299],[0.01184019 0.01302777 0.01500235 0.01432686],0.014582583910560932,0.012515997820598049,inf,1.0,0.0030192511410392572,0.1725149293317476,0,adam
5,5,0.01355313718399163,0.0041506411392022045,[0.01374807 0.01439566 0.01483302 0.01530473 0.00948421],[0.01139286 0.01322039 0.01501187 0.01458743],0.014399706189616123,0.012706568178367138,inf,1.0,0.002850658519032922,0.1725639021787868,0,adam
6,6,0.01352381498388439,0.0038315883189551157,[0.0135957  0.01453349 0.01450411 0.01503118 0.0099546 ],[0.01081905 0.01366412 0.01492129 0.0146908 ],0.01416880519707448,0.012878824770694294,inf,1.0,0.0026802914097044314,0.17219056033163493,0,adam
7,7,0.013366547657742164,0.0037741509261221004,[0.01326028 0.01453827 0.01412032 0.01466993 0.01024394],[0.01013933 0.01389205 0.01475017 0.01468464],0.013886420763921645,0.012846674551562682,inf,1.0,0.0024996971063418055,0.17018817054424495,0,adam
8,8,0.013114036515478183,0.003888112334261442,[0.01280886 0.01444592 0.01368339 0.01423405 0.01039797],[0.00939213 0.01396665 0.0145052  0.01459217],0.013551404670584577,0.012676668360371795,inf,1.0,0.0023118031418264593,0.16697309882607758,0,adam
9,9,0.012789501586818703,0.0041021029705774455,[0.01228549 0.01427525 0.0131971  0.01374666 0.01044301],[0.0086221  0.0139223  0.01419022 0.01442338],0.013165132847491929,0.012413870326145474,inf,1.0,0.0021236096285032666,0.16284099177790679,0,adam
