,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.003490658005908446,0.006530423008533811,[0.00349066],[1.04719739e-02 7.99663611e-11 3.48023007e-11],0.005235986977649907,0.005235986941214935,9.886049349440646e-11,1.0,4.999956776679367e-05,0.009999998573105184,0,adam
1,1,0.0034881983862205574,0.00652582153430365,[0.0034882],[1.04645951e-02 4.02064041e-11 4.56164369e-11],0.0052323945339850285,0.0052322005497463,7.49303439918525e-11,1.0,4.992913149343509e-05,0.00999295228173902,0,adam
2,2,0.0034840215428430747,0.0065180073832916225,[0.00348402],[1.04520646e-02 3.77378071e-11 1.89974896e-11],0.00522629864928455,0.0052257658870543825,9.219029377881476e-11,1.0,4.980963134961045e-05,0.009980986506878065,0,adam
3,3,0.0034780749016327947,0.0065068822952438895,[0.00347807],[1.04342247e-02 3.12130515e-11 1.58924728e-11],0.005217626623364805,0.00521659803674993,4.47836502030145e-11,1.0,4.9639745206850726e-05,0.009963950634697127,0,adam
4,4,0.00347031066046022,0.006492356779284463,[0.00347031],[1.04109319e-02 3.60910681e-11 1.11346714e-11],0.00520631298549342,0.0052046189176585345,7.8228704968136e-11,1.0,4.9418369122964786e-05,0.009941707722181281,0,adam
5,5,0.0034606860091107943,0.006474350858240439,[0.00346069],[1.03820580e-02 1.67229343e-11 1.12550029e-11],0.005192300059906267,0.005189757889176017,7.825009722825713e-11,1.0,4.914463676435633e-05,0.009914135127101487,0,adam
6,6,0.0034491635471343004,0.006452794536699302,[0.00344916],[1.03474906e-02 2.47953734e-11 1.62792774e-11],0.005175538401425035,0.005171952157768574,8.220929302262999e-11,1.0,4.8817929871923774e-05,0.009881125705058169,0,adam
7,7,0.0034357114038036274,0.0064276283105634685,[0.00343571],[1.03071342e-02 2.00623359e-11 1.55511267e-11],0.00515598705914462,0.005151147088568251,6.36980122808655e-11,1.0,4.8437889336482316e-05,0.00984258815314587,0,adam
8,8,0.0034203035287723336,0.006398803469598847,[0.0034203],[1.02609105e-02 2.42953293e-11 2.61986592e-11],0.005133613940305121,0.0051272965951525955,5.0859284601979004e-11,1.0,4.800442343816718e-05,0.009798447842618074,0,adam
9,9,0.0034029197656648396,0.006366282398030988,[0.00340292],[1.02087592e-02 3.47674220e-11 2.52986728e-11],0.005108396005921969,0.00510036323852816,5.254439013565024e-11,1.0,4.751771192953433e-05,0.00974864702971212,0,adam
10,10,0.003383545948880163,0.0063300387434617,[0.00338355],[1.01506378e-02 3.62569743e-11 1.64406495e-11],0.0050803193392945254,0.005070318486265171,2.1080793464247437e-11,1.0,4.697820879359207e-05,0.009693145132971148,0,adam
11,11,0.003362173995580188,0.006290057469683742,[0.00336217],[1.00865219e-02 4.53775179e-11 1.38590455e-11],0.005049379254367639,0.005037142705974061,2.639886282544447e-11,1.0,4.63866410399128e-05,0.009631918996769295,0,adam
12,12,0.0033388018232896606,0.00624633488671963,[0.0033388],[1.00164054e-02 4.92745134e-11 1.39224084e-11],0.005015580251136464,0.005000825171335526,4.73969938062891e-11,1.0,4.574400516811558e-05,0.009564962655254083,0,adam
13,13,0.0033134333306583125,0.006198878535866867,[0.00331343],[9.94029993e-03 5.91835478e-11 7.04526184e-12],0.00497893596398682,0.004961364003923221,2.4064897488860354e-11,1.0,4.505156109477451e-05,0.009492287277234723,0,adam
14,14,0.003286078335111796,0.006147706993251753,[0.00328608],[9.85823494e-03 5.50507724e-11 1.34331767e-11],0.004939468975848544,0.004918765996277105,3.320973990378919e-11,1.0,4.431082191265597e-05,0.009413920987563884,0,adam
15,15,0.003256752367613181,0.006092849653676741,[0.00325675],[9.77025703e-03 5.94667627e-11 1.49302862e-11],0.004897210626555478,0.00487304644342195,3.286211567682099e-11,1.0,4.352354427983986e-05,0.009329908279173571,0,adam
16,16,0.003225476542135133,0.00603434638839854,[0.00322548],[9.67642955e-03 5.31653470e-11 2.30486489e-11],0.0048522007479629035,0.004824228821365504,5.707699151109572e-11,1.0,4.269171324081939e-05,0.009240309639139799,0,adam
17,17,0.003192277322681227,0.005972247182701053,[0.00319228],[9.57683189e-03 5.40141779e-11 1.94795130e-11],0.0048044873332829625,0.004772344593243224,4.151749387919595e-11,1.0,4.1817528747611676e-05,0.009145200881247817,0,adam
18,18,0.003157186323577186,0.005906611692795231,[0.00315719],[9.47155890e-03 5.99078618e-11 1.23885601e-11],0.004754126234522407,0.0047174327203988765,1.5810275376906596e-11,1.0,4.090338599644941e-05,0.009044672573869539,0,adam
19,19,0.0031202400407203033,0.0058375087893857295,[0.00312024],[9.36072004e-03 6.18711830e-11 1.63033437e-11],0.0047011807435675046,0.004659539342924834,3.5668570932602e-11,1.0,3.995185869113357e-05,0.008938829270050075,0,adam
20,20,0.0030814795414685968,0.0057650160860154955,[0.00308148],[9.24443855e-03 6.42228202e-11 7.83654294e-12],0.004645721199382846,0.004598717391981903,3.304104333076884e-11,1.0,3.8965680051989985e-05,0.00882778861910305,0,adam
21,21,0.0030409502429920806,0.005689219395628465,[0.00304095],[9.12285065e-03 7.14543342e-11 1.15128726e-11],0.004587824597149295,0.0045350260962803346,3.5546611797454964e-11,1.0,3.794772138839867e-05,0.008711680731636307,0,adam
22,22,0.0029987015832899457,0.005610212232467096,[0.0029987],[8.99610469e-03 5.12316727e-11 1.30979926e-11],0.004527574101168726,0.004468530596426915,5.227419658933783e-11,1.0,3.690097194339635e-05,0.00859064723708558,0,adam
23,23,0.0029547867425517697,0.005528095286827359,[0.00295479],[8.86436014e-03 8.22138273e-11 9.77579783e-12],0.004465058675344715,0.004399301519871093,3.243950227714561e-11,1.0,3.582851986115847e-05,0.008464840485471026,0,adam
24,24,0.0029092623653861056,0.005442975910031101,[0.00290926],[8.72778699e-03 9.90796479e-11 5.58989058e-12],0.00440037262848609,0.004327414423003794,4.466843428029695e-11,1.0,3.473352713418501e-05,0.008334422751643533,0,adam
25,25,0.0028621882788942895,0.005354967622120391,[0.00286219],[8.58656471e-03 1.20460979e-10 9.50688317e-12],0.00433361524996721,0.004252949521158845,6.555681366573758e-11,1.0,3.36192146037946e-05,0.008199565427622568,0,adam
26,26,0.002813627168870527,0.005264189671006641,[0.00281363],[8.44088140e-03 1.00638725e-10 7.69400538e-12],0.004264890315040677,0.00417599115424978,3.73211230269585e-11,1.0,3.248883897793515e-05,0.008060448094981298,0,adam
27,27,0.0027636444345955687,0.005170766532460127,[0.00276364],[8.29093320e-03 9.36450837e-11 1.11743168e-11],0.004194305818230356,0.00409662745729706,2.8259291882282266e-11,1.0,3.134567436901776e-05,0.00791725810885735,0,adam
28,28,0.002712307862758099,0.005074827548895226,[0.00271231],[8.13692349e-03 8.20461770e-11 1.19178141e-11],0.004121973547394969,0.004014949979771755,6.11075723473945e-11,1.0,3.0192993617195268e-05,0.007770189663809379,0,adam
29,29,0.0026596873771928013,0.004976506574165154,[0.00265969],[7.97906206e-03 6.30951923e-11 1.01038900e-11],0.004048008810298045,0.003931053277048257,4.4232101931196064e-11,1.0,2.903405221990447e-05,0.0076194430768683485,0,adam
30,30,0.002605854932752276,0.004875941590923851,[0.00260585],[7.81756471e-03 7.10224199e-11 1.59237474e-11],0.0039725300800723595,0.0038450346759046437,4.227982567057737e-11,1.0,2.7872070023656873e-05,0.007465224483502508,0,adam
31,31,0.0025508842249639973,0.004773274477846546,[0.00255088],[7.65265256e-03 8.30242916e-11 3.02043599e-11],0.0038956587431022652,0.0037569938874621746,4.4327553265758235e-11,1.0,2.671021670301892e-05,0.007307745005846966,0,adam
32,32,0.00249485056365422,0.004668650741309361,[0.00249485],[7.48455159e-03 8.21005878e-11 1.83361897e-11],0.003817518876492691,0.0036670327534658715,6.10040989152869e-11,1.0,2.555159629427608e-05,0.007147220390661069,0,adam
33,33,0.002437830673502126,0.004562219337966521,[0.00243783],[7.31349194e-03 6.58617696e-11 1.89349405e-11],0.003738236940756991,0.003575255051300935,2.8448450617157606e-11,1.0,2.4399235361086253e-05,0.006983870437960338,0,adam
34,34,0.0023799026291662015,0.004454132476312166,[0.0023799],[7.13970781e-03 5.14905888e-11 2.88952466e-11],0.0036579416885226916,0.003481766171587193,2.7388719905179313e-11,1.0,2.32560700441631e-05,0.006817918815166024,0,adam
35,35,0.002321145620493301,0.004344545558532558,[0.00232115],[6.96343679e-03 3.45408268e-11 4.17229293e-11],0.003576763875256163,0.0033866729465514465,3.967229518146612e-11,1.0,2.2124933388766207e-05,0.006649592384476932,0,adam
36,36,0.002261639884467809,0.004233617081186288,[0.00226164],[6.78491957e-03 4.12598567e-11 3.92658422e-11],0.003494836148212723,0.0032900834632593155,4.1931387607626305e-11,1.0,2.1008545839817172e-05,0.006479121007923139,0,adam
37,37,0.002201466578095378,0.004121508613974493,[0.00220147],[6.60439965e-03 4.08578217e-11 4.06173913e-11],0.003412292915880953,0.0031921067855627126,3.284246735094888e-11,1.0,1.990950611153721e-05,0.00630673718319863,0,adam
38,38,0.0021407076852904866,0.004008384805979853,[0.00214071],[6.42212297e-03 6.29602118e-11 2.57334938e-11],0.0033292701244795006,0.0030928528825368055,4.885515536302324e-11,1.0,1.8830281427468644e-05,0.00613267577691845,0,adam
39,39,0.002079445855520628,0.003894413473979224,[0.00207945],[6.23833748e-03 6.55351889e-11 2.00654749e-11],0.0032459052399128273,0.0029924322905775205,3.6071536006405266e-11,1.0,1.7773199797641692e-05,0.005957173562365137,0,adam
40,40,0.002017764360377265,0.0037797656746771826,[0.00201776],[6.05329299e-03 7.01485925e-11 1.86046394e-11],0.0031623369620065386,0.0028909560636584983,5.5466758887848403e-11,1.0,1.6740444168826714e-05,0.005780469095076679,0,adam
41,41,0.0019557469193812586,0.0036646158966827463,[0.00195575],[5.86724068e-03 5.78617619e-11 1.89851658e-11],0.003078705194922933,0.0027885355254803628,3.77404810827024e-11,1.0,1.5734045081079117e-05,0.005602802213813263,0,adam
42,42,0.0018934776583195393,0.0035491422368191606,[0.00189348],[5.68043289e-03 6.91108354e-11 1.22764833e-11],0.002995150917946983,0.0026852820428153123,1.4196322360594733e-11,1.0,1.4755876359447965e-05,0.00542441392120141,0,adam
43,43,0.001831040924041615,0.0034335267160109837,[0.00183104],[5.49312269e-03 5.96567353e-11 2.49110544e-11],0.0029118160035681885,0.002581306751244389,1.731226781443238e-11,1.0,1.3807649789365042e-05,0.005245545853165945,0,adam
44,44,0.0017685211721283494,0.00331795563025075,[0.00176852],[5.30556340e-03 9.47660847e-11 1.69113955e-11],0.0028288430767953,0.002476720412943364,2.664638522651981e-11,1.0,1.2890912284952581e-05,0.005066439957124302,0,adam
