,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.00785397251120381,0.007853972469723107,[0.01221729 0.00349065],[0.01308996 0.00523597 0.00523598],0.010471955612947718,0.010471969301260741,0.0026179926194029673,1.0,0.0008311140830333964,0.04499994773037419,0,adam
1,1,0.007829445236458616,0.007829478110909465,[0.01217943 0.00347946],[0.01306472 0.00521216 0.00521145],0.010429644965151051,0.010445180206182252,0.0026135105380425384,1.0,0.0008274531827043301,0.04485941679778871,0,adam
2,2,0.0077846657925134555,0.007784941320342261,[0.0121121  0.00345723],[0.01301662 0.00516945 0.00516793],0.010350800698220216,0.010397505960012907,0.002605690719307247,1.0,0.0008199489285343518,0.04460284948308857,0,adam
3,3,0.007716200832660903,0.0077173625465027235,[0.01201225 0.00342015],[0.01293952 0.00510561 0.00510348],0.010227540376453376,0.010326754079923667,0.00259430804160567,1.0,0.0008082117080324756,0.044210574158680016,0,adam
4,4,0.007620134174711197,0.00762377378817021,[0.01187711 0.00336316],[0.01282548 0.00501864 0.00501628],0.010050313552509418,0.010230912528806072,0.0025791764428181,1.0,0.000791917187829964,0.04366015275343571,0,adam
5,5,0.007492058753211604,0.007501734750446058,[0.01170436 0.00327976],[0.01266454 0.00490687 0.00490476],0.009807741936775654,0.010108277513808337,0.0025601568090508277,1.0,0.0007708518748113975,0.04292633464230722,0,adam
6,6,0.007327236984196077,0.0073504268921084,[0.01149232 0.00316215],[0.01244488 0.00476915 0.00476768],0.009486948164045486,0.009957598766010458,0.002537164022532288,1.0,0.0007449806675842529,0.041981975468660115,0,adam
7,7,0.007121147901387352,0.007172692786131219,[0.01124019 0.00300211],[0.01215421 0.00460498 0.00460425],0.009075038332139521,0.009778232541454128,0.002510172830568406,1.0,0.0007145423434112364,0.04080117200379396,0,adam
8,8,0.006870689362636132,0.006977949354286281,[0.01094817 0.00279321],[0.01178306 0.00441471 0.0044143 ],0.008562560815986785,0.00957028532980037,0.0024792219421212397,1.0,0.0006801579581063305,0.039366150282448054,0,adam
9,9,0.006576064872940001,0.006784424310277323,[0.01061764 0.00253449],[0.01133035 0.00419955 0.00419829],0.007949056875334174,0.009334721488466622,0.002444416255019209,1.0,0.0006428838480054756,0.03767807630236941,0,adam
10,10,0.006242619983778628,0.006617116068635391,[0.01025115 0.00223409],[0.01080879 0.00396163 0.00395744],0.007248531638861238,0.009073401403578936,0.00240592690889571,1.0,0.0006040887316584414,0.03576757781745421,0,adam
11,11,0.005881062374144283,0.006498895012619128,[0.00985234 0.00190978],[0.01024568 0.00370386 0.00369365],0.006490178395997976,0.008789019940836787,0.002363988785598087,1.0,0.0005651045223783395,0.0336960053091655,0,adam
12,12,0.005600981755045081,0.006356084201802713,[0.0094257  0.00177626],[0.00996382 0.00342972 0.00340941],0.005999110241659287,0.008484939913512271,0.0023188951099636854,1.0,0.0005268392389014094,0.03209126156938602,0,adam
13,13,0.005520734077041344,0.006097095807641531,[0.00897628 0.00206519],[0.01031151 0.00314304 0.00310766],0.006126258881272262,0.008164954303672794,0.002270989046178977,1.0,0.0004896623400402784,0.03163147624285223,0,adam
