,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.01134463171076273,0.007035641901782771,[0.01570795 0.00698131],[0.00785398 0.01308996 0.01308996],0.013089961515103792,0.01308995403118148,0.007853979586002919,1.0,0.0012839827104887092,0.06499995171569806,0,adam
1,1,0.011335142630699804,0.007029810011946519,[0.01570278 0.00696751],[0.00784903 0.01306871 0.01308769],0.013089642889045515,0.01306854374077597,0.007847241262277932,1.0,0.0012857625063600615,0.06494558329179179,0,adam
2,2,0.011315521592136646,0.007018104148190487,[0.01569335 0.00693769],[0.00784003 0.01302349 0.01308305],0.013089223341443823,0.013022154697714698,0.007835186737251414,1.0,0.0012842520674821152,0.0648331630218586,0,adam
3,3,0.01128117517470417,0.006998817121243596,[0.01567858 0.00688377],[0.00782641 0.01294184 0.01307528],0.013087847976188815,0.01293841197267683,0.00781726557524687,1.0,0.0012781208074653396,0.06463637254583077,0,adam
4,4,0.011225786972582846,0.006971152758095923,[0.01565736 0.00679421],[0.00780762 0.01280612 0.01306362],0.013084475459045513,0.012799865370415131,0.007793020088287899,1.0,0.001265580886934984,0.06431902152419378,0,adam
5,5,0.01114118849150279,0.006937727066870597,[0.01562874 0.00665364],[0.00778311 0.01259308 0.01304737],0.013078094844614618,0.012583340150928149,0.007762130478965605,1.0,0.001244453722569077,0.0638343079322834,0,adam
6,6,0.011018282453584449,0.006909599514811738,[0.01559206 0.0064445 ],[0.00775236 0.01227658 0.01302591],0.013067854710033666,0.012262523667987961,0.007724468982731717,1.0,0.0012126609632154672,0.06313010820734388,0,adam
7,7,0.01085048800010197,0.006912321961473176,[0.01554712 0.00615385],[0.00771484 0.01183786 0.01299877],0.013053145686743655,0.011818167526687129,0.007680150786875125,1.0,0.0011695234026986897,0.06216871680631875,0,adam
8,8,0.010640076829191441,0.006983246303682429,[0.01549424 0.00578591],[0.00767007 0.0112846  0.01296556],0.013033635449976455,0.011257046483509723,0.007629548554088146,1.0,0.0011176001008030025,0.06096314960076099,0,adam
9,9,0.010402717218915015,0.0071474729170624505,[0.01543417 0.00537127],[0.00761759 0.01066458 0.01292599],0.013009228231007345,0.010625701944516888,0.007573221481220816,1.0,0.0010666640429813365,0.05960317921118996,0,adam
10,10,0.010337680234015918,0.007142247504819408,[0.01536776 0.0053076 ],[0.00755699 0.01057639 0.01287966],0.012979936374666044,0.01052136027252861,0.007511744054853102,1.0,0.0011049499188545721,0.05923054473649225,0,adam
11,11,0.010460703611108494,0.006932364603092079,[0.01529561 0.0056258 ],[0.00748796 0.01106813 0.01282602],0.012945718260134804,0.010990880920341251,0.007445511652849429,1.0,0.001140025633982492,0.05993541676537739,0,adam
12,12,0.01054906450673373,0.006805399794089154,[0.01521774 0.00588039],[0.00741026 0.01147262 0.01276431],0.01290637257600083,0.011366183113779843,0.007374637830420524,1.0,0.0011681548766780553,0.06044168740471001,0,adam
13,13,0.01060328351486843,0.006733287631288166,[0.01513363 0.00607294],[0.00732378 0.01179248 0.0126936 ],0.01286152384826332,0.011649351836720542,0.007298974859621425,1.0,0.0011881715333090142,0.060752339438260305,0,adam
14,14,0.010627580232569378,0.006692375823613946,[0.01504235 0.00621281],[0.0072285  0.01204136 0.01261287],0.01281066669770877,0.011853871366922597,0.0072182026330767715,1.0,0.0012004688467361895,0.060891549376288934,0,adam
15,15,0.01062653481062472,0.0066673996654932005,[0.01494275 0.00631032],[0.00712453 0.01223392 0.01252116],0.012753225270947294,0.011994453904671284,0.0071319252562555766,1.0,0.0012059817686549297,0.060885559549765045,0,adam
16,16,0.010603837210177616,0.006649622561797815,[0.01483361 0.00637407],[0.00701205 0.01238192 0.01241754],0.012688604625259572,0.01208315987152441,0.007039747133748864,1.0,0.0012056602373718575,0.060755511878695545,0,adam
17,17,0.010562123201851821,0.006634320358559775,[0.01471373 0.00641052],[0.00689136 0.01249376 0.01230125],0.01261622820370568,0.012128817059942475,0.006941324341907306,1.0,0.0012002970223223418,0.06051650821633148,0,adam
18,18,0.010503175648549344,0.006619022018001452,[0.01458201 0.00642434],[0.00676285 0.012575   0.01217167],0.012535562925208112,0.012137567877208663,0.006836396143231257,1.0,0.0011905146108786976,0.060178763614646025,0,adam
19,19,0.010428179366461615,0.006602483928307011,[0.01443748 0.00641888],[0.00662699 0.01262917 0.01202837],0.012446135115486407,0.012113600446701872,0.006724802537196568,1.0,0.0011768021287228737,0.059749066570365716,0,adam
20,20,0.010337933587540583,0.006584130100435152,[0.01427932 0.00639655],[0.00648435 0.01265834 0.01187111],0.01234754005909751,0.012059768250503982,0.006606492453020251,1.0,0.0011595582403514631,0.05923199634526166,0,adam
21,21,0.010233007895569756,0.006563752555010756,[0.01410686 0.00635915],[0.00633554 0.01266365 0.01169984],0.012239447216896586,0.01197805084526756,0.006481525624545119,1.0,0.0011391264099749978,0.05863081641401968,0,adam
22,22,0.01011385116721073,0.006541350990610921,[0.01391961 0.00630809],[0.00618126 0.01264558 0.01151472],0.01212160246180751,0.0118698809477527,0.006350070092071974,1.0,0.001115820352127774,0.057948098650463686,0,adam
23,23,0.009980866401254672,0.0065170467615765,[0.01371724 0.00624449],[0.00602225 0.01260427 0.01131608],0.011993828321212902,0.011736374377241862,0.006212396505309258,1.0,0.0010899409778613277,0.05718615206758226,0,adam
24,24,0.009834462094093662,0.006491037102593422,[0.0134996  0.00616933],[0.00585929 0.01253964 0.01110446],0.011856022809048261,0.011578493477017684,0.006068869996215043,1.0,0.0010617867698554163,0.05634731717729591,0,adam
25,25,0.009675087798084058,0.006463571397454972,[0.0132667  0.00608348],[0.00569318 0.01245154 0.01088054],0.011708157341842227,0.01139716590151582,0.005919940150894123,1.0,0.0010316592804846085,0.055434169724873916,0,adam
26,26,0.009503258949803509,0.006434939004059627,[0.01301876 0.00598776],[0.00552472 0.01233987 0.01064518],0.011550274057558546,0.01119337329641503,0.005766129495436958,1.0,0.0009998650435412344,0.05444966294436693,0,adam
