,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.01279905871498898,0.006101711830423424,[0.01570795 0.01570794 0.00698129],[0.01047197 0.01396261 0.0139626 ],0.013962597439354182,0.013962613109857006,0.010471965595755759,1.0,0.002246925682819576,0.10999980691635036,0,adam
1,1,0.012718603311375734,0.006067437659016278,[0.01568869 0.01564709 0.00682003],[0.01043559 0.01390991 0.01381031],0.01378951670436038,0.013929311538529134,0.010436981691237683,1.0,0.002239671213201225,0.10930834365644149,0,adam
2,2,0.012516660968157713,0.006030231812636007,[0.01565167 0.015518   0.00638032],[0.01035822 0.01380957 0.0133822 ],0.013323506751577601,0.01385711964688339,0.010369356506012152,1.0,0.002217030285097988,0.10757277706073509,0,adam
3,3,0.012163322717202866,0.0061447918524764255,[0.0155888  0.01529411 0.00560706],[0.01022363 0.01364711 0.01261923],0.012503226630197666,0.013731303926475464,0.010255437594935468,1.0,0.002185743693454842,0.1045360584826982,0,adam
4,4,0.011871157103595356,0.006221355817680622,[0.01549144 0.0149463  0.00517573],[0.0100139  0.013408   0.01219158],0.011997124618969728,0.013536334504899121,0.010080012186917222,1.0,0.002150319280229315,0.10202507999591393,0,adam
5,5,0.011784748999648693,0.0059095315513369995,[0.01535099 0.01444872 0.00555453],[0.009713   0.01308033 0.01256092],0.012266607345404378,0.0132579368176807,0.009829702835861003,1.0,0.0020938147898346476,0.10128245704513317,0,adam
6,6,0.011558400289017745,0.0057482938783399995,[0.0151594  0.01378906 0.00572674],[0.00931321 0.01265865 0.01270335],0.012289599404514911,0.012887189438818435,0.00949841202371989,1.0,0.002007469894828067,0.09933713317252635,0,adam
7,7,0.011219217817457449,0.005675763204664335,[0.01490959 0.01297896 0.0057691 ],[0.00882124 0.01214786 0.01268855],0.012139902935082355,0.01242533941512794,0.009092411102162055,1.0,0.0018958125102353652,0.09642207455674279,0,adam
8,8,0.010793994525584417,0.005674735414231214,[0.01459581 0.01205563 0.00573054],[0.00825865 0.01156387 0.01255947],0.011866512291299411,0.011885436925969987,0.008630034359483854,1.0,0.0017680253323953017,0.0927675495604956,0,adam
9,9,0.010307106563097372,0.005728496318205761,[0.0142139  0.01107005 0.00563736],[0.00765428 0.01092882 0.01233822],0.011498638110436582,0.011288336501622044,0.008134345077233492,1.0,0.0016327931297877045,0.08858305575856074,0,adam
