,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,7.1640818949097294e-12,0.0,[7.16408189e-12],[7.16408189e-12],inf,inf,7.1640818949097294e-12,1.0,5.1998623591060806e-24,2.2803980925800715e-12,0,adam
1,1,2.9450166449785686e-11,0.0,[2.94501664e-11],[2.94501664e-11],inf,inf,2.9450166449785686e-11,1.0,8.78768679402423e-23,9.374279130724972e-12,0,adam
2,2,1.4241664651068845e-11,0.0,[1.42416647e-11],[1.42416647e-11],inf,inf,1.4241664651068845e-11,1.0,2.0549960933880278e-23,4.533262654149439e-12,0,adam
3,3,3.429411821982007e-11,0.0,[3.42941182e-11],[3.42941182e-11],inf,inf,3.429411821982007e-11,1.0,1.1916198511319186e-22,1.0916156867324389e-11,0,adam
4,4,1.912886599047854e-11,0.0,[1.9128866e-11],[1.9128866e-11],inf,inf,1.912886599047854e-11,1.0,3.707528970643672e-23,6.0889071562542085e-12,0,adam
5,5,2.35570638355503e-11,0.0,[2.35570638e-11],[2.35570638e-11],inf,inf,2.35570638355503e-11,1.0,5.622669749479266e-23,7.498446308318307e-12,0,adam
6,6,1.5681456767046808e-12,0.0,[1.56814568e-12],[1.56814568e-12],inf,inf,1.5681456767046808e-12,1.0,2.491164190417646e-25,4.991562718714704e-13,0,adam
7,7,1.705567695526221e-11,0.0,[1.7055677e-11],[1.7055677e-11],inf,inf,1.705567695526221e-11,1.0,2.9473318810816894e-23,5.4289905904170155e-12,0,adam
8,8,2.5261933957376918e-11,0.0,[2.5261934e-11],[2.5261934e-11],inf,inf,2.5261933957376918e-11,1.0,6.466024214469479e-23,8.041123322755084e-12,0,adam
9,9,2.938877996422073e-11,0.0,[2.938878e-11],[2.938878e-11],inf,inf,2.938877996422073e-11,1.0,8.751080048844095e-23,9.354739205491569e-12,0,adam
10,10,6.682756042184539e-13,0.0,[6.68275604e-13],[6.68275604e-13],inf,inf,6.682756042184539e-13,1.0,4.52406059206494e-26,2.1271873151818e-13,0,adam
11,11,1.6766881443627095e-11,0.0,[1.67668814e-11],[1.67668814e-11],inf,inf,1.6766881443627095e-11,1.0,2.848453672614835e-23,5.3370641239780525e-12,0,adam
12,12,1.1020269306308073e-11,0.0,[1.10202693e-11],[1.10202693e-11],inf,inf,1.1020269306308073e-11,1.0,1.2305234677593008e-23,3.5078606686056446e-12,0,adam
13,13,3.356585127743587e-11,0.0,[3.35658513e-11],[3.35658513e-11],inf,inf,3.356585127743587e-11,1.0,1.1415371004947796e-22,1.0684342299782656e-11,0,adam
14,14,3.845584291164397e-11,0.0,[3.84558429e-11],[3.84558429e-11],inf,inf,3.845584291164397e-11,1.0,1.4984130051060743e-22,1.2240874980307126e-11,0,adam
15,15,2.5891145434417676e-11,0.0,[2.58911454e-11],[2.58911454e-11],inf,inf,2.5891145434417676e-11,1.0,6.791935573335334e-23,8.241407556397462e-12,0,adam
16,16,2.749416979610244e-11,0.0,[2.74941698e-11],[2.74941698e-11],inf,inf,2.749416979610244e-11,1.0,7.65921431603625e-23,8.751666058515184e-12,0,adam
17,17,5.4048010245141755e-12,0.0,[5.40480102e-12],[5.40480102e-12],inf,inf,5.4048010245141755e-12,1.0,2.9599008906314276e-24,1.7204015989591426e-12,0,adam
18,18,3.4348528968389007e-12,0.0,[3.4348529e-12],[3.4348529e-12],inf,inf,3.4348528968389007e-12,1.0,1.1954619162032191e-24,1.0933476346508542e-12,0,adam
19,19,4.767218663078198e-12,0.0,[4.76721866e-12],[4.76721866e-12],inf,inf,4.767218663078198e-12,1.0,2.3023421359951534e-24,1.517452830057664e-12,0,adam
20,20,2.1945668589470313e-12,0.0,[2.19456686e-12],[2.19456686e-12],inf,inf,2.1945668589470313e-12,1.0,4.878746999675247e-25,6.985523270941485e-13,0,adam
21,21,1.3477123876305353e-12,0.0,[1.34771239e-12],[1.34771239e-12],inf,inf,1.3477123876305353e-12,1.0,1.8405951624839858e-25,4.289901767151605e-13,0,adam
22,22,2.03649665861728e-11,0.0,[2.03649666e-11],[2.03649666e-11],inf,inf,2.03649665861728e-11,1.0,4.202174534018633e-23,6.482370196181364e-12,0,adam
23,23,9.947400956320617e-12,0.0,[9.94740096e-12],[9.94740096e-12],inf,inf,9.947400956320617e-12,1.0,1.0025792002711015e-23,3.1663560662309465e-12,0,adam
