,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,5.200336360046747e-11,5.148580369303555e-11,[3.08661829e-11 2.58495235e-11 4.93633959e-11 1.01934352e-10],[5.74530855e-11 1.87439361e-11 7.98130692e-11],inf,inf,5.200336360046747e-11,1.0,3.2544234992974364e-20,1.9863821698606898e-10,0,adam
1,1,5.486741955121455e-11,4.7233969062943906e-11,[4.50754976e-11 5.34092653e-11 4.84438775e-11 7.25410378e-11],[5.72159104e-11 3.00997166e-11 7.72866317e-11],inf,inf,5.4867419551214545e-11,1.0,2.964833715960376e-20,2.0957835467072528e-10,0,adam
2,2,6.153604245958945e-11,6.31719914507193e-11,[3.88775843e-11 3.80170691e-11 3.70086100e-11 1.32240906e-10],[6.19682620e-11 3.09012505e-11 9.17386148e-11],inf,inf,6.153604245958945e-11,1.0,4.764768068977706e-20,2.3505042356930517e-10,0,adam
3,3,6.257057332166963e-11,7.289868545852869e-11,[5.41411945e-11 1.04743016e-11 4.61161322e-11 1.39550665e-10],[6.41407681e-11 2.32186970e-11 1.00352255e-10],inf,inf,6.257057332166963e-11,1.0,5.533196206101954e-20,2.3900215140315595e-10,0,adam
4,4,6.397174456042485e-11,7.491647187371416e-11,[5.06698643e-11 2.37047169e-11 3.00749600e-11 1.51437437e-10],[7.28558179e-11 1.41418898e-11 1.04917526e-10],inf,inf,6.397174456042484e-11,1.0,4.36235714427399e-20,2.44354092515664e-10,0,adam
5,5,6.228389233031143e-11,7.615961180320491e-11,[5.26796904e-11 2.85400653e-11 2.71752042e-11 1.40740609e-10],[6.71001809e-11 1.21586006e-11 1.07592895e-10],inf,inf,6.228389233031143e-11,1.0,3.6307276261148986e-20,2.3790680536706077e-10,0,adam
6,6,6.322885036952712e-11,7.881835071258324e-11,[4.27551640e-11 2.02573077e-11 3.63244065e-11 1.53578523e-10],[6.24151452e-11 1.84185180e-11 1.08852888e-10],inf,inf,6.322885036952712e-11,1.0,4.722525839523766e-20,2.41516584509327e-10,0,adam
7,7,6.610255608978536e-11,7.932747533752023e-11,[3.71442009e-11 1.56991286e-11 6.01103907e-11 1.51456504e-10],[7.56443688e-11 1.42359315e-11 1.08427368e-10],inf,inf,6.610255608978536e-11,1.0,4.5518914360859763e-20,2.52493137509191e-10,0,adam
8,8,6.79003343087277e-11,8.164450935109814e-11,[4.55308970e-11 1.55414770e-11 6.79149034e-11 1.42614060e-10],[7.70266547e-11 1.89225804e-11 1.07751768e-10],inf,inf,6.790033430872768e-11,1.0,5.152403425489266e-20,2.593600889611025e-10,0,adam
9,9,5.773542841959271e-11,8.542043066684459e-11,[2.93423913e-11 8.85011753e-12 6.38765330e-11 1.28872672e-10],[6.06608781e-11 1.73780432e-11 9.51673639e-11],inf,inf,5.7735428419592707e-11,1.0,4.255568151846222e-20,2.2053314729930662e-10,0,adam
