,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,3.818867218469651e-11,2.982488703262806e-11,[3.81886722e-11],[7.86381807e-11 2.83159116e-11 7.61192421e-12],inf,inf,3.818867218469651e-11,1.0,1.32986686854967e-21,3.646749568986252e-11,0,adam
1,1,4.117056722592735e-11,2.662024932006029e-11,[4.11705672e-11],[7.51238044e-11 1.01106332e-11 3.82772640e-11],inf,inf,4.117056722592735e-11,1.0,1.5456673426443243e-21,3.931499570342112e-11,0,adam
2,2,6.95260080164714e-11,1.99838978318071e-11,[6.9526008e-11],[9.48135197e-11 6.78111393e-11 4.59533650e-11],inf,inf,6.95260080164714e-11,1.0,4.407955135513268e-21,6.639244709560899e-11,0,adam
3,3,6.926883584588489e-11,1.1259174784722407e-11,[6.92688358e-11],[7.87776955e-11 5.34536775e-11 7.55751346e-11],inf,inf,6.926883584588489e-11,1.0,4.375419557966249e-21,6.61468657625619e-11,0,adam
4,4,6.348362463052125e-11,1.386528903553961e-11,[6.34836246e-11],[4.94014718e-11 5.87078026e-11 8.23415995e-11],inf,inf,6.348362463052125e-11,1.0,3.675076260013496e-21,6.062239599202712e-11,0,adam
5,5,8.19028256439383e-11,1.2686092037702669e-11,[8.19028256e-11],[6.82540986e-11 7.86430637e-11 9.88113145e-11],inf,inf,8.19028256439383e-11,1.0,6.117032445600675e-21,7.821143732655855e-11,0,adam
6,6,7.341939935851517e-11,4.310034270724971e-11,[7.34193994e-11],[6.05173087e-11 2.82796378e-11 1.31461252e-10],inf,inf,7.341939935851517e-11,1.0,4.915460319002253e-21,7.011036196047371e-11,0,adam
7,7,7.887907618073135e-11,5.665625548220875e-11,[7.88790762e-11],[3.18749326e-11 4.61863547e-11 1.58575941e-10],inf,inf,7.887907618073135e-11,1.0,5.67368993546662e-21,7.532396928411345e-11,0,adam
8,8,6.92016362461566e-11,4.977987472971026e-11,[6.92016362e-11],[2.00950056e-11 5.00690499e-11 1.37440853e-10],inf,inf,6.92016362461566e-11,1.0,4.366921771590366e-21,6.608269487173857e-11,0,adam
9,9,5.928306833608619e-11,6.865284931165109e-11,[5.92830683e-11],[3.67272553e-12 1.81648191e-11 1.56011660e-10],inf,inf,5.928306833608619e-11,1.0,3.2048177455477017e-21,5.661116020405643e-11,0,adam
10,10,5.568777348833889e-11,6.301230856688281e-11,[5.56877735e-11],[7.00573267e-12 1.53884758e-11 1.44669112e-10],inf,inf,5.568777348833889e-11,1.0,2.8278850976820572e-21,5.31779065227056e-11,0,adam
11,11,6.198802661857513e-11,6.216926763992423e-11,[6.19880266e-11],[1.53417384e-11 2.07695593e-11 1.49852782e-10],inf,inf,6.198802661857513e-11,1.0,3.503957073782161e-21,5.919420509314932e-11,0,adam
12,12,8.394741415747095e-11,5.861047713085941e-11,[8.39474142e-11],[5.60981793e-11 3.02621422e-11 1.65481921e-10],inf,inf,8.394741415747095e-11,1.0,6.426239248989232e-21,8.016387553766435e-11,0,adam
13,13,8.545975393820748e-11,6.623451978304702e-11,[8.54597539e-11],[5.83527375e-11 2.13638921e-11 1.76662632e-10],inf,inf,8.545975393820748e-11,1.0,6.6599022231186344e-21,8.160805364809676e-11,0,adam
14,14,9.579872626457121e-11,7.215432500343625e-11,[9.57987263e-11],[8.97079778e-11 1.06310232e-11 1.87057178e-10],inf,inf,9.579872626457121e-11,1.0,8.368782508588253e-21,9.148104496148335e-11,0,adam
15,15,9.919311988683321e-11,6.604791389315104e-11,[9.91931199e-11],[1.05607078e-10 1.52852349e-11 1.76687047e-10],inf,inf,9.919311988683321e-11,1.0,8.972338154954804e-21,9.472245210417896e-11,0,adam
16,16,8.414645518642397e-11,4.5137395774924305e-11,[8.41464552e-11],[8.50056335e-11 2.84400797e-11 1.38993652e-10],inf,inf,8.414645518642397e-11,1.0,6.456749959546853e-21,8.035394571948018e-11,0,adam
17,17,6.189222649716317e-11,3.775880003086336e-11,[6.18922265e-11],[8.84042125e-11 8.49365737e-12 8.87788096e-11],inf,inf,6.189222649716317e-11,1.0,3.493145312133417e-21,5.910272271592021e-11,0,adam
18,18,5.3912215898285953e-11,2.084272720603839e-11,[5.39122159e-11],[7.75388046e-11 2.68356602e-11 5.73621829e-11],inf,inf,5.3912215898285953e-11,1.0,2.6504276475716247e-21,5.148237391949806e-11,0,adam
19,19,4.3817394366782836e-11,2.1422230135985333e-11,[4.38173944e-11],[5.79474472e-11 1.35440910e-11 5.99606449e-11],inf,inf,4.3817394366782836e-11,1.0,1.750799900409628e-21,4.184252944128275e-11,0,adam
20,20,4.4850501015893006e-11,2.2796899253444154e-11,[4.4850501e-11],[6.31932014e-11 1.27181637e-11 5.86401379e-11],inf,inf,4.4850501015893006e-11,1.0,1.8343360649713735e-21,4.2829073620964664e-11,0,adam
21,21,5.537084250415317e-11,2.383186684808551e-11,[5.53708425e-11],[8.40799532e-11 2.57265180e-11 5.63060563e-11],inf,inf,5.537084250415317e-11,1.0,2.7957990564785095e-21,5.287525972619278e-11,0,adam
22,22,4.03953303211033e-11,1.200510634515422e-11,[4.03953303e-11],[4.17288587e-11 2.50707988e-11 5.43863335e-11],inf,inf,4.03953303211033e-11,1.0,1.4879981634833132e-21,3.8574698990601064e-11,0,adam
23,23,3.2220464135470674e-11,2.1476389043430316e-11,[3.22204641e-11],[4.60726501e-11 1.88623928e-12 4.87025030e-11],inf,inf,3.2220464135470674e-11,1.0,9.466973358428267e-22,3.076827681525174e-11,0,adam
24,24,5.1609525115900664e-11,2.7312056979787476e-11,[5.16095251e-11],[7.22142245e-11 1.30139349e-11 6.96004159e-11],inf,inf,5.1609525115900664e-11,1.0,2.4288628174211716e-21,4.9283466196925474e-11,0,adam
25,25,6.42972280888234e-11,4.1008929223239405e-11,[6.42972281e-11],[7.20530850e-11 1.06449747e-11 1.10193625e-10],inf,inf,6.42972280888234e-11,1.0,3.7698784502154836e-21,6.139933006465981e-11,0,adam
26,26,9.216878525641038e-11,4.684411975464363e-11,[9.21687853e-11],[1.05870063e-10 2.91864836e-11 1.41449809e-10],inf,inf,9.216878525641038e-11,1.0,7.746602100730063e-21,8.801470663399868e-11,0,adam
27,27,9.932844918455596e-11,4.572641916261257e-11,[9.93284492e-11],[1.06790860e-10 3.99681827e-11 1.51226305e-10],inf,inf,9.932844918455596e-11,1.0,8.996854748135865e-21,9.485168206424532e-11,0,adam
28,28,1.1188640344935276e-10,5.852537390178711e-11,[1.11886403e-10],[1.43791564e-10 2.97947679e-11 1.62072878e-10],inf,inf,1.1188640344935276e-10,1.0,1.141555939277435e-20,1.0684364504243149e-10,0,adam
29,29,1.0010973172810989e-10,6.756083301495065e-11,[1.00109732e-10],[1.23667261e-10 8.14068507e-12 1.68521249e-10],inf,inf,1.0010973172810989e-10,1.0,9.138946484910751e-21,9.559775193679343e-11,0,adam
30,30,1.074135608875065e-10,7.573851479587181e-11,[1.07413561e-10],[1.06022831e-10 1.53563874e-11 2.00861464e-10],inf,inf,1.074135608875065e-10,1.0,1.052109563324991e-20,1.0257239502209359e-10,0,adam
31,31,9.555108760121261e-11,8.210304784729616e-11,[9.55510876e-11],[7.64275697e-11 5.93077159e-12 2.04294922e-10],inf,inf,9.555108760121261e-11,1.0,8.32556822152006e-21,9.124456745723819e-11,0,adam
32,32,9.771124082431262e-11,7.697150001041256e-11,[9.77112408e-11],[8.69379126e-11 9.29028653e-12 1.96905523e-10],inf,inf,9.771124082431262e-11,1.0,8.706274257350569e-21,9.330736183699173e-11,0,adam
33,33,9.400200893896369e-11,6.8614003936972e-11,[9.40020089e-11],[7.51879812e-11 2.09690654e-11 1.85848980e-10],inf,inf,9.400200893896369e-11,1.0,8.057794766435997e-21,8.976530629922763e-11,0,adam
34,34,6.900794328223384e-11,8.376629255061411e-11,[6.90079433e-11],[1.55503129e-11 4.18404705e-12 1.87289470e-10],inf,inf,6.900794328223384e-11,1.0,4.342519794564007e-21,6.589773171583602e-11,0,adam
35,35,9.47474826992714e-11,6.775759718863648e-11,[9.47474827e-11],[5.03229667e-11 4.34309385e-11 1.90488543e-10],inf,inf,9.47474826992714e-11,1.0,8.186103815217155e-21,9.047718130261728e-11,0,adam
