,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,1.2646814981176287e-11,1.3027364518640127e-11,[2.89493085e-12 6.26072395e-12 2.41908967e-11 1.72407084e-11],[1.02263432e-11 1.22248047e-11 2.12716380e-11 6.86447399e-12],inf,inf,1.2646814981176287e-11,1.0,1.7509993964878033e-21,6.440958877362846e-11,0,adam
1,1,1.946736362821028e-11,3.3585663362583934e-11,[7.11342060e-12 4.91824337e-12 6.09328011e-11 4.90498947e-12],[9.16542084e-12 2.89004784e-11 3.16710667e-11 8.13248858e-12],inf,inf,1.9467363628210276e-11,1.0,7.162105755378116e-21,9.914624676810035e-11,0,adam
2,2,2.8559452032106728e-11,4.1968573806973044e-11,[1.60586697e-11 8.77286124e-12 7.11764093e-11 1.82298679e-11],[1.54003346e-11 3.95058657e-11 5.05648504e-11 8.76675747e-12],inf,inf,2.855945203210673e-11,1.0,9.19392428143384e-21,1.4545209481298116e-10,0,adam
3,3,3.0263864371192985e-11,4.5269791508379063e-11,[1.86415236e-11 9.50130258e-12 7.60650057e-11 1.68476256e-11],[8.67546251e-12 4.34412277e-11 5.42251940e-11 1.47135733e-11],inf,inf,3.026386437119298e-11,1.0,1.57485646722045e-20,1.5413270659792033e-10,0,adam
4,4,2.0651974565202683e-11,2.8776503271180214e-11,[1.52227149e-11 7.65744089e-12 5.19545044e-11 7.77323813e-12],[6.32036651e-12 3.76611321e-11 2.63231179e-11 1.23032817e-11],inf,inf,2.0651974565202687e-11,1.0,8.024240882993908e-21,1.051796427731233e-10,0,adam
5,5,2.3166204571992206e-11,2.4897059152502318e-11,[1.90512609e-11 1.42786361e-11 5.02212953e-11 9.11362599e-12],[1.27301968e-11 3.85843709e-11 2.68131635e-11 1.45370871e-11],inf,inf,2.3166204571992206e-11,1.0,7.767669818118407e-21,1.1798451104994e-10,0,adam
6,6,2.2228589222604093e-11,2.1490281536056993e-11,[2.11223136e-11 1.66224837e-11 4.10073059e-11 1.01622537e-11],[1.57652092e-11 4.50998836e-11 1.47873417e-11 1.32619224e-11],inf,inf,2.2228589222604093e-11,1.0,5.525433333624864e-21,1.1320944182102721e-10,0,adam
7,7,2.5910535803348792e-11,2.5918114248786708e-11,[2.43676009e-11 1.63778097e-11 3.65148441e-11 2.63818885e-11],[1.89882613e-11 4.58640756e-11 2.49942401e-11 1.37955663e-11],inf,inf,2.5910535803348792e-11,1.0,7.093799635756119e-21,1.3196133075155103e-10,0,adam
8,8,2.734642586644461e-11,2.98952416553524e-11,[2.39226361e-11 1.51211307e-11 3.48811265e-11 3.54608102e-11],[2.00500557e-11 4.21257781e-11 3.52785691e-11 1.19313006e-11],inf,inf,2.7346425866444607e-11,1.0,1.0437685872531951e-20,1.39274147770152e-10,0,adam
9,9,2.948845670614038e-11,2.8363554255446976e-11,[2.66504980e-11 1.48138495e-11 4.17489140e-11 3.47405654e-11],[2.88182083e-11 4.19820780e-11 3.65056012e-11 1.06479393e-11],inf,inf,2.9488456706140385e-11,1.0,9.63476831998712e-21,1.5018342125472373e-10,0,adam
10,10,2.8219853535880306e-11,2.5862226619051502e-11,[2.88128893e-11 1.91318307e-11 3.24237487e-11 3.25109455e-11],[2.90668061e-11 3.75052244e-11 2.88994320e-11 1.74079517e-11],inf,inf,2.8219853535880306e-11,1.0,6.981002196825158e-21,1.437225893852201e-10,0,adam
