,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.005235977392096181,0.007404790148466215,[0.00523598 0.00523598],[1.57079320e-02 1.63490348e-11 1.13355726e-10],inf,0.005235977392096182,inf,1.0,9.99987706108434e-05,0.009999980206434333,0,adam
1,1,0.005209099802338466,0.007366779540097676,[0.0052091 0.0052091],[1.56272993e-02 1.82084175e-11 4.98497501e-11],inf,0.005209099802338466,inf,1.0,9.897477637932646e-05,0.009948647791214071,0,adam
2,2,0.005197792272626116,0.007350788271760271,[0.00519779 0.00519779],[1.55933767e-02 1.12633737e-11 6.59323990e-11],inf,0.005197792272626116,inf,1.0,9.854555177839156e-05,0.009927052000239467,0,adam
3,3,0.005201132794047458,0.00735551250713557,[0.00520113 0.00520113],[1.56033983e-02 6.05528850e-12 3.62435751e-11],inf,0.005201132794047458,inf,1.0,9.867225819415908e-05,0.009933431926200331,0,adam
4,4,0.005216223751316997,0.007376854323692135,[0.00521622 0.00521622],[1.56486712e-02 6.87075215e-12 6.35472201e-11],inf,0.005216223751316998,inf,1.0,9.924567400232005e-05,0.00996225353154534,0,adam
5,5,0.005240346151532353,0.007410968542261651,[0.00524035 0.00524035],[1.57210384e-02 2.22818991e-11 5.79960158e-11],inf,0.005240346151532353,inf,1.0,0.00010016571082324265,0.010008323922347628,0,adam
6,6,0.005271312795718644,0.007454762008944971,[0.00527131 0.00527131],[1.58139383e-02 2.97518671e-11 2.43717427e-11],inf,0.005271312795718644,inf,1.0,0.00010135301251871294,0.010067465856266278,0,adam
7,7,0.005307421548469194,0.007505827493907341,[0.00530742 0.00530742],[1.59222646e-02 3.25397204e-11 2.56820477e-11],inf,0.005307421548469193,inf,1.0,0.00010274630228155041,0.010136428494135652,0,adam
8,8,0.005347343936797738,0.007562286270175246,[0.00534734 0.00534734],[1.60420317e-02 1.99129388e-11 4.78528582e-11],inf,0.005347343936797738,inf,1.0,0.00010429781638362733,0.010212674639445973,0,adam
9,9,0.005390025542899559,0.007622647172824634,[0.00539003 0.00539003],[1.61700766e-02 1.66880556e-11 5.61175370e-11],inf,0.005390025542899559,inf,1.0,0.00010596942210601923,0.010294190502528666,0,adam
10,10,0.005434609982879154,0.0076856990793981485,[0.00543461 0.00543461],[1.63038299e-02 8.31159063e-12 8.30434458e-11],inf,0.005434609982879154,inf,1.0,0.00010772974228008666,0.010379340510621393,0,adam
11,11,0.005480383464149643,0.007750432574029439,[0.00548038 0.00548038],[1.64411503e-02 5.67162296e-12 6.21770110e-11],inf,0.005480383464149642,inf,1.0,0.00010955209444561856,0.010466761420301784,0,adam
12,12,0.005526734827048766,0.007815983325919183,[0.00552673 0.00552673],[1.65802044e-02 1.32476221e-11 1.80530330e-11],inf,0.005526734827048766,inf,1.0,0.00011141302817597982,0.010555286002595476,0,adam
13,13,0.005573126449444307,0.007881590970856531,[0.00557313 0.00557313],[1.67193793e-02 7.83968202e-12 4.69862973e-11],inf,0.005573126449444307,inf,1.0,0.00011329127098538399,0.010643887474863112,0,adam
14,14,0.005619072719646998,0.007946568812733024,[0.00561907 0.00561907],[1.68572181e-02 8.61608155e-12 4.13798103e-11],inf,0.005619072719647,inf,1.0,0.00011516695716874314,0.010731638387095677,0,adam
15,15,0.005664123965743946,0.008010280892438269,[0.00566412 0.00566412],[1.69923718e-02 3.14640617e-12 5.18372248e-11],inf,0.005664123965743946,inf,1.0,0.00011702105787216556,0.010817679929201018,0,adam
16,16,0.005707853901722049,0.008072124356933512,[0.00570785 0.00570785],[1.71235616e-02 4.47005227e-12 5.62364733e-11],inf,0.0057078539017220474,inf,1.0,0.00011883493996939466,0.010901197954865216,0,adam
17,17,0.005749849695037276,0.008131515370531793,[0.00574985 0.00574985],[1.72495490e-02 2.05327331e-11 4.98904710e-11],inf,0.005749849695037276,inf,1.0,0.00012059002222599338,0.010981404012007312,0,adam
18,18,0.005789703751949858,0.008187877533396734,[0.0057897 0.0057897],[1.73691112e-02 2.59664834e-11 2.31536046e-11],inf,0.005789703751949858,inf,1.0,0.00012226749509829256,0.011057519653925985,0,adam
19,19,0.0058270067591773755,0.00824063195049874,[0.00582701 0.00582701],[1.74810202e-02 2.19627591e-11 2.94716168e-11],inf,0.005827006759177374,inf,1.0,0.00012384809102822838,0.011128763149835574,0,adam
20,20,0.00586134142890514,0.00828918849850682,[0.00586134 0.00586134],[1.75840242e-02 2.79374779e-11 3.42173851e-11],inf,0.00586134142890514,inf,1.0,0.0001253118843197824,0.011194337538714683,0,adam
21,21,0.005892276834762729,0.008332937766226796,[0.00589228 0.00589228],[1.76768304e-02 2.64383920e-11 3.96781664e-11],inf,0.005892276834762729,inf,1.0,0.00012663812100402471,0.011253419811820375,0,adam
22,22,0.0059193630494481,0.00837124344424418,[0.00591936 0.00591936],[1.77580891e-02 3.27019063e-11 5.34173164e-11],inf,0.0059193630494481,inf,1.0,0.00012780507049964905,0.011305150671302222,0,adam
