,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.01256635615823708,0.006283178069351182,[0.01570795 0.01570795 0.01570792 0.01178096 0.00392699],[0.01570795 0.01256635 0.00942475 0.01256637],inf,0.01256635615823708,inf,0.95,0.0013545652626247777,0.07999990796946865,0,adam
1,1,0.012526286938757278,0.006263339799165984,[0.01566399 0.01568121 0.01569063 0.01169101 0.00390459],[0.01565915 0.01253103 0.00939823 0.01251673],inf,0.012526286938757281,inf,1.0,0.0013477482689849987,0.07974481939562694,0,adam
2,2,0.012449157601699798,0.006226097065201249,[0.01557718 0.01562343 0.01565704 0.01152498 0.00386316],[0.01556508 0.01245862 0.00935078 0.01242215],inf,0.012449157601699798,inf,1.0,0.001335520310599769,0.07925379878562278,0,adam
3,3,0.012325093951584692,0.0061681381753477295,[0.01543562 0.01552184 0.01559433 0.01127399 0.0037997 ],[0.01541447 0.01233849 0.00927449 0.01227292],inf,0.01232509395158469,inf,1.0,0.00131576321487261,0.07846398505866903,0,adam
4,4,0.012144121097185226,0.006086514268712495,[0.01522631 0.0153618  0.0154867  0.01093416 0.00371164],[0.01519506 0.01216171 0.00916042 0.0120593 ],inf,0.012144121097185226,inf,1.0,0.0012862232749115549,0.07731187608494428,0,adam
5,5,0.011896702207050244,0.005978214010295738,[0.01493557 0.01512692 0.01531579 0.01050798 0.00359725],[0.01489406 0.01192131 0.00899922 0.01177222],inf,0.011896702207050244,inf,1.0,0.0012446658249890953,0.07573675850977213,0,adam
6,6,0.01157400126644258,0.005839334049646154,[0.01454973 0.01479931 0.01506086 0.01000411 0.003456  ],[0.0144987  0.01161141 0.00878165 0.01140425],inf,0.011574001266442578,inf,1.0,0.0011890336182951557,0.07368238051624765,0,adam
7,7,0.01116804193638065,0.005664291150377546,[0.0140561  0.01436002 0.01469922 0.00943599 0.00328887],[0.01399694 0.01122558 0.00849914 0.01095051],inf,0.01116804193638065,inf,1.0,0.0011176854949112333,0.07109796315330219,0,adam
8,8,0.010672011490394732,0.005445608293706367,[0.0134443  0.01379011 0.01420751 0.00881964 0.00309849],[0.01337843 0.0107554  0.00814455 0.01040966],inf,0.010672011490394732,inf,1.0,0.0010297541560788947,0.06794013525719311,0,adam
9,9,0.01008096541866781,0.0051746561419328254,[0.01270777 0.01307238 0.01356393 0.00817178 0.00288896],[0.01263576 0.01019047 0.0077131  0.00978452],inf,0.01008096541866781,inf,1.0,0.0009256065778337318,0.06417741910077757,0,adam
