,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.00785397881667016,0.007853978786151312,[0.00785398],[3.05188494e-11 1.57079576e-02],inf,0.00785397881667016,inf,1.0,2.4999929981272118e-05,0.004999998206448364,0,adam
1,1,0.007854093489903794,0.007854093484401331,[0.00785409],[5.50246134e-12 1.57081870e-02],inf,0.007854093489903794,inf,1.0,2.5000660015775975e-05,0.005000071209696255,0,adam
2,2,0.007854044172705838,0.007854044160145327,[0.00785404],[1.25605120e-11 1.57080883e-02],inf,0.007854044172705838,inf,1.0,2.5000346050565774e-05,0.00500003981339292,0,adam
3,3,0.00785364414702391,0.007853644121664317,[0.00785364],[2.53595943e-11 1.57072883e-02],inf,0.00785364414702391,inf,1.0,2.499779946316602e-05,0.00499978514913435,0,adam
4,4,0.007852700754228233,0.007852700725781179,[0.0078527],[2.84470555e-11 1.57054015e-02],inf,0.007852700754228233,inf,1.0,2.4991794281884136e-05,0.0049991845666275125,0,adam
5,5,0.00785101577631753,0.007851015774376881,[0.00785102],[1.94065003e-12 1.57020316e-02],inf,0.00785101577631753,inf,1.0,2.498107032408455e-05,0.004998111876373557,0,adam
6,6,0.0078483857206735,0.00784838571462693,[0.00784839],[6.04656883e-12 1.56967714e-02],inf,0.0078483857206735,inf,1.0,2.4964336065653716e-05,0.004996437530948139,0,adam
7,7,0.007844601962490006,0.0078446019465351,[0.0078446],[1.59549057e-11 1.56892039e-02],inf,0.007844601962490006,inf,1.0,2.4940270978052102e-05,0.00499402871567467,0,adam
8,8,0.007839451014891068,0.007839451000766596,[0.00783945],[1.41244723e-11 1.56789020e-02],inf,0.007839451014891068,inf,1.0,2.490752907831464e-05,0.004990749520586757,0,adam
9,9,0.007832714770889171,0.007832714750037299,[0.00783271],[2.08518730e-11 1.56654295e-02],inf,0.007832714770889171,inf,1.0,2.4864742725142437e-05,0.004986461094463657,0,adam
10,10,0.007824170696641089,0.007824170678004708,[0.00782417],[1.86363790e-11 1.56483414e-02],inf,0.007824170696641089,inf,1.0,2.481052655488074e-05,0.004981021767860749,0,adam
11,11,0.007813592109285897,0.007813592076191606,[0.00781359],[3.30942915e-11 1.56271842e-02],inf,0.007813592109285897,inf,1.0,2.474348242624724e-05,0.004974287229986718,0,adam
12,12,0.007800748370717018,0.007800748343007996,[0.00780075],[2.77090225e-11 1.56014967e-02],inf,0.007800748370717018,inf,1.0,2.4662204323003187e-05,0.00496611065206265,0,adam
13,13,0.0077854052084089,0.007785405181396056,[0.00778541],[2.70128439e-11 1.55708104e-02],inf,0.0077854052084089,inf,1.0,2.4565284570852145e-05,0.004956342891566656,0,adam
14,14,0.007767324947515142,0.007767324921081283,[0.00776732],[2.64338578e-11 1.55346499e-02],inf,0.007767324947515142,inf,1.0,2.4451320015114265e-05,0.004944832639992125,0,adam
15,15,0.007746266831417558,0.0077462668013395745,[0.00774627],[3.00779828e-11 1.54925336e-02],inf,0.007746266831417558,inf,1.0,2.4318919292339196e-05,0.0049314266269155915,0,adam
16,16,0.007721987343108153,0.007721987317964806,[0.00772199],[2.51433464e-11 1.54439747e-02],inf,0.007721987343108153,inf,1.0,2.4166710647012088e-05,0.004915969824594857,0,adam
17,17,0.007694240605125556,0.007694240576092539,[0.00769424],[2.90330174e-11 1.53884812e-02],inf,0.007694240605125556,inf,1.0,2.3993350782331993e-05,0.004898305702576433,0,adam
18,18,0.007662778777954013,0.007662778751638743,[0.00766278],[2.63152702e-11 1.53255575e-02],inf,0.007662778777954013,inf,1.0,2.3797534234538866e-05,0.004878276481324217,0,adam
19,19,0.007627352588320365,0.007627352555980849,[0.00762735],[3.23395167e-11 1.52547051e-02],inf,0.007627352588320365,inf,1.0,2.3578004075964382e-05,0.004855723468543793,0,adam
20,20,0.007587711879316011,0.007587711841429388,[0.00758771],[3.78866228e-11 1.51754237e-02],inf,0.007587711879316011,inf,1.0,2.3333563240975634e-05,0.004830487409400952,0,adam
21,21,0.007543606296282764,0.007543606266196411,[0.00754361],[3.00863537e-11 1.50872126e-02],inf,0.007543606296282764,inf,1.0,2.3063087139709818e-05,0.004802408923170187,0,adam
22,22,0.00749478610388232,0.007494786059174822,[0.00749479],[4.47074984e-11 1.49895722e-02],inf,0.00749478610388232,inf,1.0,2.276553746024057e-05,0.004771329023397275,0,adam
