,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.0032724881641789873,0.006379253590631224,[0.00392699 0.00392699 0.00196348],[1.30899523e-02 2.03218042e-10 5.13284029e-11 8.74406307e-11],inf,0.003926982613911964,0.0026179937144460113,1.0,0.00014286541397312067,0.024999968041862886,0,adam
1,1,0.00326280437968017,0.0063605469295809,[0.00392799 0.00392824 0.00193218],[1.30512173e-02 1.00690055e-10 4.48755701e-11 1.00881481e-10],inf,0.003906754365122374,0.002618854394237965,1.0,0.00014405267923919393,0.024925989377663216,0,adam
2,2,0.0032599537912632987,0.00635515567954827,[0.0039295  0.00393017 0.00192019],[1.30398149e-02 1.11453733e-10 3.48284597e-11 1.32724441e-10],inf,0.0038997378995974225,0.0026201696829291758,1.0,0.0001450635803206141,0.024904212486274613,0,adam
3,3,0.0032611491614239784,0.006357514955397315,[0.0039314  0.00393263 0.00191942],[1.30445964e-02 9.87874226e-11 3.89542739e-11 9.14912087e-11],inf,0.0039004410253700474,0.0026218572974779086,1.0,0.0001459873377654326,0.024913344441629404,0,adam
4,4,0.003264868441550422,0.006364693437398502,[0.00393355 0.00393547 0.00192558],[1.30594736e-02 1.07071517e-10 5.24543159e-11 2.89083842e-11],inf,0.0039059013525549378,0.0026238355305459055,1.0,0.00014686957694450453,0.024941757648839102,0,adam
5,5,0.00327022185052083,0.006375015008354601,[0.00393584 0.00393852 0.0019363 ],[1.30808872e-02 9.77302497e-11 4.56191836e-11 2.50361526e-11],inf,0.003914422143792663,0.0026260215572489966,1.0,0.00014773192265058938,0.02498265468084071,0,adam
6,6,0.003276633471108669,0.006387408716773384,[0.00393813 0.0039416  0.00195017],[1.31065337e-02 5.99184417e-11 4.03259799e-11 3.71392888e-11],inf,0.003924936193804368,0.002628330748412971,1.0,0.00014858315562497621,0.0250316358541105,0,adam
7,7,0.0032836926198876637,0.006401115325400996,[0.00394028 0.00394453 0.00196626],[1.31347703e-02 6.04535970e-11 4.89011371e-11 7.56704697e-11],inf,0.0039367090087321244,0.0026306762310432034,1.0,0.00014942475703718709,0.025085563778376008,0,adam
8,8,0.003291080961415461,0.0064155468273206055,[0.00394217 0.00394713 0.00198395],[1.31643237e-02 6.75104269e-11 6.56523813e-11 5.79848837e-11],inf,0.003949193116664525,0.0026329688061663974,1.0,0.00015025373748322457,0.02514200654999499,0,adam
9,9,0.003298534665097377,0.006430214553254352,[0.00394364 0.00394921 0.00200276],[1.31941385e-02 7.26565444e-11 6.07987507e-11 7.19242664e-11],inf,0.003961952295197917,0.0026351170349968376,1.0,0.00015106418447357304,0.025198948651690145,0,adam
