,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.012042711121002704,0.006643690166350626,[0.01570788 0.0157079  0.01570783 0.01047195 0.00261799],[0.0141371  0.01099549 0.01099555],inf,0.013613541235763079,0.01047188100624233,1.0,0.002709532545013725,0.11499942018811926,0,adam
1,1,0.011896629347869425,0.0065637851855184625,[0.01544152 0.01555733 0.01552978 0.01035807 0.00259645],[0.01395285 0.01086499 0.01087205],inf,0.013457448349463969,0.01033581034627488,1.0,0.0026516293255940187,0.11360444201073183,0,adam
2,2,0.011591029979334457,0.006402646335051161,[0.01486054 0.0152421  0.01517524 0.0101261  0.00255117],[0.01354829 0.01061009 0.01061471],inf,0.013145059362149082,0.010037000596519829,1.0,0.0025247013024003876,0.1106861830042456,0,adam
3,3,0.011070840687670284,0.006153198470043034,[0.01384625 0.01470263 0.01459353 0.00973857 0.00247323],[0.01283399 0.01020411 0.01017442],inf,0.012634618533761903,0.009507062841578671,1.0,0.0023105653135471276,0.10571874117753599,0,adam
4,4,0.010297363165664769,0.005843556958539218,[0.0123578  0.01387835 0.01373709 0.00916031 0.00235327],[0.01176139 0.00962935 0.00950136],inf,0.011892527226620613,0.008702199104708926,1.0,0.002009512084023139,0.09833257491767755,0,adam
5,5,0.009272158126936238,0.005518622858745962,[0.01050196 0.01272515 0.01257933 0.00837045 0.0021839 ],[0.01036966 0.00888548 0.00856133],inf,0.010906783751241754,0.007637532502630722,1.0,0.00164811519793133,0.08854258794189551,0,adam
6,6,0.008162260241756326,0.005007201698597938,[0.00908783 0.01124424 0.01113925 0.0073771  0.00196288],[0.00913079 0.00799627 0.00735972],inf,0.009700568975905825,0.006623951507606828,1.0,0.0012667236977722729,0.07794384385667796,0,adam
7,7,0.006999434867687676,0.004465835133579283,[0.00806929 0.00950917 0.00949654 0.0062264  0.00169578],[0.00802851 0.00701031 0.00595949],inf,0.008337537889312201,0.005661331846063152,1.0,0.0009088049571829098,0.06683967948253544,0,adam
8,8,0.005731418794858704,0.004257004631518584,[0.00682969 0.00765917 0.007776   0.00499622 0.00139601],[0.00673072 0.00599251 0.00447102],inf,0.006910810782417355,0.004552026807300053,1.0,0.0006139528158171653,0.054731017927893255,0,adam
9,9,0.004568284524776318,0.004296252757624056,[0.00560813 0.00596302 0.00641428 0.00377427 0.00108172],[0.00561587 0.00500824 0.00308075],inf,0.005556586804539345,0.0035799822450132885,1.0,0.0004062176613086014,0.04362390381410197,0,adam
10,10,0.004025061969758935,0.004199123031869034,[0.00524172 0.00525242 0.00622557 0.00263436 0.00077124],[0.00540868 0.00410841 0.00255809],inf,0.004640568497448185,0.003409555442069684,1.0,0.0002965922996465558,0.03843651052430008,0,adam
11,11,0.0037232936392886805,0.004399434889383239,[0.00486683 0.00485183 0.006372   0.00204623 0.00047957],[0.00527996 0.00361831 0.00227161],inf,0.004003266011173711,0.0034433212674036496,1.0,0.0002875537456727137,0.035554835236524474,0,adam
12,12,0.0038573167726495827,0.004582286202007222,[0.0050663  0.00572927 0.00648024 0.00179365 0.00021713],[0.00542694 0.00394527 0.00219975],inf,0.003692722680117143,0.0040219108651820224,1.0,0.00032062691845403506,0.036834661886307574,0,adam
13,13,0.004288796537496447,0.004684916992372772,"[5.64331167e-03 6.65689664e-03 7.17677444e-03 1.95723473e-03
 9.76520573e-06]",[0.00593984 0.00427782 0.00264873],inf,0.0039177490312359035,0.004659844043756989,1.0,0.000359626084383896,0.040954990131478075,0,adam
14,14,0.0047881707627560255,0.004745257557551189,[0.00611256 0.00741708 0.00793984 0.0022737  0.00019768],[0.00666903 0.00456482 0.00313066],inf,0.0043941448773987795,0.0051821966481132705,1.0,0.00039609699527625976,0.045723662715642766,0,adam
15,15,0.005180932747573185,0.004843010666173117,[0.00648337 0.00801013 0.00853375 0.0025326  0.00034482],[0.00723518 0.00480179 0.00350584],inf,0.0047834509966826365,0.005578414498463736,1.0,0.00042710256116995377,0.04947426339617689,0,adam
16,16,0.00546534805091439,0.0049365943889407345,[0.00679137 0.00843193 0.00896337 0.00268988 0.00045019],[0.00764031 0.00500271 0.00375303],inf,0.005074970328976822,0.005855725772851957,1.0,0.0004510094652136438,0.05219022948124108,0,adam
17,17,0.005626802169182405,0.005011607971605496,[0.00696501 0.00867205 0.00922989 0.00275394 0.00051313],[0.00788085 0.00511956 0.00387999],inf,0.005237028867298748,0.006016575471066063,1.0,0.00046638173188645864,0.05373200274153489,0,adam
18,18,0.005664791380353572,0.0050452275726832335,[0.00701367 0.00871382 0.0093294  0.00273377 0.00053329],[0.00794713 0.00515466 0.00389258],inf,0.005271222157631878,0.006058360603075267,0.9666666666666667,0.00047156044593258355,0.05409477298605814,0,adam
19,19,0.005581865504867637,0.005016300782719304,[0.00696962 0.00853662 0.00925254 0.0026395  0.00051106],[0.0078246  0.00512532 0.00379568],inf,0.00518942399294982,0.0059743070167854575,1.0,0.00046473797645035943,0.053302889206429116,0,adam
20,20,0.005366208338965815,0.004928650453005182,[0.0067926  0.00812116 0.00898619 0.00248296 0.00044814],[0.00749761 0.00500608 0.00359494],inf,0.004976269049107654,0.005756147628823977,1.0,0.0004444445721305658,0.051243514968441595,0,adam
21,21,0.00501512843324256,0.004792991477972671,[0.00647199 0.00745833 0.00851893 0.00227804 0.00034836],[0.00695672 0.00478957 0.00329909],inf,0.004630950423486767,0.005399306442998353,1.0,0.00041030072931952323,0.047890948823475776,0,adam
22,22,0.004539796958864186,0.004633415046331583,[0.00600856 0.00655968 0.00785107 0.00206157 0.0002181 ],[0.00620914 0.00447505 0.00293521],inf,0.00416948141402489,0.004910112503703482,1.0,0.0003640223739211523,0.04335186759820764,0,adam
