,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.011780961283576651,0.006801741161654327,[0.01570795 0.01570795 0.01178095 0.00392699],[0.01178096 0.01178096],inf,0.013744452054972748,0.009817470512180557,1.0,0.0009929610284583152,0.05999994312497492,0,adam
1,1,0.011735842950262313,0.0067757461820513966,[0.01562709 0.015644   0.01175958 0.0039127 ],[0.01172915 0.01174253],inf,0.01368771390767968,0.009783971992844948,1.0,0.0009854815617753763,0.059770157340301555,0,adam
2,2,0.011650815316212402,0.006727006791046376,[0.01547698 0.01552486 0.01171541 0.00388601],[0.01163182 0.01166981],inf,0.013581105401655386,0.00972052523076942,1.0,0.0009711752253632746,0.05933711515603113,0,adam
3,3,0.0115182343875514,0.00665153630550344,[0.01524679 0.01534074 0.0116408  0.0038446 ],[0.01148072 0.01155575],inf,0.013415643266353139,0.00962082550874966,1.0,0.0009489726767950066,0.058661886031035504,0,adam
4,4,0.011330885189317078,0.0065457563679349375,[0.01492768 0.01508235 0.01152738 0.00378613],[0.01126844 0.01139333],inf,0.013183379132588957,0.0094783912460452,1.0,0.000918032143181919,0.05770772439957006,0,adam
5,5,0.011082639265460426,0.006406769079462808,[0.01451415 0.01474174 0.01136632 0.00370835],[0.01098929 0.01117599],inf,0.012878300225304949,0.009286978305615905,1.0,0.0008778846988030057,0.056443418291275416,0,adam
6,6,0.010769133743560151,0.006232553513812425,[0.01400513 0.01431337 0.0111487  0.00360934],[0.01064009 0.01089817],inf,0.01249713706411748,0.009041130423002822,1.0,0.0008285652414919917,0.054846747779370375,0,adam
7,7,0.010388366513691504,0.0060220636245776225,[0.01340469 0.01379501 0.01086611 0.00348766],[0.01022086 0.01055588],inf,0.012039915710777479,0.008736817316605527,1.0,0.0007707006023990255,0.05290751620173828,0,adam
8,8,0.009941103189863184,0.0057752530769868285,[0.01272206 0.01318846 0.01051131 0.00334257],[0.009735   0.01014721],inf,0.011510141660633742,0.008372064719092626,1.0,0.0007055301877908132,0.0506296227985068,0,adam
9,9,0.009431023660505538,0.005493086396216824,[0.01197098 0.01249979 0.01007911 0.00317421],[0.00918922 0.00967283],inf,0.010914597895514834,0.007947449425496241,1.0,0.0006348457569031895,0.048031809087554445,0,adam
10,10,0.008864583893884509,0.005177591732422999,[0.01116847 0.01173902 0.00956715 0.0029837 ],[0.00859302 0.00913615],inf,0.010262828822075071,0.007466338965693946,1.0,0.0005608524769957424,0.04514695504526456,0,adam
11,11,0.008250616472652374,0.004831975537130582,[0.01033335 0.01091936 0.00897665 0.0027731 ],[0.00795792 0.00854332],inf,0.009566425768533757,0.006934807176770992,1.0,0.00048597011969428157,0.04202004464569731,0,adam
