,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.013613561465717065,0.005339678113673418,[0.01570795 0.01570796 0.01570795 0.01570795 0.00523599],[0.01256636 0.01413716 0.01413716],inf,0.014660757507986188,0.01256636542344794,1.0,0.0019424384701733888,0.12999993602125293,0,adam
1,1,0.013589064261126759,0.005330280235236238,[0.01570376 0.01568014 0.01565852 0.01566869 0.0052342 ],[0.01253303 0.01410548 0.01412868],inf,0.014621961333423309,0.012556167188830208,1.0,0.0019154307646202019,0.12976600494910429,0,adam
2,2,0.013535592131370504,0.005311155942116324,[0.01568998 0.01562216 0.01554533 0.01559128 0.00522921],[0.01246558 0.01403326 0.01410794],inf,0.014538343808638826,0.012532840454102178,1.0,0.0018810573367754333,0.1292553837230026,0,adam
3,3,0.013441597655203587,0.005282303674401202,[0.01566126 0.01552418 0.01533665 0.01546642 0.00521949],[0.01235394 0.01390109 0.01406976],inf,0.014391744341741007,0.012491450968666174,1.0,0.0018375009897931634,0.12835780259268503,0,adam
4,4,0.013295040413737587,0.005250294534868306,[0.0156123  0.01537613 0.01499808 0.0152852  0.00520349],[0.01218788 0.01368815 0.01400909],inf,0.01416283473804401,0.012427246089431163,1.0,0.0017840870577429141,0.12695828402717124,0,adam
5,5,0.013086424241249513,0.005232967170930166,[0.015538   0.01516882 0.01450561 0.01503992 0.00517977],[0.01195829 0.01337984 0.01392114],inf,0.01383685558045319,0.012335992902045841,1.0,0.0017223634620375954,0.12496614632354808,0,adam
6,6,0.012813314435400309,0.0052569000128295336,[0.0154336  0.01489563 0.0138655  0.01472492 0.00514692],[0.01165894 0.01297936 0.01380164],inf,0.013412307836785027,0.012214321034015596,1.0,0.0016564002186877365,0.12235813978708188,0,adam
7,7,0.012482614318557775,0.0053402487393263524,[0.01529468 0.01455438 0.01312293 0.01433737 0.00510371],[0.01128832 0.01251257 0.01364696],inf,0.01290526006693247,0.012059968570183079,1.0,0.0015909382694083843,0.11920018629048856,0,adam
8,8,0.012106971992698,0.005475641519911255,[0.01511722 0.01414861 0.0123422  0.01387779 0.00504903],[0.01085081 0.01201591 0.0134542 ],inf,0.012342086117772632,0.011871857867623365,1.0,0.0015285890809588515,0.11561306631078128,0,adam
9,9,0.011835908061397924,0.005341714583546056,[0.0148977  0.01368737 0.01226236 0.01335013 0.00498198],[0.01035644 0.01192999 0.01322129],inf,0.012021783630245864,0.011650032492549988,1.0,0.0014692599598248196,0.11302459643716145,0,adam
10,10,0.011565167098044175,0.005171826339887726,[0.0146333  0.01318344 0.01234565 0.01276157 0.00490187],[0.00981934 0.01192904 0.01294712],inf,0.011734804493661417,0.011395529702426929,1.0,0.0014116641428929698,0.11043921068024898,0,adam
11,11,0.011245069980317388,0.005071364739495521,[0.01432221 0.01265055 0.01232227 0.01212209 0.00480824],[0.00925531 0.01184832 0.01263158],inf,0.011379929784712669,0.011110210175922109,1.0,0.0013544227044490918,0.10738250836690755,0,adam
12,12,0.010883182299497298,0.005019655380148272,[0.01396385 0.01210096 0.01220658 0.0114436  0.00470092],[0.00867954 0.01169431 0.01227569],inf,0.010969827596039601,0.010796537002954994,1.0,0.0012962216416778731,0.10392673557211274,0,adam
13,13,0.010487349442544674,0.004996446738533808,[0.0135591  0.01154407 0.01201446 0.01073909 0.00458003],[0.00810506 0.01147538 0.01188161],inf,0.010517373002251088,0.010457325882838257,1.0,0.0012358145563250511,0.10014681022278116,0,adam
14,14,0.010092068356997793,0.004929102778085666,[0.0131103  0.01112261 0.01175985 0.01002162 0.00444597],[0.00762384 0.01119983 0.01145253],inf,0.010088618529190095,0.010095518184805492,1.0,0.0011722017494693376,0.0963721539022504,0,adam
15,15,0.009730554742907646,0.004754268929873993,[0.01262116 0.01097471 0.01145391 0.00930356 0.00429943],[0.0073237  0.01087535 0.01099262],inf,0.009747087096118498,0.009714022389696793,1.0,0.001104837467580519,0.09291995318160207,0,adam
16,16,0.009341611990182193,0.004600360503619246,[0.01209656 0.01076884 0.01110525 0.00859604 0.00414138],[0.00700922 0.01050892 0.0105067 ],inf,0.009367584860682785,0.009315639119681602,1.0,0.00103371691712889,0.08920582348104089,0,adam
17,17,0.008930395564126182,0.004458612845643295,[0.01154227 0.01050774 0.01072043 0.00790856 0.00397298],[0.00668414 0.01010694 0.0100001 ],inf,0.008957735997757512,0.008903055130494856,1.0,0.0009593331265506547,0.0852789958677973,0,adam
18,18,0.008501806374465935,0.00432106763764839,[0.01096463 0.01019534 0.01030454 0.0072489  0.00379562],[0.00635177 0.00967531 0.00947834],inf,0.00852473622223977,0.008478876526692101,1.0,0.000882559892023904,0.08118627058238626,0,adam
19,19,0.008060439539267406,0.004181024045461518,[0.01037023 0.00983633 0.00986177 0.00662306 0.00361081],[0.00601491 0.00921951 0.0089469 ],inf,0.008075207516525093,0.008045671562009717,1.0,0.0008045140119458294,0.07697152777006622,0,adam
20,20,0.0076400179697288,0.00397718098342501,[0.00976567 0.00943589 0.00939572 0.00618268 0.00342013],[0.00576431 0.00874467 0.00841107],inf,0.007615131869929142,0.007664904069528456,1.0,0.0007264269794481822,0.07295679751159456,0,adam
21,21,0.007218226555561044,0.003757074065083844,[0.00915727 0.00899953 0.00890982 0.00579928 0.00322522],[0.00552329 0.00825564 0.00787575],inf,0.0071498429575370575,0.007286610153585025,1.0,0.0006495379827003766,0.0689289862004836,0,adam
22,22,0.006787458796021508,0.0035396139705635783,[0.00855097 0.00853293 0.00840745 0.00541823 0.00302772],[0.00526    0.00775698 0.00734539],inf,0.006684053299992053,0.006890864292050964,1.0,0.0005750105150120286,0.06481545710516334,0,adam
23,23,0.006351451132355276,0.0033224210981878644,[0.00795214 0.00804188 0.00789207 0.00504199 0.00282918],[0.00497739 0.00725304 0.00682392],inf,0.006221897007949392,0.0064810052567611616,1.0,0.0005038713366286937,0.06065189061125742,0,adam
24,24,0.005913725725550436,0.00310403283320137,[0.00736553 0.00753209 0.0073673  0.00467262 0.00263109],[0.00467857 0.00674789 0.00631472],inf,0.005766973754172979,0.006060477696927893,1.0,0.0004369697790483829,0.056471920878663484,0,adam
25,25,0.005477562923012939,0.002883881213441652,[0.00679521 0.00700917 0.00683686 0.00431176 0.00243482],[0.00436672 0.00624535 0.00582062],inf,0.0053223862437574215,0.005632739602268458,1.0,0.00037495541351887935,0.052306872917663894,0,adam
26,26,0.0050459754076571705,0.002662220742449192,[0.00624457 0.00647848 0.0063045  0.00396073 0.0022416 ],[0.00404506 0.00574892 0.00534394],inf,0.004890769367560251,0.005201181447754089,1.0,0.0003182719905007172,0.048185515730926554,0,adam
27,27,0.0046216856579034465,0.002440038520755631,[0.00571633 0.00594504 0.00577391 0.00362061 0.00205253],[0.00371675 0.0052618  0.00488651],inf,0.00447431322207874,0.004769058093728155,1.0,0.00026716511309841023,0.04413384707233492,0,adam
