,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.0157079566715171,1.6355538651089588e-16,[0.01570796 0.01570796 0.01570796],[0.01570796],0.0157079566715171,inf,inf,1.0,0.00022499559231491968,0.014999993700871794,0,adam
1,1,0.015510818274912052,1.643690542684577e-16,[0.01551082 0.01551082 0.01551082],[0.01551082],0.015510818274912052,inf,inf,1.0,0.00021938364276819373,0.014811740399113926,0,adam
2,2,0.015106005416018156,2.9643644524032203e-16,[0.01510601 0.01510601 0.01510601],[0.01510601],0.015106005416018156,inf,inf,1.0,0.00020808199608996853,0.014425172593993452,0,adam
3,3,0.01441991112308496,2.1775213889973312e-16,[0.01441991 0.01441991 0.01441991],[0.01441991],0.01441991112308496,inf,inf,1.0,0.00018960992610327196,0.013770000805108706,0,adam
4,4,0.013378432165261292,6.133173666733497e-17,[0.01337843 0.01337843 0.01337843],[0.01337843],0.013378432165261292,inf,inf,1.0,0.0001632102007682337,0.0127754616595257,0,adam
5,5,0.011933102170422394,2.1775213889973312e-16,[0.0119331 0.0119331 0.0119331],[0.0119331],0.011933102170422394,inf,inf,1.0,0.00012985084574314884,0.01139527318106004,0,adam
6,6,0.010095485032335576,1.643690542684577e-16,[0.01009549 0.01009549 0.01009549],[0.01009549],0.010095485032335576,inf,inf,1.0,9.293809771169237e-05,0.00964047807483892,0,adam
7,7,0.007957703990446575,4.170558093378777e-17,[0.0079577 0.0079577 0.0079577],[0.0079577],0.007957703990446575,inf,inf,1.0,5.774524585653542e-05,0.007599047554450067,0,adam
8,8,0.005675386797446213,3.1900797498964803e-16,[0.00567539 0.00567539 0.00567539],[0.00567539],0.005675386797446213,inf,inf,1.0,2.9371939985722825e-05,0.005419595176632264,0,adam
9,9,0.0034182290240191166,3.1900787672714895e-16,[0.00341823 0.00341823 0.00341823],[0.00341823],0.0034182290240191166,inf,inf,1.0,1.0654785065545758e-05,0.003264168274756951,0,adam
10,10,0.0013226035616197439,3.190638077602266e-16,[0.0013226 0.0013226 0.0013226],[0.0013226],0.0013226035616197439,inf,inf,1.0,1.5951520342972614e-06,0.0012629933674963567,0,adam
11,11,0.0005275411183303143,6.168951571734544e-17,[0.00052754 0.00052754 0.00052754],[0.00052754],0.0005275411183303143,inf,inf,1.0,2.5377882729688226e-07,0.0005037646599990175,0,adam
12,12,0.002093805960047718,3.0282996553684483e-16,[0.00209381 0.00209381 0.00209381],[0.00209381],0.002093805960047718,inf,inf,1.0,3.99774862667852e-06,0.001999437410501237,0,adam
13,13,0.003366396640652903,2.0242880132161214e-16,[0.0033664 0.0033664 0.0033664],[0.0033664],0.003366396640652903,inf,inf,1.0,1.0334107133418105e-05,0.003214671994607121,0,adam
14,14,0.004348800732273603,2.9632052663222367e-16,[0.0043488 0.0043488 0.0043488],[0.0043488],0.004348800732273603,inf,inf,1.0,1.7245713075200634e-05,0.0041527987983780434,0,adam
15,15,0.005048000840431448,3.2914711376216104e-16,[0.005048 0.005048 0.005048],[0.005048],0.005048000840431448,inf,inf,1.0,2.323703756951609e-05,0.004820485718920242,0,adam
16,16,0.005469975882917716,2.0852790466893886e-17,[0.00546998 0.00546998 0.00546998],[0.00546998],0.005469975882917716,inf,inf,1.0,2.728428640304553e-05,0.005223442202158868,0,adam
17,17,0.005619260496841682,1.754873796842794e-16,[0.00561926 0.00561926 0.00561926],[0.00561926],0.005619260496841682,inf,inf,1.0,2.879387089228862e-05,0.0053659985075602545,0,adam
18,18,0.0055015059718472115,8.218452713422885e-17,[0.00550151 0.00550151 0.00550151],[0.00550151],0.0055015059718472115,inf,inf,1.0,2.7599736933884715e-05,0.005253551219214447,0,adam
19,19,0.005128067510816326,1.5516080890877366e-16,[0.00512807 0.00512807 0.00512807],[0.00512807],0.005128067510816326,inf,inf,1.0,2.398001024028938e-05,0.004896943757132011,0,adam
20,20,0.004521227402760381,1.4821737666195362e-16,[0.00452123 0.00452123 0.00452123],[0.00452123],0.004521227402760381,inf,inf,1.0,1.8640381295191392e-05,0.0043174541399508826,0,adam
21,21,0.003718021098962568,1.4399881129881978e-16,[0.00371802 0.00371802 0.00371802],[0.00371802],0.003718021098962568,inf,inf,1.0,1.260567215080762e-05,0.003550448618518942,0,adam
22,22,0.002770561686310596,3.1900797498964803e-16,[0.00277056 0.00277056 0.00277056],[0.00277056],0.002770561686310596,inf,inf,1.0,6.999679563044579e-06,0.002645691525104077,0,adam
23,23,0.0017419632384049726,6.163839535067164e-17,[0.00174196 0.00174196 0.00174196],[0.00174196],0.0017419632384049726,inf,inf,1.0,2.767073117458521e-06,0.0016634523604590612,0,adam
24,24,0.000699082124918364,2.0546131783557212e-17,[0.00069908 0.00069908 0.00069908],[0.00069908],0.000699082124918364,inf,inf,1.0,4.4565536918462657e-07,0.0006675742548476471,0,adam
25,25,0.0002951692461043564,1.5517066683259756e-16,[0.00029517 0.00029517 0.00029517],[0.00029517],0.0002951692461043564,inf,inf,1.0,7.944836667758177e-08,0.00028186586739709085,0,adam
26,26,0.001187411343573864,1.756479798084165e-16,[0.00118741 0.00118741 0.00118741],[0.00118741],0.001187411343573864,inf,inf,1.0,1.2857161659529052e-06,0.0011338943088790021,0,adam
27,27,0.0019363595015440879,1.643690542684577e-16,[0.00193636 0.00193636 0.00193636],[0.00193636],0.0019363595015440879,inf,inf,1.0,3.419122194429858e-06,0.0018490871176424228,0,adam
28,28,0.0025130086933134155,1.8830840827337794e-16,[0.00251301 0.00251301 0.00251301],[0.00251301],0.0025130086933134155,inf,inf,1.0,5.758780661137238e-06,0.0023997465334424373,0,adam
