,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.007853979260123298,0.007853979155487243,[0.00785398 0.00785398 0.00785398],[1.57079584e-02 1.04636055e-10],0.007853979260123297,inf,inf,1.0,0.0002249956432767768,0.014999995466278282,0,adam
1,1,0.007842599064602928,0.00784259899295711,[0.0078426 0.0078426 0.0078426],[1.56851981e-02 7.16458182e-11],0.007842599064602928,inf,inf,1.0,0.00022434410508848234,0.01497826089383314,0,adam
2,2,0.0078424710912411,0.007842471042664972,[0.00784247 0.00784247 0.00784247],[1.56849421e-02 4.85761259e-11],0.0078424710912411,inf,inf,1.0,0.00022433678305936995,0.014978016482715573,0,adam
3,3,0.007855025860622025,0.007855025841073336,[0.00785503 0.00785503 0.00785503],[1.57100517e-02 1.95486891e-11],0.007855025860622025,inf,inf,1.0,0.000225055612642797,0.01500199432599203,0,adam
4,4,0.007879201570979162,0.007879201508689085,[0.0078792 0.0078792 0.0078792],[1.57584031e-02 6.22900760e-11],0.00787920157097916,inf,inf,1.0,0.0002264430427980797,0.015048166531665075,0,adam
5,5,0.007913256893021811,0.007913256851487227,[0.00791326 0.00791326 0.00791326],[1.58265137e-02 4.15345844e-11],0.00791325689302181,inf,inf,1.0,0.00022840469056539174,0.015113207405765383,0,adam
6,6,0.00795541003083161,0.007955409965872035,[0.00795541 0.00795541 0.00795541],[1.59108200e-02 6.49595743e-11],0.00795541003083161,inf,inf,1.0,0.00023084450167610665,0.01519371396875635,0,adam
7,7,0.008004041674071927,0.008004041577245094,[0.00800404 0.00800404 0.00800404],[1.60080833e-02 9.68268336e-11],0.008004041674071927,inf,inf,1.0,0.00023367538995528955,0.015286593565704942,0,adam
8,8,0.008057738078366803,0.008057737990797122,[0.00805774 0.00805774 0.00805774],[1.61154761e-02 8.75696819e-11],0.008057738078366803,inf,inf,1.0,0.00023682114415568564,0.015389146143742316,0,adam
9,9,0.008115278405003385,0.008115278299463506,[0.00811528 0.00811528 0.00811528],[1.62305567e-02 1.05539878e-10],0.008115278405003383,inf,inf,1.0,0.0002402154337916633,0.015499040072678438,0,adam
10,10,0.00817560574612177,0.008175605686097877,[0.00817561 0.00817561 0.00817561],[1.63512114e-02 6.00238916e-11],0.00817560574612177,inf,inf,1.0,0.0002438000615239337,0.015614256807189308,0,adam
11,11,0.008237796967867911,0.00823779693042843,[0.0082378 0.0082378 0.0082378],[1.64755939e-02 3.74394780e-11],0.00823779696786791,inf,inf,1.0,0.0002475232297307339,0.015733033291483345,0,adam
12,12,0.00830103566359028,0.008301035580829669,[0.00830104 0.00830104 0.00830104],[1.66020712e-02 8.27606088e-11],0.008301035663590278,inf,inf,1.0,0.0002513380342870644,0.015853810303710025,0,adam
13,13,0.008364589686048375,0.008364589584175759,[0.00836459 0.00836459 0.00836459],[1.67291793e-02 1.01872617e-10],0.008364589686048375,inf,inf,1.0,0.00025520125086762836,0.015975189545641033,0,adam
14,14,0.008427793125579964,0.00842779305828224,[0.00842779 0.00842779 0.00842779],[1.68555862e-02 6.72977251e-11],0.008427793125579964,inf,inf,1.0,0.00025907237652514424,0.016095899223503407,0,adam
15,15,0.008490031875684563,0.00849003180110975,[0.00849003 0.00849003 0.00849003],[1.69800637e-02 7.45748139e-11],0.008490031875684563,inf,inf,1.0,0.0002629128898243853,0.016214766480275422,0,adam
16,16,0.008550732017930452,0.008550731950451359,[0.00855073 0.00855073 0.00855073],[1.71014640e-02 6.74790943e-11],0.008550732017930452,inf,inf,1.0,0.00026668567792106993,0.016330695212493307,0,adam
