,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.010995553539364992,0.007198279480356279,[0.01570793 0.00785398 0.00785395 0.01570793 0.00785398],[0.00942476 0.01256634],0.010995553539364992,inf,inf,0.9,0.0012248703305327154,0.03499993395643042,0,adam
1,1,0.010905710731922345,0.007140368001534874,[0.01555998 0.00784861 0.00771137 0.01555998 0.00784861],[0.00936344 0.01244798],0.010905710731922345,inf,inf,1.0,0.001204937691601402,0.034713955418315345,0,adam
2,2,0.010902977500921372,0.007138331373378078,[0.01555897 0.00783797 0.007721   0.01555897 0.00783797],[0.00935878 0.01244718],0.01090297750092137,inf,inf,1.0,0.0012043338558727955,0.034705255273827174,0,adam
3,3,0.01092199509038004,0.007150221505526061,[0.01559641 0.00782073 0.00777568 0.01559641 0.00782073],[0.00936686 0.01247713],0.01092199509038004,inf,inf,1.0,0.001208538430763179,0.03476579014118797,0,adam
4,4,0.010938558987162592,0.007161049437586054,[0.01563241 0.00779556 0.00783685 0.01563241 0.00779556],[0.00937119 0.01250593],0.010938558987162592,inf,inf,1.0,0.0012122064897706229,0.03481851466218422,0,adam
5,5,0.010936752820619232,0.007160459770602036,[0.01564089 0.00776111 0.00787978 0.01564089 0.00776111],[0.0093608  0.01251271],0.01093675282061923,inf,inf,1.0,0.0012118062458338077,0.034812765455515704,0,adam
6,6,0.010900826165738823,0.007137555213475219,[0.01559601 0.00771609 0.00787992 0.01559601 0.00771609],[0.00932484 0.01247681],0.010900826165738824,inf,inf,1.0,0.0012038586810241459,0.034698407361255956,0,adam
7,7,0.010811478409118115,0.00707882525017782,[0.01546601 0.00765935 0.00780667 0.01546601 0.00765935],[0.00925015 0.01237281],0.010811478409118114,inf,inf,1.0,0.001184206833050884,0.034414004618848804,0,adam
8,8,0.010643314895512141,0.00696772696617985,[0.0152089  0.00758988 0.00761902 0.0152089  0.00758988],[0.00911951 0.01216712],0.010643314895512141,inf,inf,1.0,0.0011476581308696879,0.03387872353008681,0,adam
9,9,0.010363639477497119,0.006787588731467892,[0.01477042 0.00750693 0.00726349 0.01477042 0.00750693],[0.00891094 0.01181634],0.010363639477497119,inf,inf,1.0,0.0010881417224670633,0.03298848902531937,0,adam
10,10,0.00993493030332589,0.006532123350080716,[0.01408819 0.00741009 0.0066781  0.01408819 0.00741009],[0.00859931 0.01127055],0.00993493030332589,inf,inf,1.0,0.000999985516777746,0.031623865340955515,0,adam
11,11,0.00932507742698718,0.006228126047130933,[0.01310869 0.00729932 0.00580937 0.01310869 0.00729932],[0.0081632  0.01048695],0.00932507742698718,inf,inf,1.0,0.0008809946287874275,0.0296826433443933,0,adam
12,12,0.008526947093926809,0.005962379280148502,[0.01181993 0.00717494 0.00464499 0.01181993 0.00717494],[0.00759795 0.00945594],0.008526947093926809,inf,inf,1.0,0.000736649213053529,0.027142115589630533,0,adam
13,13,0.007577128329223396,0.005870983467182673,[0.01028268 0.00703761 0.00324506 0.01028268 0.00703761],[0.00692812 0.00822614],0.007577128329223396,inf,inf,1.0,0.0005816858333107789,0.02411874856075058,0,adam
14,14,0.00655267265844323,0.006049506202169101,[0.00862509 0.0068881  0.00173699 0.00862509 0.0068881 ],[0.00620528 0.00690007],0.006552672658443229,inf,inf,1.0,0.00043503225233837135,0.020857804881087016,0,adam
15,15,0.005540168295328459,0.006465046793081976,[0.00699124 0.00672712 0.00026412 0.00699124 0.00672712],[0.00548734 0.00559299],0.005540168295328459,inf,inf,1.0,0.0003109817582339753,0.017634903395250534,0,adam
