,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.00981741007830477,0.0076045331424636755,[0.00785389 0.00785398 0.01570787 0.00785389],[0.00785394 0.01178088],0.00981741007830477,inf,inf,0.875,0.0006249589231271213,0.024999829477158286,0,adam
1,1,0.009486675396312122,0.007355114451724728,[0.00742645 0.00783368 0.01526013 0.00742645],[0.00763006 0.01134329],0.009486675396312122,inf,inf,1.0,0.0005835622482134116,0.02415762052530135,0,adam
2,2,0.00855805162473,0.006741785949691313,[0.0062124 0.0077975 0.0140099 0.0062124],[0.00700495 0.01011115],0.00855805162473,inf,inf,1.0,0.00047491167264045517,0.021792899508982444,0,adam
3,3,0.006882871896722902,0.006063678482598561,[0.00401465 0.00774377 0.01175842 0.00401465],[0.00587921 0.00788653],0.006882871896722903,inf,inf,1.0,0.0003071909971822557,0.01752708936050773,0,adam
4,4,0.005000883867284381,0.006120040401528557,[0.00155396 0.00767082 0.00922479 0.00155396],[0.00461239 0.00538937],0.005000883867284381,inf,inf,1.0,0.00016216902208456474,0.012734646196909338,0,adam
5,5,0.004083566135337448,0.006400430637726269,[0.00039352 0.00757686 0.00797037 0.00039352],[0.00398519 0.00418195],0.004083566135337449,inf,inf,1.0,0.00010813231530211997,0.010398715774106115,0,adam
6,6,0.005005393051639103,0.005910605671888168,[0.00170053 0.00746    0.00916052 0.00170053],[0.00458026 0.00543052],0.005005393051639103,inf,inf,1.0,0.0001624615983234078,0.01274612874057901,0,adam
7,7,0.005524910597021867,0.005684808254127911,[0.00248759 0.00731844 0.00980603 0.00248759],[0.00490301 0.00614681],0.005524910597021867,inf,inf,1.0,0.00019793544616487674,0.014069069306509308,0,adam
8,8,0.005725479278183721,0.005538839225171194,[0.0028669  0.00715061 0.01001751 0.0028669 ],[0.00500875 0.0064422 ],0.00572547927818372,inf,inf,1.0,0.00021256718915407694,0.014579813259090413,0,adam
9,9,0.00566637289099039,0.005389146766854461,[0.00291831 0.00695528 0.00987359 0.00291831],[0.00493679 0.00639595],0.005666372890990389,inf,inf,1.0,0.00020820108834667612,0.014429300080048613,0,adam
10,10,0.005403251860217248,0.005214379163024871,[0.00271656 0.00673167 0.00944823 0.00271656],[0.00472411 0.00608239],0.005403251860217248,inf,inf,1.0,0.00018931446570215045,0.013759267877184733,0,adam
11,11,0.0050007471509830185,0.005024556789849215,[0.00234799 0.00647951 0.0088275  0.00234799],[0.00441375 0.00558774],0.0050007471509830185,inf,inf,1.0,0.00016216015544646536,0.012734298051706672,0,adam
12,12,0.0045283606992190025,0.004833892475570656,[0.0019051  0.00619907 0.00810417 0.0019051 ],[0.00405209 0.00500464],0.004528360699219002,inf,inf,1.0,0.0001329711550179935,0.011531375830140522,0,adam
13,13,0.004047937580215205,0.004643339045731299,[0.0014698  0.00589117 0.00736097 0.0014698 ],[0.00368049 0.00441539],0.004047937580215205,inf,inf,1.0,0.00010625368408796814,0.010307988403499113,0,adam
14,14,0.003604818936956932,0.004439451009458096,[0.00110158 0.00555727 0.00665885 0.00110158],[0.00332942 0.00388021],0.003604818936956932,inf,inf,1.0,8.426439182234462e-05,0.00917959604428753,0,adam
15,15,0.0032268086406892606,0.004203621448313143,[0.00083613 0.00519943 0.00603555 0.00083613],[0.00301778 0.00343584],0.0032268086406892606,inf,inf,1.0,6.751872107899052e-05,0.008217000729237256,0,adam
16,16,0.0029279418093031886,0.003921485048086131,[0.00069034 0.00482038 0.00551071 0.00069034],[0.00275536 0.00310053],0.0029279418093031886,inf,inf,1.0,5.559082241359558e-05,0.007455942592576648,0,adam
