,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.00589048488134772,0.007604583145770028,[0.00785398 0.00392699],[1.17809697e-02 1.07272513e-10],0.007853981010548253,inf,0.003926988752147186,1.0,0.000124671470114808,0.014999996577192976,0,adam
1,1,0.005895612473653812,0.007611203073969256,[0.00786132 0.00392991],[1.17912249e-02 5.47537150e-11],0.007859917047630675,inf,0.003931307899676951,1.0,0.00012481751721639427,0.015013053883779826,0,adam
2,2,0.005903811612873764,0.0076217891331464335,[0.00787309 0.00393453],[1.18076232e-02 1.43357281e-11],0.007869358945172437,inf,0.003938264280575091,1.0,0.00012508116742305467,0.015033932820355034,0,adam
3,3,0.005914787224748143,0.007635961284654944,[0.00788888 0.0039407 ],[1.18295744e-02 3.78783173e-11],0.00788196364105029,inf,0.003947610808445996,1.0,0.00012545076318239834,0.015061881986487169,0,adam
4,4,0.00592823126319148,0.007653323075625802,[0.00790824 0.00394822],[1.18564625e-02 1.49480234e-11],0.007897387042668368,inf,0.003959075483714594,1.0,0.00012591437035289682,0.015096116949261384,0,adam
5,5,0.005943830902627221,0.0076734716258922125,[0.00793073 0.00395693],[1.18876618e-02 2.55386963e-11],0.007915286191751298,inf,0.003972375613503144,1.0,0.00012645996239114975,0.01513584110488786,0,adam
6,6,0.005961273420757616,0.0076960042926879964,[0.0079559  0.00396665],[1.19225468e-02 1.45846965e-11],0.007935320408463347,inf,0.003987226433051886,1.0,0.00012707552021551808,0.01518025811257484,0,adam
7,7,0.005980249695716968,0.007720522582059807,[0.00798329 0.00397721],[1.19604994e-02 2.47116791e-11],0.007957152630516488,inf,0.00400334676091745,1.0,0.00012774910144487268,0.015228580799954594,0,adam
8,8,0.006000456018202488,0.0077466348538176985,[0.00801247 0.00398844],[1.20009120e-02 3.28720052e-11],0.007980450127458492,inf,0.0040204619089464835,1.0,0.0001284688739436743,0.015280035777639256,0,adam
9,9,0.006021595391118973,0.00777395778660342,[0.00804301 0.00400018],[1.20431907e-02 3.63095612e-11],0.008004885307586598,inf,0.0040383054746513485,1.0,0.0001292231386097087,0.015333866748735492,0,adam
10,10,0.006043378228931858,0.007802117255020322,[0.0080745  0.00401226],[1.20867564e-02 3.18582999e-11],0.008030136284638778,inf,0.004056620173224937,1.0,0.0001300003439258087,0.015389336289735267,0,adam
11,11,0.006065522680572285,0.007830748834903221,[0.00810653 0.00402451],[1.21310453e-02 3.49458264e-11],0.008055887399817416,inf,0.0040751579613271536,1.0,0.00013078909505688508,0.015445726672785431,0,adam
12,12,0.0060877547808887884,0.007859498037295591,[0.00813872 0.00403679],[1.21755095e-02 4.77433173e-11],0.008081829614320071,inf,0.004093679947457503,1.0,0.00013157816959390544,0.015502340251356328,0,adam
13,13,0.006109808496581326,0.007888020392439542,[0.00817068 0.00404894],[1.22196169e-02 6.30179579e-11],0.008107660907884413,inf,0.004111956085278241,1.0,0.00013235652472453854,0.01555849957721267,0,adam
14,14,0.0061314257313059475,0.007915981448031333,[0.00820205 0.0040608 ],[1.22628514e-02 5.29631741e-11],0.008133086612563121,inf,0.004129764850048775,1.0,0.00013311331537883952,0.0156135474134107,0,adam
15,15,0.006152356242379996,0.007943056794275606,[0.00823247 0.00407224],[1.23047124e-02 5.01649008e-11],0.008157819840686916,inf,0.0041468926440730745,1.0,0.0001338379142235045,0.015666846522192746,0,adam
16,16,0.006172357633957482,0.007968932038059528,[0.00826161 0.00408311],[1.23447152e-02 4.79003150e-11],0.008181581695115282,inf,0.004163133572799682,1.0,0.00013451993321880878,0.015717779647605123,0,adam
17,17,0.006191195325632351,0.007993302837557078,[0.00828912 0.00409327],[1.23823906e-02 3.67445202e-11],0.008204101668567932,inf,0.004178288982696771,1.0,0.0001351492500150934,0.015765749435549203,0,adam
18,18,0.006208642570551574,0.00801587496171538,[0.0083147  0.00410258],[1.24172851e-02 3.69655857e-11],0.008225117949614374,inf,0.004192167191488775,1.0,0.00013571603971882428,0.015810178479904957,0,adam
19,19,0.006224480485569069,0.00803636441813416,[0.00833803 0.00411093],[1.24489609e-02 3.34093114e-11],0.008244377734345672,inf,0.0042045832367924646,1.0,0.00013621080789024038,0.015850509399317758,0,adam
20,20,0.006238498139747528,0.008054497623061119,[0.00835881 0.00411818],[1.24769963e-02 1.26838518e-11],0.008261637606386766,inf,0.00421535867310829,1.0,0.00013662442637158006,0.01588620506256655,0,adam
21,21,0.006250492756186514,0.008070011577234052,[0.00837676 0.00412422],[1.25009855e-02 2.02628374e-11],0.008276663889998004,inf,0.0042243216223750235,1.0,0.00013694817249988982,0.015916749102514727,0,adam
22,22,0.006260269787230964,0.008082654237385906,[0.0083916  0.00412894],[1.25205396e-02 1.24782855e-11],0.00828923294731277,inf,0.004231306627149158,1.0,0.00013717377207433058,0.015941646107626717,0,adam
23,23,0.0062676432642357095,0.00809218477484519,[0.00840308 0.00413221],[1.25352865e-02 8.33637630e-12],0.008299131665625507,inf,0.0042361548628459126,1.0,0.00013729344032989755,0.01596042251263574,0,adam
24,24,0.006272435951909024,0.008098374085818275,[0.00841092 0.00413395],[1.25448719e-02 9.11826922e-12],0.008306157781873168,inf,0.00423871412194488,1.0,0.0001372999278858354,0.01597262699157831,0,adam
25,25,0.006274479778097277,0.008101005187655892,[0.00841491 0.00413405],[1.25489595e-02 1.18142172e-11],0.008310120320777346,inf,0.004238839235417205,1.0,0.00013718656491755221,0.015977831552229205,0,adam
26,26,0.0062736161251379634,0.008099873818999315,[0.00841481 0.00413242],[1.25472322e-02 1.72208275e-11],0.008310840011798371,inf,0.004236392238477557,1.0,0.00013694730600675618,0.01597563227802734,0,adam
27,27,0.006269696262582937,0.008094789022535286,[0.00841041 0.00412898],[1.25393925e-02 2.07990754e-11],0.008308149732680474,inf,0.004231242792485401,1.0,0.00013657677513679445,0.01596565042999787,0,adam
