,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.00959929826494181,0.007657590937327933,[0.01570793 0.01047197 0.00261799],[0.01308997 0.00785396 0.00785397],0.01221729875869729,inf,0.006981297771186336,1.0,0.0007565057085800603,0.05499992768684203,0,adam
1,1,0.00958368884650649,0.007645151610337424,[0.01567504 0.01045858 0.00261745],[0.01307478 0.00783294 0.00784335],0.012203447788360562,inf,0.006963929904652416,1.0,0.0007550134526957531,0.05491049230714262,0,adam
2,2,0.00955408131884216,0.0076216285968253835,[0.01561275 0.01043346 0.00261604],[0.01304634 0.00779228 0.00782362],0.012177520900946226,inf,0.0069306417367380945,1.0,0.0007511382395990389,0.054740853669444034,0,adam
3,3,0.009507427747358776,0.007584769529896139,[0.01551453 0.0103944  0.00261335],[0.01300221 0.00772676 0.00779332],0.012137330479926458,inf,0.0068775250147910935,1.0,0.0007443713193395802,0.05447354839492258,0,adam
4,4,0.009440409972190622,0.007532324082396799,[0.01537309 0.01033915 0.00260899],[0.01293993 0.00763027 0.00775102],0.012080690291514555,inf,0.006800129652866689,1.0,0.00073420015091709,0.054089564827974,0,adam
5,5,0.009349516828130138,0.007462294912465182,[0.01518052 0.01026549 0.00260254],[0.01285713 0.00749595 0.00769547],0.012005469486302968,inf,0.006693564169957312,1.0,0.0007201568698600847,0.05356878547383914,0,adam
6,6,0.009231220099975292,0.007373374045451996,[0.01492879 0.01017128 0.0025936 ],[0.01275153 0.00731656 0.00762557],0.011909657221641563,inf,0.006552782978309016,1.0,0.0007019044492071804,0.05289099514849216,0,adam
7,7,0.009082297178296886,0.007265586003854077,[0.01461057 0.01005457 0.00258175],[0.01262108 0.00708531 0.0075405 ],0.011791436437059228,inf,0.006373157919534543,1.0,0.0006793738427706767,0.05203772965999898,0,adam
8,8,0.008900322658898462,0.007141029165567592,[0.01422062 0.00991373 0.00256662],[0.01246404 0.0067972  0.00743973],0.011649263293384282,inf,0.0061513820244126416,1.0,0.000652952126794241,0.050995092465953684,0,adam
9,9,0.008684271318874498,0.007004376171430064,[0.01375749 0.0097475  0.00254782],[0.01227905 0.00645069 0.00732307],0.011481946944807064,inf,0.0058865956929419335,1.0,0.0006236824660911882,0.04975720947180173,0,adam
10,10,0.008435049252447247,0.006862599358923303,[0.01322497 0.00955514 0.00252504],[0.01206528 0.0060492  0.00719067],0.011288722532431844,inf,0.005581375972462647,1.0,0.0005933538590735164,0.04832927221502059,0,adam
11,11,0.008155683104302744,0.006723543663625011,[0.01263259 0.0093365  0.00249797],[0.01182241 0.00560163 0.007043  ],0.011069309645410016,inf,0.0052420565631954704,1.0,0.0005642329679330026,0.046728622092270244,0,adam
12,12,0.007850977337562801,0.006593663619309176,[0.01199452 0.00909206 0.00246635],[0.01155077 0.00512131 0.00688085],0.010823948929815625,inf,0.004878005745309977,1.0,0.0005382086563785424,0.04498278664952049,0,adam
13,13,0.0075267151996517255,0.006476026643690335,[0.01132716 0.008823   0.00242999],[0.01125126 0.00462366 0.00670522],0.010553411704884882,inf,0.004500018694418569,1.0,0.0005157607055553531,0.04312490145370096,0,adam
14,14,0.007188737691815282,0.006369692851345857,[0.01064638 0.0085311  0.00238874],[0.01092542 0.00412352 0.00651727],0.010258980762263153,inf,0.004118494621367413,1.0,0.0004958644530026993,0.041188432976763556,0,adam
15,15,0.00691899579981561,0.00618587245079823,[0.01019573 0.00821873 0.00234253],[0.0105753  0.0038634  0.00631829],0.00994240400881062,inf,0.003895587590820599,1.0,0.00047692490210916026,0.03964292577981787,0,adam
16,16,0.006748686194669028,0.005891334842332663,[0.01006598 0.00788873 0.00229135],[0.01020345 0.00393303 0.00610958],0.00960582566855197,inf,0.0038915467207860863,1.0,0.0004576273219094949,0.03866712362127389,0,adam
17,17,0.00655751617583385,0.005619685796433242,[0.009893   0.00754429 0.00223525],[0.00981277 0.00396731 0.00589246],0.009251701686020858,inf,0.003863330665646843,1.0,0.0004372063332067269,0.037571800096404706,0,adam
18,18,0.006347403653328922,0.0053684470736642615,[0.00967902 0.00718884 0.00217435],[0.00940647 0.00396752 0.00566822],0.008882706980246343,inf,0.0038121003264115,1.0,0.0004153740941221276,0.03636794402016652,0,adam
19,19,0.006120806173610476,0.005134384594929775,[0.00942773 0.00682585 0.00210884],[0.00898788 0.00393643 0.00543811],0.00850164198067357,inf,0.003739970366547384,1.0,0.0003921653030638253,0.03506963609655034,0,adam
20,20,0.005880419855384493,0.00491411564202372,[0.00914354 0.00645877 0.00203895],[0.0085604  0.00387754 0.00520332],0.00811134501887049,inf,0.003649494691898495,1.0,0.00036780110296522625,0.0336923239478466,0,adam
21,21,0.005628963215623533,0.004704407123580004,[0.00883099 0.0060909  0.001965  ],[0.00812739 0.00379452 0.00496498],0.00771461535335875,inf,0.003543311077888315,1.0,0.00034259295655756494,0.032251583528961625,0,adam
22,22,0.005369038054182275,0.00450228826494025,[0.00849451 0.00572529 0.00188732],[0.00769204 0.00369089 0.00472419],0.007314149821376707,inf,0.003423926286987842,1.0,0.00031688190631673816,0.030762322054977753,0,adam
23,23,0.005103049986551284,0.0043050778335931884,[0.00813817 0.00536468 0.00180631],[0.00725738 0.0035698  0.00448196],0.006912494170840989,inf,0.003293605802261578,1.0,0.00029100353397556246,0.029238322687368035,0,adam
24,24,0.004833171365015475,0.004110386906013224,[0.00776565 0.00501148 0.00172239],[0.00682617 0.00343405 0.0042393 ],0.006512008636182261,inf,0.003154334093848689,1.0,0.0002652698605627721,0.027692032087886398,0,adam
25,25,0.004561332672636066,0.003916125944820871,[0.00738024 0.00466775 0.00163601],[0.00640089 0.003286   0.00399711],0.006114846311501495,inf,0.003007819033770637,1.0,0.00023996161302919104,0.026134511109717318,0,adam
26,26,0.004289231992584293,0.0037205246101096635,[0.00698489 0.00433517 0.00154764],[0.0059837  0.00312768 0.00375631],0.005722942246228542,inf,0.0028555217389400426,1.0,0.00021532631876129734,0.02457548905275675,0,adam
27,27,0.004018355040616242,0.0035221621585640292,[0.0065822  0.00401512 0.00145775],[0.0055765  0.00296085 0.00351772],0.005338011090043554,inf,0.0026986989911889276,1.0,0.00019157925944750896,0.023023478441243306,0,adam
28,28,0.003750000331737373,0.0033200022866760716,[0.00617457 0.0037086  0.00136683],[0.00518085 0.00278701 0.00328214],0.004961551169514829,inf,0.002538449493959919,1.0,0.00016890544418353496,0.02148591921812093,0,adam
29,29,0.0034853056046628395,0.003113426046141397,[0.00576418 0.00341638 0.00127536],[0.00479806 0.00260754 0.00305032],0.004594853170053201,inf,0.002375758039272477,1.0,0.00014746155239981834,0.019969330146047293,0,adam
30,30,0.0032252727828765773,0.00290225834174041,[0.00535309 0.00313893 0.0011838 ],[0.00442915 0.00242371 0.00282296],0.004239011908657051,inf,0.002211533657096103,1.0,0.00012737734533007177,0.01847945182372368,0,adam
31,31,0.002970789705688719,0.002686786519678025,[0.00494324 0.00287652 0.00109262],[0.00407493 0.00223674 0.0026007 ],0.003894940009787111,inf,0.002046639401590326,1.0,0.00010875642015831133,0.017021371195687474,0,adam
32,32,0.0027226476552446393,0.0024677733675689704,[0.00453649 0.00262921 0.00100224],[0.00373599 0.00204781 0.00238414],0.0035633825821661056,inf,0.001881912728323172,1.0,9.167642681451375e-05,0.015599621974670574,0,adam
33,33,0.0024815543746043644,0.0022464715913385045,[0.00413465 0.00239693 0.00091308],[0.00341272 0.00185811 0.00217383],0.003244932223999876,inf,0.0017181765252088522,1.0,7.618900906424866e-05,0.014218259229705765,0,adam
34,34,0.0022481428228610795,0.002024653148820177,[0.00373945 0.00217946 0.00082553],[0.00310537 0.0016688  0.00197026],0.0029400438712627796,inf,0.0015562417744593795,1.0,6.231979004999726e-05,0.01288090954925658,0,adam
35,35,0.002022976310172757,0.0018046760896958019,[0.00335252 0.00197647 0.00073994],[0.00281404 0.00148104 0.00177385],0.0026490491435750487,inf,0.0013969034767704648,1.0,5.006871691543337e-05,0.011590800462784934,0,adam
36,36,0.0018065509001833847,0.0015896259365977357,[0.00297544 0.00178756 0.00065665],[0.00253871 0.00129595 0.00158499],0.0023721699473444567,inf,0.001240931853022313,1.0,3.941103921443777e-05,0.010350774205606816,0,adam
37,37,0.0015992960535659738,0.0013835897689819905,[0.00260967 0.00161228 0.00057595],[0.00227928 0.00111459 0.00140402],0.002109531178281301,inf,0.0010890609288506468,1.0,3.0299172346388807e-05,0.00916329140612615,0,adam
38,38,0.001401574442994585,0.0011921410320585436,[0.00225652 0.0014501  0.0004981 ],[0.00203554 0.00093799 0.0012312 ],0.0018611724237264206,inf,0.0009419764622627497,1.0,2.2665813593608927e-05,0.008030430025699253,0,adam
