,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.012217289803757166,0.0065304160721736055,[0.01570793 0.01570796 0.00523598],[0.01047197 0.01308996 0.01308994],0.013962613073100785,inf,0.010471966534413547,1.0,0.0012215603707782217,0.06999991428435015,0,adam
1,1,0.012178129397256173,0.006510076045318845,[0.01563641 0.01570651 0.00519147],[0.01045213 0.01308165 0.01300061],0.01388425607627309,inf,0.01047200271823926,1.0,0.0012090510561775754,0.0697755416826975,0,adam
2,2,0.01210216534688756,0.006475340900894129,[0.01551381 0.01570181 0.00509087],[0.01044816 0.01307485 0.01278349],0.01373363645015082,inf,0.010470694243624297,1.0,0.0011946272713902356,0.06934029973461353,0,adam
3,3,0.011955591599563544,0.00642842294729931,[0.01529615 0.01569212 0.00487851],[0.01045455 0.01306768 0.01234455],0.01344411774850438,inf,0.010467065450622707,1.0,0.0011770295296653543,0.06850049402370528,0,adam
4,4,0.011695751743130471,0.006411491753972625,[0.01494294 0.01567597 0.00446834],[0.01046681 0.01305787 0.01156257],0.012931182886217666,inf,0.010460320600043274,1.0,0.0011573775920118118,0.0670117213114152,0,adam
5,5,0.011300830320218657,0.006548856405740998,[0.01445659 0.01565252 0.00379338],[0.01048181 0.01304369 0.010377  ],0.012151625539224007,inf,0.010450035101213305,1.0,0.0011423559060977082,0.0647489882342005,0,adam
6,6,0.010823732910178038,0.006963061943918332,[0.01391007 0.01562168 0.00293945],[0.01049736 0.01302414 0.0089497 ],0.011211189629371319,inf,0.010436276190984754,1.0,0.0011415513680748132,0.06201542143300509,0,adam
7,7,0.010728971291490417,0.007044687487109203,[0.01340058 0.01558357 0.00320276],[0.01051185 0.0129987  0.00867636],0.011038615778677223,inf,0.010419326804303611,1.0,0.0011553223593292546,0.06147247735194217,0,adam
8,8,0.010866596066761445,0.00694656870083081,[0.0132373  0.01553771 0.00382478],[0.01052384 0.0129666  0.00910935],0.011334086205874339,inf,0.010399105927648554,1.0,0.0011742933439129633,0.062261009229888975,0,adam
9,9,0.011095431601455137,0.006737996841828247,[0.01354561 0.01548264 0.00425805],[0.0105319  0.01292649 0.0098279 ],0.011815917611110283,inf,0.010374945591799993,1.0,0.0011907327478019292,0.06357214026394575,0,adam
10,10,0.011240881131103758,0.006629538692309336,[0.01374566 0.01541635 0.00456063],[0.01053467 0.01287666 0.01031131],0.012135989667722702,inf,0.010345772594484817,1.0,0.0012013724820152587,0.06440550468204864,0,adam
11,11,0.011320019471260677,0.006576637456260817,[0.0138449  0.01533657 0.00477858],[0.01053082 0.01281535 0.01061389],0.012329700558937486,inf,0.01031033838358387,1.0,0.0012051153789085045,0.06485893397091491,0,adam
12,12,0.011343110491390791,0.006557586905024428,[0.01384797 0.01524105 0.0049403 ],[0.01051912 0.01274093 0.01076928],0.01241885393710914,inf,0.010267367045672443,1.0,0.0012015816887542615,0.06499123577072585,0,adam
13,13,0.011316014177171973,0.006563609086323261,[0.01375797 0.01512763 0.00506244],[0.01049842 0.01265204 0.01079759],0.012416390581716834,inf,0.010215637772627111,1.0,0.001190738927073997,0.0648359853262157,0,adam
14,14,0.011243010941896016,0.006593076084982628,[0.01357982 0.01499429 0.00515491],[0.01046765 0.01254765 0.01071373],0.012331989323170013,inf,0.010154032560622021,1.0,0.001172965718732695,0.06441770759900467,0,adam
15,15,0.01112894062335836,0.00664716355430079,[0.01332364 0.01483924 0.00522394],[0.01042587 0.01242713 0.01053382],0.012176314433224556,inf,0.01008156681349216,1.0,0.0011491566345199083,0.06376413281701265,0,adam
