,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.007853980847062483,0.007853980833982976,[0.00785398],[1.57079617e-02 1.30795069e-11],0.007853980770614204,0.007853980923510761,inf,0.75,4.999957335010749e-05,0.009999998998072579,0,adam
1,1,0.007851922792557652,0.007851922791207127,[0.00785192],[1.57038456e-02 1.37561534e-12],0.007851908756792212,0.007851936828323093,inf,1.0,4.9973373225103625e-05,0.009997378601691809,0,adam
2,2,0.007848359168695659,0.007848359155447111,[0.00784836],[1.56967183e-02 1.35371152e-11],0.007848311573865677,0.007848406763525639,inf,1.0,4.992802272238009e-05,0.00999284125486799,0,adam
3,3,0.007843194513385237,0.007843194499740289,[0.00784319],[1.56863890e-02 1.51478129e-11],0.007843085937133737,0.007843303089636738,inf,1.0,4.986233409899241e-05,0.009986265411491946,0,adam
4,4,0.007836337540368154,0.007836337532957907,[0.00783634],[1.56726751e-02 1.27683890e-11],0.007836132624096319,0.00783654245663999,inf,1.0,4.977518789516877e-05,0.00997753484228947,0,adam
5,5,0.007827701717872074,0.007827701720944151,[0.0078277],[1.56554034e-02 1.21001134e-11],0.007827357092664217,0.007828046343079934,inf,1.0,4.9665542522188266e-05,0.009966539371586203,0,adam
6,6,0.00781720579466422,0.00781720582200304,[0.00781721],[1.56344116e-02 9.37887839e-12],0.007816670038440918,0.00781774155088752,inf,1.0,4.953244307617725e-05,0.009953175547099402,0,adam
7,7,0.007804774302194004,0.007804774368657462,[0.00780477],[1.56095486e-02 1.27676914e-11],0.007803987923959591,0.007805560680428416,inf,1.0,4.937502968520222e-05,0.00993734727928608,0,adam
8,8,0.0077903379919628925,0.00779033813517251,[0.00779034],[1.55806760e-02 1.33962053e-11],0.007789233443906827,0.007791442540018958,inf,1.0,4.91925449026555e-05,0.009918966398219986,0,adam
9,9,0.0077738342574815,0.007773834533594969,[0.00777383],[1.55476685e-02 1.26567772e-11],0.007772335969125862,0.007775332545837139,inf,1.0,4.898434061192735e-05,0.009897953190842301,0,adam
10,10,0.007755207489452056,0.007755207981391398,[0.00775521],[1.55104150e-02 1.13125527e-11],0.00775323192832926,0.007757183050574852,inf,1.0,4.87498838048126e-05,0.009874236853196772,0,adam
11,11,0.007734409386483473,0.007734410210960176,[0.00773441],[1.54688188e-02 1.24482027e-11],0.007731865147574192,0.007736953625392755,inf,1.0,4.8488761409400624e-05,0.009847755886041698,0,adam
12,12,0.007711399203442056,0.007711400532747023,[0.0077114],[1.54227984e-02 8.63456725e-12],0.007708187130756478,0.0077146112761276335,inf,1.0,4.8200683942978586e-05,0.009818458411061659,0,adam
13,13,0.0076861439600164,0.007686146024645574,[0.00768614],[1.53722879e-02 3.20116571e-12],0.007682157275121789,0.00769013064491101,inf,1.0,4.788548840489693e-05,0.009786302436420202,0,adam
14,14,0.0076586185783109354,0.007658621675626518,[0.00765862],[1.53172372e-02 6.48394754e-12],0.007653743042645915,0.007663494113975954,inf,1.0,4.754313965096787e-05,0.009751256031948818,0,adam
15,15,0.007628805950388313,0.0076288104809812685,[0.00762881],[1.52576119e-02 1.05787052e-11],0.007622920052881808,0.0076346918478948185,inf,1.0,4.717373054773758e-05,0.009713297415145261,0,adam
16,16,0.007596696970418236,0.007596703454340935,[0.0075967],[1.51933939e-02 1.20931377e-11],0.007589672131414807,0.007603721809421663,inf,1.0,4.677748122398673e-05,0.00967241499210636,0,adam
17,17,0.007562290495618681,0.007562299593640857,[0.00756229],[1.51245810e-02 9.90973198e-12],0.007553991282205932,0.00757058970903143,inf,1.0,4.635473706431603e-05,0.009628607307796688,0,adam
18,18,0.007525593250115387,0.007525605789652375,[0.00752559],[1.50511865e-02 3.46066312e-12],0.007515877612812674,0.0075353088874181,inf,1.0,4.590596547195984e-05,0.009581882923638929,0,adam
19,19,0.007486619681341334,0.007486636671605318,[0.00748662],[1.49732394e-02 6.61090595e-12],0.007475339196082461,0.007497900166600206,inf,1.0,4.54317517384268e-05,0.009532260234676349,0,adam
20,20,0.007445391734053991,0.007445414430170782,[0.00744539],[1.48907835e-02 1.95669423e-12],0.007432391876318547,0.007458391591789433,inf,1.0,4.493279339981121e-05,0.009479767181841847,0,adam
21,21,0.007401938629013804,0.007401968537265348,[0.00740194],[1.48038773e-02 3.12233988e-12],0.007387059025263853,0.007416818232763755,inf,1.0,4.440989455473672e-05,0.00942444097016315,0,adam
22,22,0.007356296541114356,0.007356335475342988,[0.0073563],[1.47125931e-02 7.18152124e-12],0.007339371252365118,0.007373221829863593,inf,1.0,4.3863958441111324e-05,0.009366327658945295,0,adam
23,23,0.00730850826652845,0.007308558394915139,[0.00730851],[1.46170165e-02 8.03116600e-12],0.00728936606768437,0.007327650465372531,inf,1.0,4.3295979785194375e-05,0.009305481737967858,0,adam
24,24,0.007258622855172749,0.007258686732972596,[0.00725862],[1.45172457e-02 1.43532764e-11],0.007237087505919948,0.00728015820442555,inf,1.0,4.270703657853274e-05,0.009241965659524398,0,adam
25,25,0.007206695181580485,0.007206775828721162,[0.0072067],[1.44133904e-02 8.85081510e-12],0.0071825857131038555,0.007230804650057114,inf,1.0,4.209828090061008e-05,0.009175849292040628,0,adam
26,26,0.007152785540082269,0.00715288646057917,[0.00715279],[1.43055711e-02 1.07217078e-11],0.007125916513738445,0.0071796545664260915,inf,1.0,4.147093012682937e-05,0.009107209404642713,0,adam
27,27,0.007096959153864877,0.00709708442493582,[0.00709696],[1.41939183e-02 1.04552346e-11],0.007067140940916351,0.0071267773668134025,inf,1.0,4.082625694341492e-05,0.00903612904207085,0,adam
