,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.007853964819985064,0.00785396481906382,[0.00785396],[1.57079296e-02 9.53583247e-13],0.007853948882960708,0.007853980757009424,inf,1.0,4.9999369256426956e-05,0.009999978591763714,0,adam
1,1,0.007780837383777833,0.007781441365962728,[0.00778084],[1.55616748e-02 4.19311551e-12],0.007712283011816019,0.007849391755739647,inf,1.0,4.9076443180270906e-05,0.009906869848179456,0,adam
2,2,0.007610966285655223,0.007617958875923565,[0.00761097],[1.52219326e-02 1.21761489e-12],0.007380217880766767,0.00784171469054368,inf,1.0,4.699649303914356e-05,0.009690583248542106,0,adam
3,3,0.0072792737531443405,0.00732097308937694,[0.00727927],[1.45585475e-02 2.56776879e-12],0.006727539832333365,0.007831007673955316,inf,1.0,4.3196752541907293e-05,0.009268259199455953,0,adam
4,4,0.006701051336895417,0.006884528732402719,[0.00670105],[1.34021027e-02 2.54649279e-12],0.005584662766670294,0.00781743990712054,inf,1.0,3.740789435938068e-05,0.00853204355343573,0,adam
5,5,0.005824299510062681,0.006460640237547945,[0.0058243],[1.16485990e-02 2.52138014e-12],0.0038472553118850143,0.007801343708240349,inf,1.0,3.066466252348848e-05,0.00741572845659344,0,adam
6,6,0.004728290116525046,0.006404846890805856,[0.00472829],[9.45658023e-03 9.20099710e-13],0.001673348522936131,0.007783231710113962,inf,1.0,2.5686392271366253e-05,0.006020245955340009,0,adam
7,7,0.004140445302472707,0.006587814215861091,[0.00414045],[8.28089060e-03 6.51185049e-13],0.0005171864901827699,0.007763704114762643,inf,1.0,2.4536933810849284e-05,0.00527177869192097,0,adam
8,8,0.005057894211229772,0.006324930824128836,[0.00505789],[1.01157884e-02 2.58764964e-12],0.002372521229878318,0.007743267192581226,inf,1.0,2.6581350284076496e-05,0.00643991092282481,0,adam
9,9,0.005760966342975493,0.0063938820040286256,[0.00576097],[1.15219327e-02 5.73126552e-12],0.0037997175149125954,0.007722215171038391,inf,1.0,3.0019504630766104e-05,0.007335090163764768,0,adam
10,10,0.006282280632212357,0.006594734163927627,[0.00628228],[1.25645613e-02 9.66697633e-12],0.004863924391265961,0.007700636873158751,inf,1.0,3.362126523591476e-05,0.007998848132056535,0,adam
11,11,0.006670317872503774,0.00682099091437921,[0.00667032],[1.33406357e-02 1.15643768e-11],0.005662157004546689,0.007678478740460857,inf,1.0,3.688841777687857e-05,0.008492912491225635,0,adam
12,12,0.006964777844836517,0.007032966099701053,[0.00696478],[1.39295557e-02 9.11833461e-12],0.006273951582398851,0.007655604107274183,inf,1.0,3.970578877745589e-05,0.008867830572341084,0,adam
13,13,0.007193433628213926,0.007220102149608249,[0.00719343],[1.43868672e-02 7.47938521e-12],0.006755034385801977,0.007631832870625875,inf,1.0,4.2098805523361205e-05,0.009158964157869542,0,adam
14,14,0.007374811019725109,0.007382115429278044,[0.00737481],[1.47496220e-02 9.38166869e-12],0.007142657222937369,0.007606964816512849,inf,1.0,4.41284826778631e-05,0.009389901025262715,0,adam
15,15,0.007521182789737537,0.0075216552070560255,[0.00752118],[1.50423656e-02 1.14443941e-11],0.007461572940313583,0.0075807926391614905,inf,1.0,4.585497802552255e-05,0.00957626735107553,0,adam
16,16,0.007640754216586198,0.007641759497379781,[0.00764075],[1.52815084e-02 8.02244633e-12],0.00772839935542605,0.007553109077746346,inf,1.0,4.732781080257205e-05,0.009728510420159653,0,adam
17,17,0.007739093050115158,0.007745084899068034,[0.00773909],[1.54781861e-02 9.74405822e-12],0.007954475278331704,0.007523710821898613,inf,1.0,4.858510124543396e-05,0.009853719311791798,0,adam
18,18,0.007820037234244404,0.007833752199049915,[0.00782004],[1.56400745e-02 1.16564565e-11],0.008147673737909382,0.007492400730579426,inf,1.0,4.965534206180312e-05,0.009956780647941255,0,adam
19,19,0.007886270781908228,0.007909387198127484,[0.00788627],[1.57725416e-02 1.12668616e-11],0.008313552414345645,0.007458989149470812,inf,1.0,5.0559525072851424e-05,0.010041111820014992,0,adam
20,20,0.007939693488192652,0.007973209376754664,[0.00793969],[1.5879387e-02 7.4211378e-12],0.008456092171462811,0.007423294804922492,inf,1.0,5.13129895451782e-05,0.010109131722243037,0,adam
