,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.013089963219965098,0.005854009513153603,[0.01570795 0.01570796 0.00785398],[0.01047197 0.01570796],0.013089963561969169,0.013089962877961029,inf,1.0,0.0008582129436701223,0.04999997643236509,0,adam
1,1,0.0130803579561357,0.005849747679771823,[0.01569194 0.01570269 0.00784644],[0.01047328 0.01568744],0.013088137648954258,0.013072578263317142,inf,1.0,0.0008537516521071555,0.0499632870271296,0,adam
2,2,0.013061963700718894,0.005841741135819607,[0.01566334 0.01569115 0.0078314 ],[0.01047461 0.01564932],0.013082067627418958,0.013041859774018833,inf,1.0,0.0008480822873211582,0.04989302614695146,0,adam
3,3,0.0130324357871267,0.005829208726568433,[0.01561941 0.01567119 0.00780671],[0.01047429 0.01559059],0.013069305972573437,0.012995565601679969,inf,1.0,0.0008409436534217816,0.049780237825174156,0,adam
4,4,0.012989398193747179,0.0058114797146611675,[0.01555721 0.01564076 0.00777022],[0.01047047 0.01550832],0.013047449848792256,0.012931346538702095,inf,1.0,0.0008321009590965472,0.04961584632777116,0,adam
5,5,0.012930595679760204,0.005788070508246642,[0.01547403 0.01559796 0.00771979],[0.0104614 0.0153998],0.013014227307279492,0.012846964052240917,inf,1.0,0.0008213573070943419,0.049391237269357235,0,adam
6,6,0.012853986342877795,0.005758739500327902,[0.01536748 0.01554111 0.00765337],[0.01044541 0.01526256],0.012967558103103315,0.012740414582652272,inf,1.0,0.0008085630428096407,0.04909861115771341,0,adam
7,7,0.012757808399349008,0.005723533645128105,[0.0152356  0.01546876 0.00756907],[0.01042107 0.01509454],0.012905602419251642,0.012610014379446375,inf,1.0,0.000793623424679382,0.04873123847461702,0,adam
8,8,0.01264063417236421,0.005682829555392074,[0.01507695 0.01537974 0.00746521],[0.01038715 0.01489412],0.012826802586861986,0.012454465757866436,inf,1.0,0.0007765044202468925,0.04828366589635413,0,adam
9,9,0.012501415048406376,0.005637366825378882,[0.01489063 0.01527319 0.00734042],[0.01034262 0.01466021],0.012729918741254198,0.012272911355558552,inf,1.0,0.0007572361610955373,0.04775188801433483,0,adam
10,10,0.012339517127224522,0.00558826840314564,[0.01467633 0.01514856 0.00719366],[0.01028674 0.0143923 ],0.012614057276290858,0.01206497697815818,inf,1.0,0.0007359135615258395,0.04713348350795732,0,adam
11,11,0.012154745683528964,0.005537041181339612,[0.01443429 0.01500563 0.00702432],[0.01021897 0.01409052],0.01247869023011588,0.011830801136942045,inf,1.0,0.0007126937353591645,0.046427708581404215,0,adam
12,12,0.011947356265862007,0.005485549216883031,[0.01416534 0.01484447 0.00683226],[0.01013904 0.01375568],0.012323663734401295,0.011571048797322717,inf,1.0,0.000687790093695941,0.045635539358204635,0,adam
13,13,0.011718050699754746,0.005435952488231941,[0.01387079 0.01466551 0.00661785],[0.01004689 0.01338922],0.012149194278533856,0.011286907120975636,inf,1.0,0.0006614633128962409,0.04475965661441794,0,adam
14,14,0.011467957104529252,0.005390606465396803,[0.01355244 0.01446942 0.006382  ],[0.00994269 0.01299322],0.01195585243888545,0.01098006177017305,inf,1.0,0.0006340096834926874,0.04380436944843957,0,adam
15,15,0.01119859410190407,0.005351922427366117,[0.01321248 0.01425715 0.00612615],[0.00982682 0.01257037],0.011744534743928557,0.010652653459879589,inf,1.0,0.0006057476343062923,0.042775478567946834,0,adam
16,16,0.01091182050950836,0.005322195467063905,[0.0128534  0.01402982 0.00585224],[0.00969981 0.01212384],0.01151642527447002,0.010307215744546707,inf,1.0,0.0005770034291288626,0.04168008413327495,0,adam
17,17,0.010609772871853572,0.005303415466815887,[0.01247791 0.01378877 0.00556264],[0.00956233 0.01165721],0.011272949353084864,0.009946596390622283,inf,1.0,0.0005480971207698042,0.04052634714330683,0,adam
18,18,0.01029479410254287,0.005297083850059283,[0.01208888 0.0135354  0.0052601 ],[0.00941519 0.0111744 ],0.011015722105589943,0.009573866099495796,inf,1.0,0.0005193298071813924,0.03932321686879181,0,adam
19,19,0.009969357121086759,0.005304062921381513,[0.01168925 0.01327121 0.00494762],[0.00925924 0.01067947],0.010746494759703733,0.009192219482469786,inf,1.0,0.0004909730718359448,0.038080139166464244,0,adam
20,20,0.009635987739802529,0.005324482317765079,[0.01128192 0.01299771 0.00462833],[0.0090954  0.01017658],0.010467101417354274,0.008804874062250783,inf,1.0,0.0004632612224106947,0.03680676192869936,0,adam
21,21,0.00929719096309786,0.005357718256890936,[0.01086976 0.01271641 0.0043054 ],[0.00892458 0.00966981],0.010179408627972892,0.008414973298222828,inf,1.0,0.00043638662131328243,0.035512653567511876,0,adam
22,22,0.00895538444071682,0.005402447658551548,[0.01045548 0.01242874 0.00398193],[0.00874769 0.00916308],0.00988526957416788,0.008025499307265755,inf,1.0,0.00041049806539649754,0.03420704882467995,0,adam
23,23,0.008612842059788005,0.0054567651300276646,[0.01004165 0.01213607 0.00366081],[0.00856561 0.00866008],0.009586484180719052,0.007639199938856956,inf,1.0,0.0003857018820014553,0.03289863330924092,0,adam
24,24,0.008357189643776767,0.005387917298166957,[0.00963062 0.01183963 0.00360132],[0.00837915 0.00833523],0.009284765891405174,0.007429613396148359,inf,1.0,0.00036206519709406075,0.03192211301192316,0,adam
25,25,0.00818728559128342,0.005205689409217417,[0.00922453 0.01154057 0.00379676],[0.00818909 0.00818548],0.008981715460898295,0.007392855721668547,inf,1.0,0.00033962071907126624,0.03127312733658716,0,adam
26,26,0.00801477029839031,0.005048407324789452,[0.00882525 0.01123988 0.00397917],[0.0079961  0.00803344],0.008678801696974716,0.007350738899805902,inf,1.0,0.0003183723749814529,0.03061416745763812,0,adam
27,27,0.007840031179398878,0.004915671221251764,[0.00843445 0.01093844 0.0041472 ],[0.00780079 0.00787928],0.008377348832100279,0.007302713526697479,inf,1.0,0.0002983012066183957,0.0299467131887019,0,adam
28,28,0.0076634277326484285,0.004806093415450864,[0.00805351 0.01063699 0.00429978],[0.00760368 0.00772317],0.008078529990387476,0.007248325474909382,inf,1.0,0.00027937105863768915,0.029272137712283985,0,adam
29,29,0.00748528875287361,0.004717454319863864,[0.00768358 0.01033614 0.00443615],[0.00740524 0.00756534],0.007783366052654201,0.007187211453093018,inf,1.0,0.00026999881338445096,0.028591696931760113,0,adam
30,30,0.007305909628034831,0.004646912673240563,[0.00732556 0.01003638 0.00455578],[0.00720584 0.00740598],0.007492729152634881,0.0071190901034347805,inf,1.0,0.0002630410554222665,0.027906519146025932,0,adam
31,31,0.007125550394136996,0.0045912395094256505,[0.00698014 0.00973813 0.00465838],[0.00700582 0.00724529],0.007207349961782209,0.007043750826491783,inf,1.0,0.0002561443802399287,0.027217597619455303,0,adam
32,32,0.007025096248307414,0.004421404775435559,[0.00688979 0.00944168 0.00474382],[0.00680542 0.00724477],0.007089150240580595,0.0069610422560342335,inf,1.0,0.0002492180983880886,0.026833891046746716,0,adam
33,33,0.0069315763835255855,0.004246994776394484,[0.00683529 0.00914727 0.00481217],[0.00660487 0.00725828],0.006992291008190546,0.0068708617588606295,inf,1.0,0.0002421870033866175,0.02647667147657118,0,adam
34,34,0.006831282535666918,0.004087517984559875,[0.00677519 0.00885508 0.00486358],[0.00640436 0.0072582 ],0.006889418125153135,0.0067731469461807005,inf,1.0,0.00023499167539047663,0.026093577197009443,0,adam
35,35,0.0067241409506158594,0.00394129138895234,[0.00670884 0.00856523 0.00489836],[0.00620404 0.00724424],0.006780412260740612,0.006667869640491107,inf,1.0,0.00022758818757974685,0.025684326488091713,0,adam
36,36,0.006610113503138683,0.0038065554382989107,[0.00663566 0.00827781 0.00491687],[0.00600405 0.00721618],0.006665194575851487,0.00655503243042588,inf,1.0,0.00021994740544471633,0.025248773722152285,0,adam
37,37,0.006489200062028594,0.003681542379372387,[0.00655513 0.00799292 0.00491955],[0.00580451 0.00717389],0.006543732491204394,0.006434667632852792,inf,1.0,0.00021205401891233227,0.024786918398018054,0,adam
38,38,0.006361441358223522,0.003564534770825837,[0.0064668  0.00771061 0.00490691],[0.00560555 0.00711733],0.006416044423349029,0.006306838293098014,inf,1.0,0.00020390540599171753,0.024298916096411993,0,adam
39,39,0.0062269221059553835,0.00345391262073066,[0.00637029 0.00743097 0.00487951],[0.00540731 0.00704654],0.006282203449749204,0.0061716407621615595,inf,1.0,0.0001955103961642723,0.02378509040186394,0,adam
40,40,0.006085774088540411,0.0033481888533398625,[0.00626531 0.00715407 0.00483794],[0.00520991 0.00696163],0.006142339859480989,0.006029208317599836,inf,1.0,0.00018688797692132826,0.02324594468956276,0,adam
41,41,0.005938178957998704,0.0032460337955889053,[0.00615167 0.00688002 0.00478285],[0.00501353 0.00686283],0.005996642593224052,0.005879715322773358,inf,1.0,0.00017806597321349957,0.022682172819114665,0,adam
