,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.013744332303738858,0.005194869319385297,[0.01570783 0.01178083],[0.00785382 0.01570791 0.01570768 0.01570791],0.013744285333184888,0.013744379274292826,inf,1.0,0.0013459149352602843,0.06999930962040479,0,adam
1,1,0.013559045652640302,0.005152967958890799,[0.01537381 0.01174428],[0.00727532 0.01565029 0.01563024 0.01568033],0.013406539710344209,0.013711551594936396,inf,1.0,0.0012939013930698487,0.06905565245524414,0,adam
2,2,0.013079566129144555,0.005353949519769034,[0.01448633 0.0116728 ],[0.00566011 0.01554681 0.01548201 0.01562934],0.012507949285549984,0.013651182972739127,inf,1.0,0.0011688029164038049,0.06661368329442152,0,adam
3,3,0.012537523688289325,0.005994247717249831,[0.0135017  0.01157335],[0.00392419 0.01539483 0.01528062 0.01555046],0.011514691148967818,0.013560356227610832,inf,1.0,0.0010567006383426808,0.06385308381193511,0,adam
4,4,0.012688422898993365,0.005407457623277536,[0.01392078 0.01145607],[0.00507173 0.01519206 0.01505099 0.01543892],0.011942312751016964,0.013434533046969769,inf,1.0,0.001006897603012354,0.06462160718128618,0,adam
5,5,0.01268534999529725,0.005120856376974791,[0.01405043 0.01132027],[0.00572038 0.01493537 0.01479545 0.0152902 ],0.012103960494278625,0.013266739496315873,inf,1.0,0.0009832381880735613,0.06460595701127403,0,adam
6,6,0.012574502554945986,0.004950578926828594,[0.01399039 0.01115861],[0.00607271 0.01462264 0.01450235 0.01510032],0.012099668033113395,0.013049337076778576,inf,1.0,0.0009615045028290304,0.06404141563332244,0,adam
7,7,0.012376699518781061,0.004823791698357387,[0.01379132 0.01096208],[0.00623086 0.0142538  0.01415614 0.014866  ],0.01197789132112436,0.012775507716437762,inf,1.0,0.0009339636215914957,0.06303401304246692,0,adam
8,8,0.012100223303029099,0.004713370301726855,[0.01347759 0.01072285],[0.00624151 0.01383118 0.01374338 0.01458482],0.011759789815039848,0.01244065679101835,inf,1.0,0.0008984745613800846,0.061625931238170395,0,adam
9,9,0.011749946554014663,0.004610650350234838,[0.01306369 0.0104362 ],[0.00612857 0.01335928 0.01325652 0.01425542],0.01145610964382034,0.012043783464208986,inf,1.0,0.000854780219498186,0.05984198640438465,0,adam
10,10,0.011332028194498108,0.004515153026636223,[0.01256256 0.0101015 ],[0.00591026 0.01284428 0.012696   0.01387758],0.011075705084711958,0.011588351304284258,inf,1.0,0.0008036956396506096,0.057713545677155365,0,adam
