,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.013089965509874976,0.00585401050704671,[0.01570796 0.01047197],[0.01308997],0.015707961634036403,0.01570795405921544,0.007853980836373082,1.0,0.0001757483991653129,0.024999992589588294,0,adam
1,1,0.013076011382004376,0.0058478211895539095,[0.01570622 0.0104458 ],[0.01307601],0.015701905165695383,0.01567234685865608,0.007853782121661665,1.0,0.0001746122650165388,0.024973342168462587,0,adam
2,2,0.013048059824441,0.005835736947936217,[0.01570251 0.01039361],[0.01304806],0.015690817095274222,0.015600248272340446,0.007853114105708329,1.0,0.00017326148723147966,0.024919958625822636,0,adam
3,3,0.013001200738447629,0.005816452879723326,[0.01569624 0.01030617],[0.0130012],0.01567401550651331,0.015477856450834859,0.007851730257994715,1.0,0.00017164272155122332,0.024830464363847282,0,adam
4,4,0.012928916642984538,0.005789220143037648,[0.01568681 0.01017102],[0.01292892],0.01565089938086011,0.015286460216464511,0.007849390331628988,1.0,0.00016969810294467172,0.024692411910648637,0,adam
5,5,0.01282258774985162,0.005755027598507051,[0.01567369 0.00997149],[0.01282259],0.015620983994560508,0.01500091753540795,0.0078458617195864,1.0,0.00016737262152882417,0.024489338683421735,0,adam
6,6,0.01267108483981264,0.005719104341829115,[0.01565634 0.00968583],[0.01267108],0.015583947079253174,0.014588387341059647,0.007840920099125095,1.0,0.00016463314662022537,0.02419998943911561,0,adam
7,7,0.012460877324949285,0.005695567560397003,[0.01563427 0.00928748],[0.01246088],0.015539687060041295,0.014008595702664446,0.007834349212142119,1.0,0.00016150871361469155,0.023798522658328602,0,adam
8,8,0.012177545485512772,0.0057141863059338785,[0.01560705 0.00874804],[0.01217755],0.015488390836300036,0.013218306890507639,0.007825938729730645,1.0,0.00015815997433341283,0.02325739870494914,0,adam
9,9,0.0118099629420255,0.005825069151515766,[0.01557427 0.00804565],[0.01180996],0.015430599244756635,0.012183810432414004,0.007815479148905867,1.0,0.0001549635071069901,0.022555367759465428,0,adam
10,10,0.011357611217314413,0.0060891203981624994,[0.01553556 0.00717966],[0.01135761],0.015367241830903551,0.01090283961841352,0.0078027522026261715,1.0,0.00015253757188168435,0.02169143960341846,0,adam
11,11,0.010838003587676497,0.006543752524817003,[0.01549057 0.00618544],[0.010838],0.015299595589609992,0.00942689846304248,0.007787516710377022,1.0,0.00015158254253439654,0.02069906213071704,0,adam
12,12,0.010286894190847025,0.00716517160623054,[0.01543892 0.00513487],[0.01028689],0.015229128723612784,0.00786206190803691,0.007769491940891383,1.0,0.0001525169661759228,0.019646520714439397,0,adam
13,13,0.010634800784191926,0.006624442582188134,[0.01538016 0.00588944],[0.0106348],0.015157245187390452,0.008998812112008269,0.007748345053177056,1.0,0.00015518278824542403,0.02031097336322052,0,adam
14,14,0.01103555011334783,0.0061110861410257076,[0.01531378 0.00675732],[0.01103555],0.015085021293601144,0.010297940498661503,0.007723688547780843,1.0,0.0001589368658233471,0.021076348203331596,0,adam
15,15,0.011368916603094949,0.005773089429148325,[0.01523913 0.00749871],[0.01136892],0.015013040407508019,0.011398619642090598,0.007695089759686228,1.0,0.0001630256044012418,0.02171303129978508,0,adam
16,16,0.011633749475800927,0.00557580000387255,[0.01515552 0.00811198],[0.01163375],0.014941363504795146,0.012297797201079631,0.00766208772152801,1.0,0.0001668808201364819,0.02221882482919746,0,adam
17,17,0.0118369481647912,0.00547569881833472,[0.0150622  0.00861169],[0.01183695],0.014869598746422873,0.01301703408160355,0.007624211666347174,1.0,0.00017018980725336542,0.0226069057385887,0,adam
18,18,0.011987846401612977,0.005436186958363972,[0.01495844 0.00901726],[0.01198785],0.014797011489136548,0.013585530578408648,0.007580997137293742,1.0,0.0001728314200017719,0.022895100142117153,0,adam
