,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.006544982088154575,0.0077441272329974225,[0.00785398 0.00523599],[1.30899642e-02 3.56599675e-12],0.00785397811968626,0.007853980044462305,0.00392698810031516,1.0,0.000244984064641918,0.024999990042665177,0,adam
1,1,0.006523114598377625,0.0077182600689493005,[0.00782625 0.00521998],[1.30462292e-02 5.83741298e-12],0.007826875397773554,0.007835457031532222,0.0039070113658271,1.0,0.00024253021604551204,0.024916462384480864,0,adam
2,2,0.006484156699040793,0.007672210768507316,[0.00777677 0.00519154],[1.29683134e-02 4.69501979e-12],0.007778806055143714,0.007802376326931249,0.00387128771504742,1.0,0.00023885994761069693,0.024767654170434472,0,adam
3,3,0.006426330826895623,0.007603940516380126,[0.00770324 0.00514942],[1.28526616e-02 6.89022609e-12],0.007707754102071685,0.007753035886669686,0.0038182024919454997,1.0,0.00023388668084782773,0.024546775609062266,0,adam
4,4,0.006348061336879191,0.007511688739143552,[0.00760366 0.00509246],[1.26961227e-02 6.90022464e-12],0.007611954828560082,0.007685741978722007,0.003746487203355485,1.0,0.00022755429469955248,0.02424780817955674,0,adam
5,5,0.006248083387599898,0.007394103636853076,[0.00747646 0.0050197 ],[1.24961668e-02 4.08766562e-12],0.007490008962249758,0.007598857211343018,0.0036553839892069164,1.0,0.00021984613655201703,0.023865920543685082,0,adam
6,6,0.00612554862907564,0.007250360020541711,[0.0073207 0.0049304],[1.22510973e-02 5.92943458e-12],0.007340993062341452,0.00749085639872181,0.003544796426163656,1.0,0.0002107922574884945,0.023397872243212214,0,adam
7,7,0.005980114228357255,0.007080245696262264,[0.00713615 0.00482407],[1.19602284e-02 8.00070529e-12],0.007164554473354285,0.007360388625440953,0.003415399586276526,1.0,0.0002004734833518096,0.02284235375273358,0,adam
8,8,0.005812001864572803,0.006884200212502907,[0.00692339 0.00470061],[1.16240037e-02 6.50068931e-12],0.006960979028992209,0.007206342768915941,0.003268683795810259,1.0,0.00018902124229069092,0.022200211824145777,0,adam
9,9,0.0056220167688373615,0.006663297602413395,[0.00668382 0.00456021],[1.12440335e-02 4.66839572e-12],0.00673122170776011,0.007027912880101777,0.003106915718650197,1.0,0.00017661272185544793,0.021474522213743796,0,adam
10,10,0.005411523101619377,0.006419175966704643,[0.00641958 0.00440347],[1.08230462e-02 3.46374407e-12],0.006476894599437304,0.00682465911834736,0.0029330155870734656,1.0,0.00016346177829990163,0.0206704956306889,0,adam
11,11,0.005182379372211826,0.006153927701389549,[0.00613348 0.00423128],[1.03647587e-02 5.01503172e-12],0.0062002119467068515,0.006596559686205606,0.0027503664837230184,1.0,0.0001498068047155916,0.01979523105755976,0,adam
