,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.012799066044566668,0.006101715323320925,[0.01570794 0.01570794 0.00698131],[0.01047196 0.01396261 0.01396262],0.013962621495919987,0.013962609152460935,0.010471967485319079,0.9629629629629629,0.0020762100540742756,0.10999986990943045,0,adam
1,1,0.012681312142159984,0.006052605678085984,[0.01542455 0.0156591  0.00696028],[0.0102775  0.01387313 0.0138933 ],0.013760665203446234,0.013879436756606333,0.010403834466427387,1.0,0.002012150299469409,0.10898784966506536,0,adam
2,2,0.012387497048579733,0.00602232612825787,[0.01467017 0.01557297 0.00691935],[0.00970666 0.01369384 0.01376199],0.013177435080215055,0.013716290219568788,0.010268765845955359,1.0,0.0019466957466991823,0.10646269494215743,0,adam
3,3,0.011919798710800988,0.006252016529569473,[0.01345817 0.01544616 0.00685507],[0.00879349 0.01340822 0.01355768],0.012250505729782927,0.013458025271799737,0.01005086513082031,1.0,0.001910268034462072,0.1024431238161565,0,adam
4,4,0.011774908290182497,0.006005881511015051,[0.01328403 0.01527651 0.00676418],[0.00903666 0.01301648 0.01327158],0.012484405760022348,0.013097817611621968,0.009742501498903178,1.0,0.0018776880997737212,0.10119788237715932,0,adam
5,5,0.011589739034888658,0.00581081527046403,[0.01306209 0.01506498 0.00664214],[0.0093396  0.01253108 0.01289854],0.0127865025064487,0.01263611593956105,0.009346598658656217,1.0,0.001824228841530044,0.09960646985357191,0,adam
6,6,0.011286858293198454,0.005758077758077379,[0.01256071 0.01481536 0.0064845 ],[0.00944591 0.01197474 0.01243992],0.01290163772478317,0.012081405425941872,0.00887753172887032,1.0,0.0017524658693763152,0.0970034016243757,0,adam
7,7,0.010907266136226583,0.0058034682913357975,[0.0119005 0.0145323 0.006289 ],[0.0094376  0.01137859 0.01190561],0.012911736330743726,0.011450865793907923,0.008359196284028111,1.0,0.0016721103301718006,0.09374104734476219,0,adam
8,8,0.010481426214680864,0.005928221523017062,[0.01116709 0.0142202  0.00605698],[0.00935575 0.0107752  0.01131333],0.012857450819792842,0.010768595097476788,0.007818232726772963,1.0,0.001590569370969057,0.09008122280684971,0,adam
9,9,0.010065663422170737,0.00605480419885025,[0.01052014 0.01388294 0.00579391],[0.00922091 0.01029044 0.01068564],0.012758934642280902,0.010061745997019506,0.007376309627211802,1.0,0.0015119411827652942,0.08650800481343901,0,adam
10,10,0.009770861345147566,0.0060170684925457355,[0.01028034 0.01352377 0.00550847],[0.0090439  0.01022286 0.01004583],0.012626656672192685,0.00935612912186005,0.007329798241389959,1.0,0.0014376649212457552,0.08397436759267074,0,adam
11,11,0.009457527166940826,0.006047774467772536,[0.01001647 0.01314537 0.00521074],[0.00883078 0.01012749 0.00941431],0.012466116281040027,0.008672862715753207,0.007233602504029247,1.0,0.001367480860783879,0.08128145869440417,0,adam
12,12,0.009184122120881575,0.0060415950142079945,[0.00989234 0.01274994 0.00491009],[0.0085854  0.01009915 0.00886782],0.012279979424560949,0.008181770979837742,0.007090615958246034,1.0,0.0013002847016181204,0.07893171540888799,0,adam
13,13,0.009024558622758734,0.0058755314046650695,[0.01012057 0.01233932 0.00461378],[0.00831073 0.01019432 0.00856864],0.012069143672363234,0.008098938428511856,0.006905593767401114,1.0,0.0012347369802148817,0.07756036815787049,0,adam
14,14,0.008863774635264651,0.005710813008060499,[0.01025101 0.01191506 0.00442526],[0.00800968 0.01022414 0.0083575 ],0.011833339152024312,0.008073972316997111,0.006684012436772531,1.0,0.0011696259946841348,0.07617853157336629,0,adam
15,15,0.008736283758977927,0.005478528381344426,[0.01028869 0.01147845 0.00444171],[0.0076855  0.01019106 0.00833229],0.01157151622328767,0.00820577959679135,0.006431555456854759,1.0,0.0011040331101998763,0.0750828282027185,0,adam
16,16,0.00856457526087224,0.005287859834079555,[0.01023923 0.01103054 0.00442396],[0.00734192 0.01009734 0.00825446],0.01128212766490056,0.008257676926221412,0.00615392119149475,1.0,0.001037364613412212,0.07360710236552004,0,adam
17,17,0.008350903385137047,0.005126831953064383,[0.01010855 0.01057203 0.00437213],[0.00698306 0.00994495 0.00812471],0.010963354615765059,0.008232617950919528,0.005856737588726557,1.0,0.0009693121344227181,0.07177072786347982,0,adam
18,18,0.008097742738008463,0.004983256511977642,[0.00990274 0.01010331 0.00428717],[0.00661324 0.00973557 0.00794443],0.010613301910019704,0.008134444173646149,0.0055454821303595365,1.0,0.0008997900414250832,0.06959497237058976,0,adam
19,19,0.007807687675649792,0.004845326358951766,[0.00962808 0.00962444 0.00417055],[0.00623677 0.00947072 0.00771557],0.010230178995316296,0.007967500773564319,0.0052253832580687574,1.0,0.0008288806964405524,0.06710213273565602,0,adam
20,20,0.007483417172617811,0.004702072116324181,[0.00929094 0.00913518 0.00402413],[0.00585771 0.00915196 0.00744058],0.009812478069883059,0.007736456095709301,0.004901317352261067,1.0,0.0007568026962509689,0.06431523304900866,0,adam
21,21,0.007127709852086476,0.004543744210666904,[0.0088978  0.00863522 0.00385011],[0.00547969 0.00878101 0.00712242],0.009359157186270804,0.007446248780266291,0.004577723589722336,1.0,0.0006839050755047455,0.0612581538177559,0,adam
22,22,0.006743497531461824,0.004362156730497029,[0.00845522 0.00812425 0.00365102],[0.0051058  0.00836005 0.00676465],0.008869830930986682,0.007102111465278847,0.004258550198119943,1.0,0.0006106817304748251,0.05795609215644748,0,adam
23,23,0.0063339445828366975,0.004151012966190724,[0.00796982 0.00760229 0.00342973],[0.00473857 0.00789185 0.00637141],0.008344964230732577,0.006709637995392006,0.003947231522385506,1.0,0.0005377945085792817,0.05443624383994372,0,adam
24,24,0.0059025363794942155,0.0039062210744745343,[0.00744837 0.00706983 0.00318941],[0.00438007 0.00738004 0.0059475 ],0.007786056022954346,0.006274868161278467,0.003646684954249829,1.0,0.00046609024279092073,0.05072856344511756,0,adam
25,25,0.005453155861236177,0.003626198610054816,[0.0068978  0.00652811 0.00293357],[0.00403197 0.00682925 0.00549824],0.007195790308468798,0.005804362749812065,0.0033593145254276705,1.0,0.00039659653246199977,0.046866422381378836,0,adam
26,26,0.00499012536338338,0.0033121615575373224,[0.00632524 0.00597923 0.00266591],[0.0036957  0.00624521 0.00502947],0.00657812511862763,0.005305237996100014,0.003087012975422494,1.0,0.0003304835608090578,0.042886968384457935,0,adam
27,27,0.004518193491869734,0.0029684128436129054,[0.00573803 0.00542624 0.00239032],[0.00337254 0.00563472 0.00454733],0.0059382889282575445,0.004785129159558098,0.0028311623877935606,1.0,0.00026898496564510874,0.03883101271614198,0,adam
28,28,0.004042455182749754,0.002602715700356692,[0.00514363 0.004873   0.00211074],[0.00306369 0.00500554 0.00405813],0.005282662391043423,0.00425206288322633,0.002592640273979509,1.0,0.00021327951213347216,0.03474234312635205,0,adam
29,29,0.0035682065166262847,0.002227005494756136,[0.0045495  0.00432407 0.00183105],[0.00277033 0.00436612 0.00356816],0.004618541638451615,0.003714237722394761,0.0023718401890324772,1.0,0.00016434627276721214,0.03066647607506434,0,adam
30,30,0.0031007511290043737,0.001859028005890278,[0.00396288 0.0037844  0.00155498],[0.00249354 0.00372523 0.00308348],0.003953803791870337,0.0031797364513001403,0.0021687131438426436,1.0,0.00012281888860911564,0.02664899295185652,0,adam
31,31,0.0026451870849473706,0.0015259317966372697,[0.00339057 0.00325902 0.00128597],[0.00223424 0.00309155 0.00260977],0.0032965176849876973,0.002656213376487699,0.001982830193366717,1.0,8.887888777321465e-05,0.02273370839849953,0,adam
32,32,0.002221576858783853,0.0012427672978251904,[0.00283873 0.00275273 0.00107327],[0.00199312 0.00247333 0.00219828],0.002654554459981912,0.002196715515685494,0.001813460600684152,1.0,6.223527146696864e-05,0.019093046680836556,0,adam
33,33,0.0018543212367890542,0.0010347065319205474,[0.00231272 0.00226987 0.00098038],[0.00177057 0.00187803 0.00191436],0.0020352492988501745,0.0018680580846288468,0.0016596563268881418,1.0,4.221602661558318e-05,0.01593671710942357,0,adam
34,34,0.0015083967404145692,0.001034863230975767,[0.00181695 0.00181411 0.00089413],[0.00156664 0.00131214 0.00164642],0.0014451492541471737,0.0015597077788383324,0.0015203331882582016,1.0,2.795620262204834e-05,0.012963715058556868,0,adam
35,35,0.0013443660889067522,0.0010411055706578286,[0.00153617 0.00168272 0.00081421],[0.00156227 0.00107535 0.00139547],0.0010711060007575356,0.001567651062262883,0.0013943412036998377,1.0,2.1309548417394344e-05,0.011553975452229803,0,adam
36,36,0.0012421748074226604,0.0012162852628029674,[0.00142287 0.00156331 0.00074034],[0.00164592 0.00091825 0.00116235],0.0008067721118002048,0.0015783650421076498,0.0013413872683601252,1.0,2.626798181987132e-05,0.01067570608241919,0,adam
37,37,0.0012642910445287434,0.0014170544685771483,[0.00150234 0.00161825 0.00067227],[0.00172451 0.00102111 0.00104725],0.0008114010811137314,0.0015885528883799892,0.0013929191640925096,1.0,3.473942355931186e-05,0.010865781139152597,0,adam
38,38,0.001368315549200833,0.0016236599972432257,[0.00172297 0.00177218 0.00060979],[0.00186375 0.00123897 0.00100223],0.0009244077622404943,0.0017085630700284567,0.0014719758153335484,1.0,4.568303256037225e-05,0.011759805901700338,0,adam
39,39,0.0015457547111761738,0.0017915855963430833,[0.00201812 0.00195617 0.00066297],[0.00203242 0.0015286  0.00107625],0.0011549256847596765,0.0018663561880200932,0.0016159822607487513,1.0,5.957408895388705e-05,0.013284783166928493,0,adam
40,40,0.0017433563011957447,0.00192889865187667,[0.00236909 0.00211462 0.00074636],[0.00217606 0.00178218 0.00127183],0.0014416606785872374,0.0020028095191968135,0.0017855987058031837,1.0,7.702632867313984e-05,0.014983043736907842,0,adam
