,step,mean_change,std_change,per_layer,per_qubit,rx_changes,ry_changes,rz_changes,changed,dnorm,rel_chg,rep,opt
0,0,0.013744294919415636,0.005194855197765935,[0.01570781 0.01570778 0.01570783 0.00785376],[0.01178091 0.01439886 0.01439865 0.01439876],0.014726003607708526,0.014726118755271694,0.011780762395266688,1.0,0.00525312031109027,0.20999735767083072,0,adam
1,1,0.012902381719679648,0.005475301942129412,[0.01538766 0.01444778 0.01404898 0.00772511],[0.01157141 0.01386389 0.01300707 0.01316716],0.014342679291178629,0.0143806011985803,0.009983864669280022,1.0,0.004533416609106019,0.1971338715211699,0,adam
2,2,0.0125070070851923,0.005011706008131574,[0.01479592 0.01440405 0.01336243 0.00746563],[0.01112832 0.01288631 0.01280559 0.01320781],0.013621406045491774,0.013731124159996043,0.010168491050089084,1.0,0.004068405876973263,0.19109299208579666,0,adam
3,3,0.011720872103355429,0.004683275743710944,[0.01385419 0.01368553 0.01232308 0.0070207 ],[0.01039563 0.01160042 0.01227315 0.01261429],0.012577320703188774,0.012737400295092682,0.00984789531178483,1.0,0.0035234256752508216,0.17908173432930363,0,adam
4,4,0.010573296231960322,0.004302627495904215,[0.01252269 0.01245373 0.0109733  0.00634346],[0.00937765 0.01017485 0.01123992 0.01150077],0.011240898815183942,0.011403053713090795,0.009075936167606232,1.0,0.0028321150466362813,0.16154806656877385,0,adam
5,5,0.009086278851103411,0.003691704173208467,[0.01081318 0.01066224 0.00948818 0.00538152],[0.00815248 0.00872575 0.00966792 0.00979897],0.009604971452999184,0.009752674017733595,0.007901191082577457,1.0,0.002076755610253282,0.13882811457258737,0,adam
6,6,0.007324772642051134,0.002984664206611252,[0.00882    0.00835426 0.00799614 0.00412868],[0.00684554 0.00734323 0.0075645  0.00754582],0.00770552059888034,0.00786720969598102,0.006401587631292045,1.0,0.001366771201096313,0.11191428220864519,0,adam
7,7,0.005573293151479493,0.002792322841672152,[0.00674655 0.0061316  0.00660685 0.00280817],[0.00557812 0.0060921  0.00533066 0.00529229],0.005783521622751316,0.00594865594003751,0.004987701891649655,1.0,0.0008321449530098514,0.08515364681838444,0,adam
8,8,0.004436082855753851,0.002819568377178979,[0.00481783 0.00518863 0.00537916 0.00235871],[0.00442539 0.00499839 0.00446919 0.00385136],0.004613015597782769,0.004471324611512846,0.0042239083579659375,1.0,0.0005146274398501095,0.06777835338800986,0,adam
9,9,0.003742554682137059,0.0033602712705819993,[0.0035501  0.00509495 0.00434769 0.00197748],[0.00341434 0.00407241 0.0041833  0.00330018],0.0039295637489508775,0.003441255863795847,0.0038568444336644515,1.0,0.0004225438425449699,0.057182023435567775,0,adam
10,10,0.003596435191219452,0.0038929315482636203,[0.00322867 0.00533949 0.00402347 0.00179411],[0.00255032 0.00354429 0.0050422  0.00324893],0.0039022342179951936,0.002948962698342793,0.003938108657320371,1.0,0.00043560914125984925,0.05494948206645334,0,adam
