,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,0,2,0,0.012027278728330199,0.018249531023154554,0.00014465543360894404
1,0,1,1,0.009424743078746354,0.010211288303790892,8.882578210037733e-05
2,0,1,2,0.003141591361661871,0.007078857479677508,9.869596283668519e-06
3,0,0,3,0.013867546123573616,0.020955461834393695,0.0001923088354894417
4,0,2,4,0.009424743078746863,0.018095475375529184,8.882578210038676e-05
5,0,2,5,0.007584453758847044,0.0142045613723189,5.752393882008902e-05
6,0,2,6,0.007584453758846911,0.01316813949828798,5.752393882008712e-05
7,0,2,7,0.011467621933768364,0.020176185953969465,0.00013150635281584505
8,0,2,8,0.013867546123573877,0.01879435668246405,0.00019230883548944873
9,0,1,9,0.00942474307874647,0.014348309176507314,8.882578210037943e-05
10,0,1,10,0.007584453758846806,0.014326019205031851,5.752393882008572e-05
11,0,1,11,0.013076073051785417,0.015495534856026233,0.00017098368645562868
12,0,1,12,0.013867546123573937,0.019464526115718653,0.00019230883548945047
13,0,1,13,0.01202727872833051,0.017923411577467286,0.00014465543360895155
14,0,1,14,0.003141591361661903,0.005766808350120608,9.869596283668697e-06
15,0,1,15,0.0075844537588473475,0.007032325802582763,5.752393882009364e-05
16,0,2,16,0.013867546123574,0.015408362697992693,0.00019230883548945212
17,0,1,17,0.007584453758847067,0.011866195851368633,5.752393882008996e-05
18,0,0,18,0.007584453758846853,0.011440987952807338,5.752393882008624e-05
19,0,0,19,0.007584453758847157,0.012719688077256533,5.752393882009155e-05
20,0,2,20,0.00758445375884732,0.012012438399115134,5.752393882009323e-05
21,0,1,21,0.009424743078746696,0.012183035780726447,8.882578210038371e-05
22,0,2,22,0.009424743078747027,0.013285346681229783,8.882578210038996e-05
23,0,2,23,0.013076073051785054,0.02447015767201862,0.00017098368645561928
24,0,0,24,0.013867546123573927,0.01825470121457934,0.00019230883548945014
25,0,2,25,0.01330789259078057,0.01848318735235811,0.00017710000520775238
26,0,2,26,0.013307892590781075,0.015505356841413402,0.0001771000052077659
27,0,0,27,0.007024791042587834,0.01804125074739457,4.9347689192022435e-05
28,0,1,28,0.007584453758847063,0.014127709136443737,5.7523938820089375e-05
29,0,2,29,0.009424743078746507,0.005232018390483767,8.882578210038015e-05
30,0,1,30,0.01330789259078103,0.017223930930262886,0.00017710000520776463
31,0,0,31,0.007584453758847114,0.013705365972106765,5.7523938820090324e-05
32,0,2,32,0.013867546123574163,0.020615279732832587,0.0001923088354894569
33,0,2,33,0.007584453758847303,0.012092179031828066,5.752393882009289e-05
34,0,0,34,0.00758445375884709,0.010747085760606175,5.7523938820089755e-05
35,0,1,35,0.0031415913616618415,0.007720126142513021,9.869596283668312e-06
36,0,2,36,0.012027278728330402,0.015407954694232171,0.00014465543360894897
37,0,2,37,0.009424743078746821,0.011017528625881779,8.882578210038599e-05
38,0,1,38,0.011467621933768376,0.016666920411718533,0.00013150635281584524
39,0,1,39,0.013076073051785724,0.0194625617698054,0.00017098368645563714
40,0,0,40,0.00942474307874667,0.013285884661210506,8.882578210038327e-05
41,0,2,41,0.007584453758847274,0.012356366935733137,5.7523938820092926e-05
42,0,1,42,0.01330789259078106,0.013029322476929717,0.00017710000520776556
43,0,1,43,0.0031415913616618,0.006146159903891597,9.869596283668056e-06
44,0,2,44,0.009424743078746798,0.013224651778908322,8.882578210038569e-05
45,0,2,45,0.013307892590780674,0.01564122306246076,0.00017710000520775504
46,0,2,46,0.011467621933768704,0.02012379911332098,0.000131506352815853
47,0,2,47,0.013867546123574078,0.02128232640034866,0.00019230883548945432
48,0,0,48,0.009424743078746543,0.012801962682601243,8.882578210038085e-05
49,0,0,49,0.009424743078746436,0.014203001290409897,8.882578210037888e-05
50,0,2,50,0.009424743078746635,0.012007437921679152,8.882578210038268e-05
51,0,1,51,0.007584453758847394,0.013602496955043638,5.7523938820094315e-05
52,0,1,52,0.0031415913616618498,0.006431066897439789,9.869596283668424e-06
53,0,2,53,0.009424743078746536,0.017628510511327085,8.882578210038156e-05
54,0,2,54,0.007584453758847185,0.010729605616164019,5.7523938820090866e-05
55,0,0,55,0.013307892590780815,0.018423162676126273,0.00017710000520775892
56,0,0,56,0.0031415913616615874,0.00577658417416025,9.869596283666875e-06
57,0,2,57,0.00702479104258823,0.014524109916416629,4.934768919202819e-05
58,0,1,58,0.013307892590781032,0.023864895977061006,0.0001771000052077647
59,0,0,59,0.012027278728330074,0.018730918645160355,0.00014465543360894095
60,0,2,60,0.015707801777422883,0.020563047473479108,0.00024673503667880923
61,0,1,61,0.009424743078746297,0.017375654583901712,8.882578210037598e-05
62,0,0,62,0.0075844537588468505,0.012606533797300222,5.752393882008619e-05
63,0,2,63,0.015707801777422568,0.02135396603036404,0.0002467350366787998
64,0,1,64,0.013867546123573958,0.016573036419091924,0.00019230883548945117
65,0,1,65,0.007584453758847263,0.01429965798043846,5.752393882009246e-05
66,0,0,66,0.009424743078746675,0.010598760962084718,8.882578210038335e-05
67,0,0,67,0.013867546123573639,0.022333344366502972,0.00019230883548944236
68,0,1,68,0.015707801777421742,0.023484258638724845,0.0002467350366787736
69,0,2,69,0.009424743078746276,0.013832009579433781,8.882578210037584e-05
70,0,2,70,0.009424743078746496,0.014857542012578875,8.882578210038e-05
71,0,0,71,0.009424743078746712,0.01332340174652535,8.882578210038405e-05
72,0,0,72,0.01146762193376914,0.020811201966340762,0.0001315063528158631
73,0,1,73,0.013867546123573255,0.02035374995491535,0.00019230883548943155
74,0,2,74,0.01386754612357389,0.020129187507736124,0.0001923088354894492
75,0,0,75,0.012027278728330143,0.017112844581985143,0.00014465543360894277
76,0,0,76,0.009424743078746854,0.0077091252814077485,8.882578210038668e-05
77,0,2,77,0.013867546123574017,0.019453146232729323,0.0001923088354894526
78,0,1,78,0.012027278728330492,0.017253370388815872,0.00014465543360895122
79,0,0,79,0.013307892590781337,0.019553896145932906,0.00017710000520777285
80,0,0,80,0.012027278728329944,0.018826553036770766,0.00014465543360893794
81,0,2,81,0.01202727872833042,0.014541796013426223,0.00014465543360894944
82,0,0,82,0.00942474307874673,0.012558115401592056,8.882578210038443e-05
83,0,2,83,0.009424743078746316,0.011901203810537922,8.882578210037698e-05
84,0,2,84,0.009424743078746824,0.007452635230974738,8.882578210038621e-05
85,0,1,85,0.003141591361661811,0.006627821676149986,9.869596283668166e-06
86,0,1,86,0.009424743078746968,0.014116974621517812,8.882578210038889e-05
87,0,2,87,0.013307892590780943,0.021400794913276604,0.00017710000520776233
88,0,1,88,0.0031415913616615566,0.005902333051297115,9.86959628366652e-06
89,0,2,89,0.0070247910425879564,0.014653143890205977,4.934768919202445e-05
90,0,1,90,0.012027278728330319,0.01383233799561395,0.00014465543360894705
91,0,0,91,0.007584453758846946,0.013890232726778352,5.752393882008812e-05
92,0,1,92,0.0031415913616616086,0.0058198316684659294,9.869596283666852e-06
93,0,0,93,0.01570780177742231,0.021254061830158644,0.0002467350366787913
94,0,0,94,0.007584453758847176,0.010226340407246376,5.752393882009122e-05
95,0,0,95,0.007584453758847226,0.014487178824718432,5.752393882009242e-05
96,0,0,96,0.00942474307874704,0.012664138658778244,8.882578210039019e-05
97,0,1,97,0.013307892590781177,0.018158023540044393,0.0001771000052077687
98,0,1,98,0.009424743078746498,0.012354268460504969,8.882578210038003e-05
99,0,0,99,0.013867546123574164,0.020595238841026712,0.00019230883548945635
100,0,0,100,0.013307892590780952,0.023882841323446986,0.00017710000520776255
101,0,0,101,0.012027256803789271,0.02206110754834027,0.0001446549062242954
102,0,2,102,0.011467621933768936,0.018088938181731955,0.00013150635281585976
103,0,0,103,0.009424743078746576,0.010989155735155732,8.88257821003814e-05
104,0,1,104,0.013867546123573639,0.02063664836520368,0.00019230883548944215
105,0,0,105,0.00942474307874627,0.020378913423720293,8.882578210037573e-05
106,0,2,106,0.007584453758846988,0.015054087297111836,5.752393882008854e-05
107,0,1,107,0.01146762193376844,0.021525338650762324,0.00013150635281584749
108,0,0,108,0.009424743078746313,0.01450317628249111,8.882578210037655e-05
109,0,0,109,0.013307892590781384,0.01622261051151294,0.00017710000520777415
110,0,0,110,0.007584453758847294,0.007738484898883547,5.752393882009319e-05
111,0,2,111,0.013867546123573318,0.018601213807803947,0.00019230883548943317
112,0,1,112,0.009424743078746772,0.015592980797497848,8.882578210038526e-05
113,0,1,113,0.013307892590781328,0.017381327381698362,0.00017710000520777252
114,0,0,114,0.015707801777422568,0.020962526609251166,0.0002467350366787995
115,0,1,115,0.011467621933768853,0.02122950918746406,0.00013150635281585684
116,0,1,116,0.00942474307874645,0.004430086370067673,8.882578210037913e-05
117,0,1,117,0.007584453758846869,0.00683295674084943,5.7523938820086367e-05
118,0,1,118,0.00758445375884703,0.01273174317225963,5.752393882008885e-05
119,0,2,119,0.015707801777422724,0.019705960557924125,0.0002467350366788046
120,0,1,120,0.009424743078746753,0.010992109028428712,8.882578210038483e-05
121,0,1,121,0.007584453758847052,0.011608576740152947,5.7523938820089457e-05
122,0,0,122,0.012027278728330188,0.0204112873534229,0.0001446554336089439
123,0,0,123,0.011467621933768914,0.020079017352666182,0.0001315063528158579
124,0,1,124,0.013307892590780919,0.018743502408092874,0.0001771000052077616
125,0,1,125,0.007584453758847365,0.01102860797801784,5.7523938820093976e-05
126,0,1,126,0.011467621933768343,0.02017680451043975,0.00013150635281584494
127,0,0,127,0.007584453758846905,0.012199034989925195,5.7523938820086915e-05
128,0,0,128,0.0031415913616620245,0.006233724635214329,9.869596283669462e-06
129,0,2,129,0.003141591361661686,0.006955849310675815,9.86959628366733e-06
130,0,0,130,0.01570780177742278,0.022284842509239223,0.00024673503667880603
131,0,1,131,0.013307892590780697,0.023581901896930223,0.00017710000520775577
132,0,0,132,0.012027278728330617,0.012608076391588504,0.00014465543360895407
133,0,2,133,0.007584453758846999,0.012804543409001945,5.752393882008881e-05
134,0,2,134,0.012027278728330015,0.01801320150627882,0.0001446554336089397
135,0,1,135,0.0031415913616619703,0.008548678348526814,9.869596283669117e-06
136,0,1,136,0.009424743078746974,0.019378696872054645,8.88257821003898e-05
137,0,0,137,0.009424743078746932,0.015931497840329233,8.882578210038823e-05
138,0,0,138,0.012027278728330383,0.016261310045714773,0.00014465543360894851
139,0,2,139,0.013307892590781037,0.01635699558171018,0.00017710000520776493
140,0,1,140,0.00942474307874682,0.009631029458642179,8.88257821003861e-05
141,0,1,141,0.007024791042588293,0.01918681288854203,4.934768919202893e-05
142,0,2,142,0.013307892590780914,0.021227538787784436,0.00017710000520776154
143,0,2,143,0.009424743078746268,0.008774411138303656,8.882578210037566e-05
144,0,0,144,0.0031415913616618775,0.0064555288655519984,9.86959628366857e-06
145,0,0,145,0.009424743078746405,0.015754762098695835,8.882578210037825e-05
146,0,2,146,0.007584453758847055,0.01068530274217388,5.7523938820089226e-05
147,0,2,147,0.012027278728329892,0.011425345445484805,0.00014465543360893678
148,0,0,148,0.01330789259078101,0.019794876708950436,0.00017710000520776404
149,0,0,149,0.007584453758846821,0.011738268704270928,5.752393882008614e-05
150,0,2,150,0.009424743078746871,0.01235010046022131,8.882578210038697e-05
151,0,1,151,0.009424743078746496,0.014604859054937682,8.882578210038e-05
152,0,1,152,0.009424743078746856,0.013631133089374182,8.882578210038808e-05
153,0,0,153,0.013867546123573425,0.0208305860644166,0.0001923088354894364
154,0,1,154,0.01386754612357406,0.013417734287188798,0.00019230883548945402
155,0,1,155,0.0031415913616618554,0.004470727251660821,9.86959628366845e-06
156,0,1,156,0.0138675461235739,0.012889699611376395,0.00019230883548944944
157,0,2,157,0.009424743078746965,0.018666178085048668,8.882578210038854e-05
