,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,1,0,0,0.0031415913616617036,0.005752779459784474,9.869596283667436e-06
1,1,0,1,0.00314159136166156,0.0004989679980007544,9.869596283666537e-06
2,0,0,2,0.0031415913616618003,0.005165220685507732,9.869596283668044e-06
3,0,0,3,0.003141591361661763,0.005963933862981108,9.86959628366781e-06
4,1,0,4,0.0031415913616615497,0.005625360140337432,9.869596283666469e-06
5,0,0,5,0.0031415913616618133,0.005825244885088399,9.869596283668126e-06
6,0,0,6,0.003141591361661731,0.006192824265769226,9.86959628366761e-06
7,1,0,7,0.0031415913616615197,0.0008610694663857554,9.869596283666283e-06
8,0,0,8,0.0031415913616617747,9.19729602710806e-05,9.869596283667882e-06
9,0,0,9,0.003141591361661785,0.0003642988666083813,9.869596283667948e-06
10,0,0,10,0.0031415913616617986,0.006020170060340835,9.869596283668033e-06
11,0,0,11,0.0031415913616616195,0.005901312584584151,9.86959628366691e-06
12,1,0,12,0.00314159136166153,0.00026381421289278784,9.869596283666347e-06
13,0,0,13,0.003141591361661815,0.005851486400524575,9.869596283668136e-06
14,1,0,14,0.003141591361661671,0.005786890273856593,9.86959628366723e-06
15,1,0,15,0.0031415913616617878,0.006144408576412519,9.869596283667966e-06
16,1,0,16,0.0031415913616618047,0.0058785278110216055,9.869596283668068e-06
17,0,0,17,0.0031415913616616078,0.006206604610404565,9.869596283666835e-06
18,1,0,18,0.003141591361661503,0.0038581683721976567,9.869596283666174e-06
19,0,0,19,0.003141591361661788,0.00048208040370134597,9.869596283667968e-06
20,1,0,20,0.003141591361661771,0.00403935994028104,9.869596283667858e-06
21,1,0,21,0.003141591361661582,0.00513833219220583,9.869596283666672e-06
22,0,0,22,0.003141591361661741,0.003207262446945469,9.869596283667672e-06
23,0,0,23,0.0031415913616618524,0.004319695961261916,9.869596283668373e-06
24,0,0,24,0.003141591361661523,0.004941816944167954,9.869596283666301e-06
25,0,0,25,0.003141591361661752,0.00626923321552697,9.869596283667741e-06
26,0,0,26,0.00314159136166172,0.005861527307995162,9.869596283667541e-06
27,1,0,27,0.0031415913616617466,0.006093844241258695,9.869596283667706e-06
28,0,0,28,0.003141591361661787,5.224314802521057e-05,9.869596283667958e-06
29,1,0,29,0.0031415913616615766,0.004038759918609358,9.869596283666638e-06
30,1,0,30,0.003141591361661754,0.0014104446106755208,9.869596283667751e-06
31,0,0,31,0.003141591361661567,0.00036010001721109575,9.86959628366658e-06
32,1,0,32,0.0031415913616617682,0.005658391172478572,9.869596283667844e-06
33,0,0,33,0.0031415913616619014,0.0030758459620991996,9.86959628366868e-06
34,1,0,34,0.0031415913616615774,0.003844137209401355,9.869596283666643e-06
35,0,0,35,0.003141591361661651,0.005343261619227935,9.869596283667108e-06
36,0,0,36,0.0031415913616617574,0.005806695000233564,9.869596283667775e-06
37,1,0,37,0.0031415913616614937,0.0052101508072124325,9.869596283666118e-06
38,1,0,38,0.0031415913616617687,0.006271577475371354,9.869596283667844e-06
39,0,0,39,0.003141591361661708,0.006205657776619522,9.869596283667467e-06
40,0,0,40,0.0031415913616615163,0.005925541353646646,9.869596283666257e-06
41,1,0,41,0.003141591361661848,0.005167854358614665,9.869596283668344e-06
42,1,0,42,0.00314159136166184,0.0058645812048936374,9.869596283668292e-06
43,1,0,43,0.003141591361661609,0.004293051064559128,9.869596283666842e-06
44,1,0,44,0.003141591361661769,0.0026141374533186212,9.86959628366785e-06
45,0,0,45,0.003141591361661744,0.005810843887901096,9.86959628366769e-06
46,0,0,46,0.0031415913616618155,0.005836233014942516,9.86959628366814e-06
47,1,0,47,0.0031415913616617713,0.0014213922139960644,9.869596283667863e-06
48,0,0,48,0.0031415913616615328,0.003332475439094873,9.869596283666362e-06
49,1,0,49,0.0031415913616617192,0.005235584838024554,9.869596283667534e-06
50,1,0,50,0.0031415913616617153,0.005189939098708463,9.869596283667507e-06
51,1,0,51,0.0031415913616616034,0.0058438075926583455,9.869596283666808e-06
52,1,0,52,0.003141591361661572,0.00020186173951808328,9.869596283666606e-06
53,0,0,53,0.003141591361661639,0.0005658967540969062,9.86959628366703e-06
54,1,0,54,0.0031415913616617804,0.003542027174660012,9.86959628366792e-06
55,1,0,55,0.003141591361661553,0.005182105345143961,9.869596283666493e-06
56,1,0,56,0.003141591361661763,0.003919518293619584,9.86959628366781e-06
57,1,0,57,0.0031415913616618333,0.004092241124043827,9.869596283668251e-06
58,1,0,58,0.0031415913616617873,0.0001921925360275356,9.869596283667961e-06
59,0,0,59,0.003141591361661836,0.005674084912059674,9.869596283668268e-06
60,1,0,60,0.0031415913616617687,0.0006753575239091258,9.869596283667841e-06
61,0,0,61,0.0031415913616616277,0.0033605052755416587,9.869596283666958e-06
62,0,0,62,0.0031415913616617713,0.006209236879143876,9.869596283667863e-06
63,0,0,63,0.0031415913616618775,0.001876392568209484,9.869596283668527e-06
64,0,0,64,0.0031415913616617275,0.003680481567607252,9.869596283667585e-06
