,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,1,0,0,0.1082615864902822,0.11394648269340862,0.011720571109392846
1,1,1,1,0.09201596128110102,0.12369580262252255,0.008466937130485082
2,0,0,2,1.9998965821006929,3.7171701846687704,0.018488734251598936
3,0,0,3,0.09071176194542112,0.09759800256392209,0.008228623755242755
4,0,0,4,0.09069551686163967,0.13262202990161476,0.008225676778799967
5,1,1,5,0.16682029586148997,0.21917881502671477,0.02786948021349643
6,1,1,6,1.998740424241343,6.371935244163765,0.0073906726306739905
7,0,1,7,0.1455313451177889,0.17183400827486603,0.021180470688756326
8,1,1,8,0.1505008254596204,0.21931572558381682,0.022666143758336612
9,0,0,9,0.08599989014009908,0.14196692520110868,0.007396177220529236
10,0,1,10,0.08526821701441822,0.07291799147500179,0.007273158324039416
11,1,0,11,0.1279199303156639,0.18932671861308814,0.01637721911682942
12,1,1,12,0.09759258080138797,0.12517772079233142,0.00952727799630642
13,0,1,13,0.11318268116433894,0.10958555532056853,0.012810319315548395
14,1,1,14,0.15757079831623663,0.25483762821755895,0.024843548220841
15,0,0,15,0.08722441402773519,0.12650223144970232,0.007608098402481761
16,0,1,16,0.13478649713581056,0.22168108083617735,0.018167399810141874
17,0,0,17,0.13045030170976193,0.1259670920763967,0.01703329566921159
18,1,0,18,1.9984751095839162,2.326796390258577,0.024661645240629006
19,1,1,19,0.11460126823822568,0.18830079648884707,0.013133450681809752
20,1,1,20,0.09185916828899963,0.11269447581160295,0.008438106798746755
21,1,0,21,0.08657925221017193,0.08427799189986436,0.0074986929065327295
22,1,0,22,0.15147993574061658,0.12990182877153084,0.022968644437151728
23,0,1,23,0.07582292628693758,0.035427927054286726,0.005749116150714369
24,1,1,24,0.1324769820728435,0.18034196778533204,0.0175606508649776
25,0,1,25,0.09928736284505789,0.16578337206685945,0.009857980420726184
26,1,0,26,0.10918537548818943,0.07927999276099786,0.011921446220496922
27,0,0,27,0.0702244617721519,0.0700583750962889,0.004931475031188423
28,1,1,28,0.10837878597285924,0.17255007913969178,0.011745961248950835
29,0,0,29,0.11212339674597115,0.12313900903100085,0.01257165609785446
30,0,0,30,0.06891248193091148,0.08597087637066896,0.004748930165878204
31,1,1,31,0.1146012682382258,0.1370010261649719,0.013133450681809782
32,0,1,32,0.10434810680462361,0.1388239525622749,0.010892311243904426
33,0,0,33,0.07582292628693772,0.04744711988126638,0.005749116150714393
34,0,1,34,0.0936222744001295,0.1305538590908437,0.008765130263853144
35,0,0,35,0.14908089544146896,0.206223769386959,0.02225112975656342
36,0,0,36,1.9998334152162422,1.6606604849847768,0.013133450681809777
37,0,1,37,0.1460343582574815,0.1759395832942534,0.021339038633448274
38,1,0,38,0.10511530375060348,0.1311272531050581,0.011049227082581633
39,0,1,39,0.13246602486210682,0.06622296057151522,0.017563222963368725
40,0,1,40,0.09853415251075456,0.1601099311579131,0.009708985212989494
41,1,0,41,0.07022446177215205,0.12418058193516346,0.004931475031188445
42,0,0,42,0.07582292628693792,0.08567544202648178,0.005749116150714425
43,0,1,43,0.13589334385198076,0.1724449706437104,0.018471061946514104
44,1,0,44,0.11465366255792998,0.19382628923052542,0.013145462337947679
45,1,0,45,0.14225656066517026,0.22861036609772192,0.020254381599056168
46,1,0,46,0.12338182260177416,0.15620804353986867,0.015230689072160176
47,1,1,47,1.9997403766495723,4.428601007783053,0.00976387774544045
48,0,1,48,0.04156594676388997,0.04969232448122562,0.0017277279303785354
49,0,1,49,0.11448983866588805,0.12464275897823666,0.013107923157741072
50,0,0,50,0.10188768215298585,0.05626010159562467,0.01038358594026629
51,1,0,51,0.14582861835481262,0.13174529147326755,0.021277473843821795
52,0,0,52,0.13053299770224724,0.16099214973601692,0.017053567977603032
53,1,1,53,0.07022446177215189,0.06318580539397887,0.004931475031188421
54,1,0,54,1.9998665975658878,3.4241060093936313,0.005419427713927663
55,0,1,55,0.09421290141928515,0.11038735181628861,0.008876070793839943
