,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,0,3,0,0.012566287931117456,0.02868813797398556,0.00015791159236774836
1,1,0,1,0.018849276866287828,0.03663738843704886,0.00035529523838197344
2,1,0,2,0.012566287931117758,0.021679045496729683,0.00015791237162863004
3,1,3,3,0.01884927686628731,0.028784697157550596,0.00035529757608861797
4,1,1,4,0.018849276866286863,0.03886877281481482,0.0003552952383819411
5,0,0,5,0.01256628793111768,0.02145086665157234,0.00015791159236775375
6,1,2,6,0.006283174971759111,0.01691812735660774,3.947828772574032e-05
7,1,3,7,0.01256628793111759,0.020803479061988255,0.00015791159236775356
8,0,2,8,0.012566287931117644,0.02429379525039721,0.00015791159236775446
9,1,1,9,0.012566287931117626,0.0279705828235755,0.00015791315090680114
10,1,0,10,0.006283174971758944,0.01688669402338637,3.947828772573849e-05
11,0,0,11,0.012566287931117442,0.02865549576505707,0.0001579115923677502
12,1,0,12,0.012566287931118124,0.020688577330327355,0.000157911592367765
13,0,1,13,0.00628317497175943,0.016925345669898423,3.947828772574412e-05
14,1,0,14,0.012566287931117822,0.02161946940752805,0.0001579115923677574
15,0,3,15,0.012566287931118096,0.03401782869626224,0.00015791159236776652
16,1,1,16,0.012566287931118093,0.021938781188529637,0.0001579115923677642
17,0,1,17,0.01256628793111791,0.02168178289631762,0.00015791159236775972
18,0,3,18,0.012566287931117727,0.027346625337126354,0.00015791315090680244
19,0,2,19,0.012566287931117248,0.021732060376841163,0.00015791237162861592
20,0,3,20,0.012566287931117822,0.022338012970628776,0.00015791237162863017
21,1,1,21,0.018849276866287915,0.03303176763711913,0.0003552975761117117
22,0,1,22,0.018849276866287984,0.030100037628646943,0.00035529523835890737
23,1,1,23,0.0188492768662878,0.0324306520214372,0.0003552975761117103
24,1,1,24,0.012566287931117444,0.022307934932970855,0.00015791159236774784
25,0,1,25,0.018849276866287686,0.03720681784633253,0.0003552952383819677
26,0,3,26,0.012566287931117769,0.024688826455171772,0.00015791315090680328
27,1,2,27,0.006283174971759069,0.016558739443880297,3.947828772573991e-05
28,1,3,28,0.006283174971759309,0.01638882630745444,3.9478287725742534e-05
29,1,1,29,0.018849276866288036,0.03026324611713275,0.0003552975761117161
30,1,3,30,0.012566287931117765,0.021522111466839845,0.00015791159236775595
31,0,2,31,0.012566287931117127,0.027186969030760913,0.00015791159236773998
32,0,2,32,0.012566287931118051,0.023253164788467354,0.00015791159236776503
33,0,3,33,0.018849276866287953,0.03169741691251124,0.0003552964072343462
34,0,2,34,0.0125662879311176,0.023664815513825377,0.00015791159236775183
35,1,2,35,0.018849276866287852,0.031410066579396365,0.0003552964072343471
36,0,0,36,0.01884927686628755,0.037565862843920245,0.00035529523838196255
37,1,2,37,0.012566287931118032,0.025036456722814376,0.00015791159236776272
38,0,1,38,0.012566287931117946,0.022040837640539324,0.0001579123716286331
39,1,1,39,0.0062831749717593395,0.013362767067435707,3.9478287725743076e-05
40,1,2,40,0.012566287931117852,0.026078050255831778,0.00015791315090680697
41,0,3,41,0.01256628793111815,0.028333326452783296,0.00015791159236776644
42,1,0,42,0.012566287931117423,0.022971691588198305,0.00015791159236774746
43,0,0,43,0.01256628793111738,0.022346687804558906,0.00015791159236774638
44,1,3,44,0.01256628793111809,0.02457077160838523,0.00015791159236776424
45,1,0,45,0.018849276866287387,0.029921569857175184,0.0003552975761116943
46,1,0,46,0.01884927686628764,0.031508603007665816,0.0003552964072343379
47,0,0,47,0.012566287931118006,0.027185445292965495,0.00015791237163632316
48,0,2,48,0.012566287931117465,0.02266273234321743,0.00015791159236774836
49,1,1,49,0.01884927686628773,0.032832101600109506,0.00035529523838197
50,1,0,50,0.006283174971758893,0.015352400920803578,3.9478287725737486e-05
51,0,3,51,0.01884927686628778,0.02991682995039532,0.0003552975761117095
52,1,3,52,0.006283174971759351,0.01498992565840785,3.9478287725743103e-05
53,1,2,53,0.012566287931117982,0.025401973296675203,0.00015791159236776175
54,1,2,54,0.012566287931117455,0.02747504030292481,0.00015791159236775042
55,0,1,55,0.012566287931117862,0.02960840742529875,0.00015791159236775847
56,0,0,56,0.00628317497175914,0.016473676100804857,3.94782877257404e-05
57,1,1,57,0.01884927686628774,0.03278465857215396,0.0003552964072343403
58,0,3,58,0.012566287931117586,0.02237690952708321,0.00015791159236775148
59,0,3,59,0.012566287931117963,0.028763684399863307,0.00015791159236776094
60,1,2,60,0.012566287931118029,0.0211863095892376,0.00015791237162863337
61,1,3,61,0.006283174971758566,0.015835803621193002,3.947828772573412e-05
62,0,1,62,0.006283174971759337,0.01663330353754501,3.947828772574294e-05
63,0,3,63,0.006283174971758993,0.014375504265954547,3.947828772573952e-05
64,0,3,64,0.018849276866287668,0.03804910164632239,0.0003552952383819674
65,1,2,65,0.01256628793111776,0.02150648085625712,0.00015791159236775595
66,0,0,66,0.01256628793111762,0.028182224942261597,0.0001579123716363138
67,0,0,67,0.006283174971758936,0.016169539435155145,3.947828772573827e-05
68,1,1,68,0.018849276866287443,0.030484522405596043,0.0003552975761116961
69,0,0,69,0.012566287931117746,0.021526125878170592,0.00015791159236775557
70,1,1,70,0.018849276866288102,0.031135684557926098,0.00035529757611172015
71,0,2,71,0.012566287931118558,0.029669756800561428,0.00015791159236777582
72,1,2,72,0.012566287931117283,0.021391925719880103,0.00015791159236774375
73,1,0,73,0.012566287931118029,0.027145860784993973,0.0001579115923677628
74,1,0,74,0.006283174971759013,0.01577235441727707,3.9478287725739776e-05
75,1,1,75,0.018849276866288126,0.03217501420138804,0.00035529640723435714
76,0,1,76,0.012566287931117966,0.032965014912227225,0.0001579123716440155
77,0,0,77,0.01256628793111756,0.023464806609611113,0.00015791159236775083
78,0,2,78,0.012566287931117531,0.02741588158803876,0.0001579115923677497
79,1,3,79,0.018849276866288026,0.030645730549136982,0.0003552964072343532
80,1,3,80,0.018849276866287106,0.03560937419778484,0.00035529523838194623
81,0,0,81,0.01256628793111809,0.028041750754449153,0.00015791159236776568
82,1,0,82,0.0125662879311175,0.020232160615089666,0.0001579115923677494
83,1,2,83,0.01884927686628747,0.0366629102059297,0.0003552952383819602
84,0,1,84,0.012566287931118025,0.02843364258660549,0.00015791159236776291
85,0,0,85,0.012566287931118235,0.0326959871947248,0.0001579115923677679
86,0,2,86,0.012566287931117462,0.026250813294335408,0.0001579115923677483
87,1,1,87,2.0,6.961717962988933,0.00035529757611171337
88,1,1,88,0.012566287931117803,0.020453798064540965,0.00015791159236775695
