,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,2,1,0,0.07244562232436133,0.0627471493204571,0.0052483681939640035
1,0,0,1,0.08216163934178718,0.11358034777797585,0.006750534979329916
2,1,2,2,0.04989871293222805,0.06962015803169805,0.002489881552292902
3,2,2,3,0.10121956479832298,0.17407239006659203,0.010245400297961903
4,1,2,4,0.0850201833573626,0.10857941567305233,0.007228431578119547
5,1,2,5,0.050825409127724826,0.055884251886841235,0.0025832222130006137
6,1,2,6,0.06282151815625618,0.12646207850559749,0.003946543143456829
7,2,1,7,0.05082540912772484,0.11451415389593092,0.002583222213000614
8,1,0,8,0.08194943228189498,0.0989929609482617,0.006715709451324895
9,1,0,9,0.08136904808158321,0.10206656599014076,0.006620921985703
10,0,2,10,0.07302860133336171,0.0933079619753504,0.005333176612707083
11,1,0,11,0.08222362803575527,0.0600101503397657,0.006760725007362238
12,0,1,12,0.05964847848184876,0.07584934226348336,0.0035579409851995755
13,0,2,13,0.06474808181072517,0.10750906398845332,0.0041923140981683605
14,1,0,14,0.05362345765701426,0.08499855288056934,0.0028754752110936002
15,1,0,15,0.06493811186680502,0.07831057370616057,0.004216958372825682
16,1,2,16,0.05082540912772486,0.11592610400227907,0.0025832222130006176
17,0,1,17,0.03141463462364124,0.04277660161812774,0.0009868792685368791
18,2,0,18,0.022213501170874454,0.03589780739666079,0.0004934396342684409
19,2,1,19,0.0930812700048167,0.12214615192401572,0.008664122825709594
20,2,2,20,0.051850768928451245,0.123737141607567,0.0026885022384716428
21,2,0,21,0.06916823063259557,0.09339448740625701,0.004784244128843934
22,0,1,22,0.10720836015295077,0.2521924207956476,0.011493632486684804
23,0,2,23,0.05902817843451559,0.09296255753671889,0.0034843258492970085
24,1,0,24,0.06282151815625651,0.07341464933917714,0.003946543143456868
25,1,2,25,0.07306910814413471,0.09370277165223986,0.0053390945649792534
26,0,1,26,0.09421290141928484,0.09985221335581666,0.008876070793839883
27,0,2,27,0.0743122421307448,0.0897495528958028,0.005522309330498442
28,1,1,28,0.10060042585991334,0.1338211253918166,0.010120445683195933
29,0,0,29,0.0628215181562566,0.10264926127380211,0.0039465431434568795
30,2,2,30,0.0222135011708746,0.03143145378815236,0.0004934396342684495
31,0,1,31,0.08222362803575521,0.0962294720472741,0.006760725007362228
32,1,2,32,0.0536234576570144,0.09844279200163997,0.002875475211093618
33,0,0,33,0.050825409127724853,0.07908660500591563,0.002583222213000619
34,1,0,34,0.05362345765701435,0.0673807788597911,0.0028754752110936115
35,1,1,35,0.06282151815625626,0.10609745797314644,0.003946543143456838
36,0,1,36,0.08675640571366579,0.16447211107270113,0.00752667393235418
37,0,0,37,0.0536234576570145,0.07227095587680762,0.002875475211093628
38,0,1,38,0.04290984818056695,0.06879941140790485,0.0018412550708793033
39,2,1,39,0.1019604043364292,0.10593880435430905,0.010395924052448125
40,0,2,40,0.05633100141940553,0.11274045932446916,0.0031731817209130686
41,2,1,41,0.08081121704487639,0.14535538275380777,0.00653045280027412
42,0,1,42,0.08222362803575523,0.1457798794376408,0.00676072500736223
43,1,1,43,0.05362345765701397,0.06469281255995799,0.002875475211093571
44,0,2,44,0.05844601433550705,0.08916915674440132,0.003415936591706297
45,0,1,45,0.0658843424513522,0.11164246458283893,0.004340746580247052
46,2,1,46,0.08049468718404007,0.11614048517615747,0.006479394664856468
47,2,2,47,0.0843677728447423,0.0973434472992967,0.007117921094782042
48,2,0,48,0.041618054332545354,0.06551300430339016,0.0017320624464266972
49,1,2,49,0.05362345765701427,0.06730984911163868,0.002875475211093605
50,1,1,50,0.06324579847296152,0.07364589524518146,0.00400003102448246
51,1,1,51,0.0536234576570144,0.04711824643100143,0.0028754752110936154
52,0,0,52,0.05964847848184882,0.07669020371221791,0.0035579409851995815
53,2,2,53,0.04442152149272273,0.13070679187132758,0.001973271571728424
54,2,1,54,0.08102062704274869,0.1406943766937892,0.006564342006400179
55,1,0,55,0.04291013244612957,0.05941832063676411,0.0018412794665443812
56,2,1,56,0.09954630563056985,0.11998122117325641,0.009909466964694828
57,1,1,57,0.08222362803575554,0.11430937395849804,0.006760725007362287
58,0,2,58,0.06347586867805309,0.11687474588044593,0.0040291859044334416
59,0,1,59,0.050825409127724784,0.07271209040010485,0.0025832222130006107
60,2,1,60,0.08044933688926824,0.16179034148673554,0.006472095805922973
61,1,1,61,0.09929033315107043,0.08049059598507419,0.009858570257250553
62,0,0,62,0.07582292628693765,0.14695503542979485,0.005749116150714386
63,2,2,63,0.05082540912772475,0.057523675144436556,0.002583222213000606
64,2,1,64,0.10370677502623783,0.1681254869170463,0.010755095186342704
65,0,2,65,0.04312182798112436,0.09256480726051272,0.0018594920484336812
66,0,1,66,0.06282151815625633,0.09004423636042044,0.003946543143456846
67,1,2,67,0.03141463462364116,0.04716905182070774,0.000986879268536874
68,2,1,68,0.061065998243495755,0.08684785479009814,0.0037290561414746273
69,1,0,69,1.9999788309806752,3.7028436767983823,0.002875475211093617
70,2,0,70,0.04104266647503845,0.053836956805368666,0.0016845004713812448
71,0,1,71,0.08222362803575523,0.09794325300729209,0.006760725007362234
72,2,0,72,0.09206929430656788,0.14150839618608219,0.008476754954109407
73,2,2,73,0.06981997391819669,0.0784556869333023,0.004874828757937665
74,0,0,74,0.09421290141928501,0.13605275002769557,0.008876070793839919
75,1,2,75,0.08125498847465408,0.1282511970442536,0.006602373152016171
