,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,0,1,0,0.06282151815625653,0.5026031496141556,0.003946543143456866
1,2,1,1,0.06282151815625606,0.3769601133016425,0.00394654314345681
2,0,1,2,0.06282151815625618,0.5026031496141544,0.003946543143456824
3,2,2,3,0.06282151815625661,0.502603149614157,0.0039465431434568795
4,2,1,4,0.09421290141928507,0.7538272211608334,0.008876070793839926
5,1,0,5,2.0,31.994078602632413,0.003946543143456895
6,1,0,6,0.06282151815625665,0.3769601133016451,0.0039465431434568855
7,0,2,7,0.09421290141928527,1.0050822894217593,0.008876070793839964
8,1,3,8,0.06282151815625654,0.5026031496141564,0.00394654314345687
9,2,3,9,0.03141463462364145,0.5026341539782593,0.0009868792685368943
10,1,0,10,0.06282151815625636,0.5026031496141545,0.0039465431434568465
11,1,2,11,0.0628215181562566,0.502603149614159,0.003946543143456878
12,1,0,12,0.06282151815625668,0.5026031496141588,0.003946543143456887
13,1,3,13,0.09421290141928491,0.7537962167967306,0.00887607079383989
14,0,1,14,0.06282151815625656,0.5025721452500518,0.003946543143456869
15,0,3,15,0.06282151815625667,0.5026031496141568,0.003946543143456886
16,2,2,16,0.09421290141928482,0.7537962167967303,0.008876070793839879
17,2,1,17,0.06282151815625633,0.5026031496141568,0.003946543143456845
18,1,2,18,0.06282151815625643,0.7538892222391802,0.003946543143456856
19,0,1,19,0.09421290141928511,1.0050202883434103,0.008876070793839935
20,0,2,20,0.06282151815625717,0.5025721452500563,0.003946543143456948
21,1,0,21,0.06282151815625656,0.5026031496141572,0.003946543143456869
22,1,3,22,0.06282151815625663,0.5026031496141569,0.003946543143456881
23,0,2,23,0.06282151815625629,0.5026031496141552,0.003946543143456843
24,1,1,24,0.09421290141928507,0.7538272211608338,0.008876070793839926
25,2,0,25,0.03141463462364152,0.25131707698913264,0.0009868792685368962
26,0,2,26,0.09421290141928489,0.7537962167967291,0.008876070793839891
27,0,1,27,0.03141463462364147,0.2513170769891323,0.0009868792685368936
28,0,2,28,0.03141463462364165,0.2513170769891331,0.0009868792685369047
29,2,0,29,0.06282151815625632,0.5026031496141548,0.003946543143456839
30,1,0,30,0.0628215181562565,0.5026031496141572,0.003946543143456866
31,0,0,31,0.09421290141928525,0.6281996832054437,0.008876070793839955
32,0,2,32,0.06282151815625654,0.5026031496141575,0.003946543143456872
33,0,1,33,0.031414634623641406,0.25131707698913175,0.0009868792685368893
34,0,3,34,0.06282151815625653,0.37696011330164403,0.003946543143456867
35,2,0,35,0.06282151815625632,0.502603149614156,0.003946543143456841
36,2,0,36,0.06282151815625649,0.5026031496141575,0.003946543143456865
37,2,2,37,0.03141463462364156,0.5026341539782619,0.0009868792685368973
38,2,1,38,0.09421290141928518,0.753827221160835,0.00887607079383995
39,0,1,39,0.09421290141928489,0.6281996832054455,0.008876070793839891
40,0,1,40,0.03141463462364152,0.2513170769891328,0.0009868792685368962
