,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,1,1,0,0.14479833446660395,0.15864564485703522,0.020966557664302506
1,3,0,1,0.10235773086650862,0.09253569372261113,0.010477105068140615
2,3,1,2,0.089663656722074,0.21608072371295187,0.008039571336773924
3,2,0,3,0.17015092741414117,0.4237524251420078,0.02895133809989235
4,2,0,4,0.19694586351356552,0.30696370050701427,0.03878767315510398
5,2,0,5,0.16034657078359074,0.2009746025329505,0.025711022762057077
6,0,1,6,0.18335134862105584,0.27093913827860194,0.03361771704115997
7,0,0,7,0.12173576419481762,0.2606491915231012,0.014819596284096246
8,0,1,8,0.1350409700063604,0.2054154594312337,0.018236063580258723
9,1,1,9,0.1377602212459941,0.07418011258441974,0.018977878557745242
10,0,0,10,1.999562486776507,1.4869304377852544,0.01538169732084114
11,3,1,11,0.20322061092011337,0.243735572470687,0.04129861670274409
12,1,1,12,0.2714264388557265,0.4359499215655061,0.07367231170990146
13,2,1,13,0.11346871558647027,0.2578159026266417,0.012875149416843276
14,2,1,14,0.26672804628263125,0.35095988285625324,0.07114385067374947
15,0,1,15,0.11440353143516241,0.14500945839330034,0.013088168004836193
16,0,0,16,0.1877517260467339,0.2592930433221486,0.03525071063352782
17,2,0,17,0.15941605995852928,0.2171623088843557,0.025413480172701394
18,1,1,18,0.15804433365374362,0.13937917452890133,0.024978011400055827
19,2,0,19,0.17514087253000651,0.318469921929773,0.030674325230571977
20,0,0,20,0.19872372647954145,0.27824241503502073,0.039491119465915596
21,0,1,21,0.12965416638985988,0.19723167278624443,0.016810202862249476
22,3,1,22,0.22768922963349908,0.40041143026566095,0.051842385291096256
23,1,1,23,1.999309234463522,4.117891319360632,0.024968398587700634
24,3,0,24,0.1230239075190529,0.19114218867105098,0.015134881821256484
25,1,0,25,0.24926332811581386,0.22540650363414472,0.06213220674337183
26,2,1,26,0.24317147406959658,0.16989805718624135,0.059132365801180434
27,2,0,27,0.21678395764492517,0.2683518339173933,0.04699528429219674
28,3,0,28,0.16192598832366917,0.28613274102743497,0.026220025694597044
29,3,1,29,0.21284975069236994,0.4384671070854923,0.04530501636980401
30,0,1,30,0.18573094280502805,0.22001340431527044,0.03449598311524458
31,1,0,31,0.16182829189534692,0.2506918107273585,0.026188396057765604
32,3,0,32,0.16446449140060712,0.21269992797901535,0.027048568931660376
33,1,1,33,0.13394080573022463,0.11411550279249529,0.01794013943966176
34,0,1,34,0.18263383482908227,0.18577293038733347,0.03335511762437654
35,0,1,35,0.26190062716582974,0.2857050658758227,0.06859193850985497
36,1,1,36,0.17341963615147712,0.18156884371194199,0.03007437020291071
37,3,0,37,0.13626605311305295,0.2018671103204513,0.018568437231009375
38,0,1,38,0.19782161352655264,0.33602019561078733,0.03913339077824874
39,0,1,39,0.2251925706263548,0.19560531707133566,0.0507116938653058
40,1,0,40,0.050868734685578176,0.07669346849433487,0.0025876281685117434
41,0,0,41,1.9999928420990003,6.9997874239841735,0.003885027246798744
42,0,1,42,0.16692383925814916,0.26436708519095964,0.02786356811268041
43,0,1,43,1.9995908625094623,3.1215151516532726,0.024473567031138944
44,3,1,44,1.9996283710173839,4.217027456048568,0.011707087038092524
45,2,0,45,0.12269049744812913,0.19220838818811445,0.015052958164069373
46,2,0,46,0.12729979663581056,0.1653882129604509,0.01620523822351872
47,3,0,47,1.9994751596191431,6.794639457407434,0.02410963530141234
48,1,1,48,0.17566365009039261,0.3746284405839636,0.030857717963079893
49,0,1,49,0.15545443822080696,0.2312031376616992,0.02416608236254669
50,1,1,50,0.13653660769351367,0.16128908383467808,0.018642245240452437
51,0,1,51,1.996650768693166,3.214183206963214,0.03517867145517628
52,1,0,52,0.21570590902934902,0.24590147143042249,0.04652903919017778
53,1,0,53,0.1862728235509905,0.15972718385455037,0.03469756479365845
54,0,0,54,0.07225018712217511,0.15077476980827834,0.0052200895391893145
55,2,1,55,0.11545390781302776,0.15473792107946632,0.013329604829299114
56,2,1,56,0.24094219050777016,0.3176460072303868,0.0580531391666826
57,1,1,57,0.11995856352180234,0.09067775500886785,0.014390056962214287
58,0,0,58,1.9985668224343618,3.97227303836456,0.021688974725647403
59,3,0,59,0.18723820930863658,0.1869364116756039,0.035058147025104784
60,2,1,60,0.11472161937073101,0.10073141242518474,0.01316104995104289
61,2,0,61,0.14070156673031292,0.18664277268642665,0.019796930880364695
62,3,0,62,0.2377619386537488,0.2237761186307451,0.05653073947238901
63,0,1,63,1.997913845129186,2.277091631727952,0.02514831318764371
64,0,0,64,0.07781225425460613,0.08987055712214562,0.006054746912183473
65,3,0,65,0.14443292593158927,0.20832344674777126,0.02086087009315994
66,2,0,66,0.19904112735412852,0.25230316210328674,0.039617370378402406
67,1,1,67,0.19507493591328104,0.1912251964461406,0.038054230621570664
68,2,0,68,0.20094490871545898,0.27690103641034164,0.040378856338664136
69,1,0,69,0.15509786846883866,0.2435858629066762,0.02405534880357718
70,1,1,70,0.10164363756515911,0.16745333831262063,0.010331429057477427
71,2,1,71,0.182494426671323,0.34276918530229,0.033304215766094894
72,1,0,72,0.0892495703386781,0.09302834860381809,0.00796548580563865
73,0,0,73,0.13176103028310648,0.20685819749899356,0.017360969101265687
74,1,1,74,0.2208439435286733,0.4150641329680995,0.04877204739329585
75,2,1,75,0.21743457873515432,0.15319453782162942,0.047277796029734025
76,2,0,76,0.237257956856305,0.14620653246673332,0.056291338091628264
77,3,0,77,1.999997386872508,2.044674106747116,0.014162020451912807
78,2,1,78,0.21960861459849967,0.24603435136125418,0.04822794360587231
79,1,1,79,0.13829910432287118,0.26186697222539157,0.019126642256508408
80,3,0,80,0.11592990538656921,0.24093891273542825,0.013439742962938882
81,2,0,81,0.17899423840392845,0.21376179799350853,0.032038937381802385
82,1,1,82,0.07924282875270129,0.07723496520883263,0.006279425908729938
83,2,1,83,0.13515347648430312,0.17097642520395095,0.018266462205793057
84,1,1,84,0.1994269287509115,0.34340580966315337,0.03977109991102111
85,2,1,85,0.1611517348830934,0.2896816597682722,0.025969881655830807
86,2,0,86,0.12974384854810417,0.14409563646929913,0.016833466236073395
87,2,0,87,0.14762056388807673,0.24577789925008692,0.02179183088263375
88,0,0,88,0.09863068517988391,0.12843650134718598,0.009728012059053362
89,2,0,89,0.11275457612355967,0.18684719562968483,0.012713594436803598
90,0,1,90,0.08379254619530027,0.15412222333794723,0.0070211907978915255
91,1,1,91,0.1797581553028644,0.3687792909579573,0.03231299439788873
92,2,1,92,0.17080811707394752,0.15531942693723588,0.029175412858347356
93,0,1,93,0.07308686760784665,0.057662251946453615,0.0053416902167269026
94,1,1,94,0.16260963738672124,0.19436106666545525,0.026441894171040974
95,2,0,95,0.19580049046286324,0.2772518553995542,0.0383378320654978
96,2,0,96,0.18779360329772193,0.3247001502581144,0.03526643743954217
97,0,1,97,0.2624481668813467,0.40040179304351176,0.0688790402993792
98,3,0,98,0.11585225355429064,0.33275407012283464,0.013421744653607648
99,3,1,99,0.19019474261591002,0.1605004871771073,0.03617404011873224
100,1,1,100,1.9996455762361893,4.711761882296267,0.017745351508300984
101,0,0,101,0.13457813622027617,0.1394520341169781,0.018111274748523216
102,2,1,102,0.14728863687662883,0.2054473672573344,0.02169394255297542
103,1,0,103,0.17055747087285486,0.18978144615742376,0.029089850870544724
104,0,1,104,0.2060974214930456,0.2144201218336012,0.042476147146082104
105,1,1,105,0.1984635310475707,0.1680183668352806,0.03938777315587003
106,2,0,106,0.13316656203210733,0.2459721282145028,0.01773333324345107
107,3,0,107,0.21468037869638032,0.5600889043055408,0.04608766499722122
108,2,0,108,0.12234854961205728,0.18452826275668666,0.01496916759217404
109,3,1,109,0.17350331151209464,0.3591566419575322,0.030103399105662957
110,1,1,110,0.12622704609451924,0.02923469375662285,0.015933267165747868
111,0,0,111,0.1753520764082869,0.17976592333114857,0.030748350700697688
112,2,1,112,0.05485136891778377,0.11056110791161361,0.0030086726721548153
113,1,1,113,1.9992156830533123,3.3742803475016285,0.015419861230904355
114,0,0,114,0.08653691643362559,0.07005264169847247,0.007488637905840291
115,1,0,115,1.9994650530413407,5.3795729508673995,0.02088011660490827
116,2,0,116,0.28198728047266214,0.5756130672757473,0.07951682634836782
117,1,1,117,0.2002525108847418,0.3919065293579463,0.04010106811564364
118,2,1,118,0.11526974787339268,0.10981684573403962,0.013287114774795515
119,1,1,119,0.15343050561407165,0.17437696876844536,0.023540920052989675
120,1,1,120,0.2160360583185066,0.44299432777353315,0.046671578493797196
121,3,1,121,0.2178618666398778,0.23556739417665884,0.0474637929358119
122,0,0,122,0.17505439200435755,0.3859984544593542,0.030644040160015276
123,0,0,123,0.12594262756173405,0.15692103291306714,0.015861545437153648
124,0,1,124,0.12060253502337188,0.21025229394105494,0.01454497145406365
125,0,0,125,0.18080117310637334,0.15265159538856066,0.03268906419664076
126,2,0,126,0.1415792375741572,0.06406503041637414,0.020044680512079634
127,0,0,127,0.13018263579465622,0.09883624807136338,0.016947518662444098
128,3,0,128,0.07961493025053457,0.10019566284560982,0.006338537118797475
129,2,0,129,0.13477208215790656,0.1419475834294608,0.01816351412917751
130,3,0,130,0.14393964118861674,0.20362205653934629,0.02071862030550774
131,0,0,131,0.08152007339046886,0.08134281306065472,0.006645522365587431
132,2,1,132,0.11395951121602879,0.06345044401407422,0.01298677019659619
133,3,0,133,0.1874558522243543,0.24117067437115308,0.03513969653315895
134,2,0,134,0.18644148022712145,0.2955514604280495,0.03476042554928012
135,0,0,135,0.17002931534136032,0.1412078808527894,0.028909968075451726
136,0,0,136,0.10110004963582436,0.18393198798874752,0.010221220036366142
137,0,0,137,0.1295822081465062,0.32024761930839685,0.016791548668124462
138,3,0,138,0.17713255492123514,0.12697263960336694,0.031375942012924395
139,3,1,139,0.17779830484963427,0.1342936204702692,0.03161223720740349
140,1,1,140,0.11231320133968044,0.12430998028261014,0.012614255195167593
141,2,1,141,0.16353855827702585,0.06482213241359143,0.026744860043328187
142,0,1,142,0.08076170343876038,0.07793457666526733,0.006522452742330281
143,1,0,143,1.998992642860429,1.7669074741173254,0.047604128591449274
