,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,0,1,0,0.19912002015659347,0.29899645334553593,0.039661089000253634
1,0,1,1,0.18909373049935632,0.3359962249301913,0.03576135803217762
2,0,0,2,0.22284758664156634,0.282824180429747,0.04970919594383191
3,0,0,3,1.9998056315798414,3.973425690418946,0.030382677759859384
4,1,2,4,0.1815872273350612,0.2967722914111669,0.03297360459387756
5,3,0,5,0.1770353464648493,0.2782648607478301,0.031353919592345895
6,3,1,6,0.194145132104786,0.25459781757116984,0.037709725598096606
7,1,1,7,0.13681545490418004,0.2285225145112743,0.018721444756696785
8,1,2,8,1.9999998826885985,3.6853589573501235,0.02857532195002261
9,3,0,9,0.17257996933599326,0.2201122487482529,0.029795554801249076
10,2,2,10,0.16419573738486862,0.20666190018681613,0.02696016051904897
11,0,0,11,0.1460182607157306,0.32363037299188635,0.021319056787078187
12,3,0,12,0.15237126408516952,0.19545239705773554,0.023227014878133653
13,1,2,13,0.19312564202998764,0.3091108700490691,0.037317620069588296
14,2,1,14,0.13426774625254795,0.2369915438895271,0.018031423843422392
15,0,2,15,0.2377251666775315,0.4136979563903808,0.05655913615765753
16,0,2,16,0.23496703030074148,0.4769671876902215,0.05521434247891506
17,1,1,17,0.14392459584653453,0.17295085913188163,0.02071434012401854
18,2,1,18,0.19859239334458928,0.28049060148881577,0.03945405344977396
19,1,1,19,0.14391270434209133,0.20941678996811008,0.020712945293544702
20,2,0,20,0.1875317843822862,0.3227820713757892,0.03518316567362832
21,1,1,21,0.2010812952883422,0.34746334182176297,0.04043493602442563
22,1,0,22,0.21301583984022168,0.3061258370028338,0.04540258937097252
23,0,2,23,0.21405393530961686,0.29697984464275257,0.04584901850442104
24,0,0,24,0.1361729885110397,0.19385818762177176,0.018550288180196117
25,3,2,25,0.1625979715081952,0.30812420232367804,0.026442940739459755
26,0,1,26,0.1884351736081786,0.3163909518806699,0.035515523402454556
27,3,2,27,0.18466539192663953,0.30140140949226757,0.03410805827868531
28,2,0,28,0.2132382221016413,0.19586035899676774,0.0455331609258275
29,1,1,29,0.2217209761058683,0.3647551111922528,0.0491576076130913
30,2,2,30,0.15320140470640242,0.19470073248615186,0.02347929016758097
31,0,2,31,0.16487217691014805,0.3267475691214663,0.02719469436691532
32,1,0,32,0.16144495414445717,0.23583355391592406,0.026065614760798623
33,0,2,33,0.18054635108896608,0.40516568215937776,0.03260771909872666
34,1,1,34,0.18376250606597563,0.28423503893415586,0.033782524809562606
35,1,2,35,0.1561742262683044,0.303066770323293,0.024392456480549742
36,0,0,36,0.17450683346737172,0.23031766067128795,0.0304547770588428
37,1,2,37,0.17853232296102026,0.385375573681227,0.03187593446351311
38,2,2,38,0.17714208964164413,0.29310330966432474,0.031402419098549156
39,1,1,39,0.16742582069254489,0.29946472787199274,0.028031861325850307
40,2,1,40,0.21625401845271708,0.3548239215543064,0.04684314588334792
41,3,1,41,0.17315809097469897,0.2164735217732597,0.02997806666537722
42,2,0,42,0.19616845513283968,0.35585226370525197,0.038483161718093434
43,0,2,43,0.11736217865521434,0.1452806887279037,0.013775665501317116
44,2,0,44,0.1414300837172868,0.20028701566003337,0.020002686251170975
45,2,2,45,0.16204036419456622,0.19274023747748342,0.026269882255047963
46,2,2,46,0.20332324706570082,0.2840774386754977,0.04135230333823582
47,3,2,47,0.20415858853867838,0.4280962909406061,0.04171205823726564
48,2,2,48,0.09857358855555552,0.1465731571979198,0.009721470436626755
49,3,2,49,0.21034230660067058,0.3629374649899275,0.04426403658853641
50,0,1,50,0.2143460257529108,0.3960737573077567,0.045978099410062014
51,0,1,51,0.1142671213100226,0.2604144433478392,0.013056975012479434
52,1,0,52,0.23107431552289237,0.3683054204909335,0.05346895897063394
53,2,2,53,0.1488961994076768,0.20661524888849764,0.02217974471679895
54,1,0,54,0.22228237731655043,0.39232744236737965,0.049454882584008326
55,3,1,55,1.999838216832547,4.388634610396209,0.021268678335662355
56,2,1,56,0.1960713424404265,0.4187906625605173,0.03845587510407074
57,1,0,57,0.17686850867298273,0.3028117510283176,0.03128749075530781
58,0,0,58,0.2225138937855808,0.3390942138574181,0.04957031882849129
59,3,1,59,0.21398420477789704,0.42887371824911735,0.04580607562741541
60,2,2,60,0.1458750938817541,0.24660317170702764,0.021278307445919933
61,1,2,61,0.21584042558231997,0.45483537273925023,0.046617645611534086
62,3,2,62,0.15022563819891635,0.19430080770365726,0.022574770704943722
63,2,2,63,0.20151154977626284,0.3246421639915653,0.04060996512456717
64,1,2,64,0.18674366732820347,0.277721843261946,0.0348890583845426
65,3,1,65,0.22361823590689692,0.32476785199634006,0.05002396083998444
66,3,0,66,1.9998784323535481,4.5798109712558075,0.021817882356619932
67,2,1,67,1.9999976075011279,5.276549026369647,0.039267501803885524
68,1,2,68,0.13587602790848516,0.26587658346223453,0.018463321091410734
69,1,0,69,0.1226655865348213,0.2342293093446289,0.0150474472210171
70,3,2,70,0.2295460220584137,0.37882216809469277,0.05270872702364392
71,3,0,71,0.20445318235259918,0.3552460635361393,0.04181437319237571
72,2,2,72,0.13577228667608676,0.24812490389690908,0.01843790411895583
73,2,1,73,0.17990483957869804,0.2533412219442579,0.03238286921278577
74,0,1,74,0.16877774894184763,0.27977715243241885,0.028495011277479342
75,1,2,75,0.15922982343310696,0.21124803880711648,0.025359458031448352
76,1,0,76,0.14973044640497893,0.2697430182399129,0.02242092222080305
77,2,1,77,0.18846342949005082,0.3043303679173339,0.035528984759751615
78,0,1,78,0.18355772971701817,0.2629373644778484,0.03369690776064621
79,0,0,79,1.9999670119836275,5.4347983344176924,0.0268588377585757
80,0,1,80,0.20098182085380575,0.3024437113611854,0.04040165747638769
81,2,0,81,0.15299364118010286,0.24505960718504533,0.023417520801114058
82,0,0,82,0.17245625073970705,0.3439486284091853,0.029747542721242772
83,2,1,83,0.19363291724324666,0.3749733687542275,0.037494881681878645
84,1,1,84,0.2271938018427558,0.31700468027565043,0.051678535696251214
85,2,2,85,0.15148553761199646,0.24437614570586175,0.022953150512827016
86,0,0,86,0.17470227246269796,0.3372034645198649,0.030526490120542378
87,2,0,87,0.15536978265588175,0.32606328212219415,0.024145977801248997
88,3,2,88,0.2643806939956821,0.38659258724831536,0.06999709559471289
89,3,0,89,0.1821307963532347,0.23808332928041387,0.03318182282867799
90,3,0,90,0.20300523128532863,0.20565265310999267,0.04124964746471302
91,2,2,91,0.14918673748016234,0.18380423817381725,0.022262027612102747
92,2,0,92,0.14142605771236552,0.21880106412598566,0.02000154475664553
93,1,0,93,0.2103005841706358,0.3257024526135381,0.044247780802767145
94,2,1,94,0.16552788550340208,0.28161693115022524,0.027414144397019172
95,0,1,95,0.199893289797365,0.2607343262198888,0.03999048956879228
96,0,1,96,0.20386795277732858,0.31528535180356304,0.041574723499147516
97,2,2,97,0.19255252518266372,0.2368810656641563,0.03709756839677471
98,3,0,98,0.12665121938559767,0.19189226855886504,0.01604333990562957
99,0,0,99,0.18361542999577762,0.21717218524360343,0.033735788906785434
100,2,1,100,0.16853091642400253,0.35426274604255664,0.0284019383262665
101,2,2,101,0.14144639778760137,0.1991762095055099,0.020012640354930365
