,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,2,3,0,0.012607999288404897,0.02596306065445697,0.0001589616460564182
1,1,3,1,0.017998510514096996,0.03636632947532985,0.00032394638072606
2,2,1,2,0.01894429860413083,0.02813669876877077,0.0003588864496024732
3,3,2,3,0.01476778052472888,0.028234817828257264,0.00021808734162656157
4,3,0,4,0.016404519300046775,0.04491801352221043,0.0002691082534656089
5,0,1,5,0.01680485061152311,0.030277049286149327,0.0002824030040756089
6,1,2,6,0.013634919907412505,0.02820809699696141,0.00018591104088155376
7,3,0,7,0.008066764941612965,0.030683003787697925,6.507269662323604e-05
8,1,3,8,0.01309785656394789,0.02897090284731303,0.0001715538465697528
9,0,1,9,0.010061481581783056,0.017001785320816892,0.00010123341162055971
10,2,0,10,0.009890672522680378,0.020769855081695196,9.782540295090457e-05
11,3,0,11,0.012463802696588361,0.024927419984958885,0.00015534637765948406
12,2,1,12,0.016243957454117986,0.020953118731606563,0.0002638661537711953
13,0,3,13,0.013632961000398992,0.019791273952446745,0.0001858576256383999
14,1,1,14,0.012173101307590504,0.023849312800890008,0.00014818439544486207
15,0,0,15,0.014903776752331493,0.02556600452915035,0.00022212256148333655
16,2,0,16,0.01298522433105791,0.019882485527785147,0.00016861605092789828
17,1,1,17,0.008209343464207867,0.023772660611843376,6.739332011333251e-05
18,3,1,18,0.010537566025346948,0.019694108378033107,0.00011104029773854632
19,0,0,19,0.013235946376296617,0.025550726889205788,0.00017519027647619936
20,3,3,20,0.014211985549879454,0.024018235451406324,0.0002019805332699823
21,0,1,21,0.01624370783142622,0.027136300241932754,0.00026385804411273946
22,1,1,22,0.011989137406736294,0.0312725868787943,0.00014373941575760354
23,3,0,23,0.01380401020980718,0.02564969197155737,0.00019055069787246107
24,1,3,24,0.016435284156787064,0.03445606131682603,0.000270118565314338
25,0,3,25,0.015261626826936669,0.028936636355480706,0.00023291725340467292
26,2,3,26,0.012060023926085213,0.017006762690061773,0.00014544417709774814
27,0,2,27,0.013412118728988329,0.022354771853802025,0.00017988492880047953
28,2,3,28,0.01375313296028215,0.028798254894082515,0.00018914866622319997
29,3,0,29,0.016461281006709436,0.03191668633453921,0.00027097377238185285
30,2,2,30,0.011532651675907895,0.023194809614508427,0.00013300205467782155
31,3,3,31,0.014057041769742719,0.034496596096464105,0.00019760042331629234
32,1,3,32,0.012697682967723825,0.029273849796646156,0.00016123115274882389
33,3,2,33,0.016014819412589216,0.03224452038554232,0.00025647444081784417
34,1,0,34,0.010159016061751777,0.027687783338786666,0.00010320560734293057
