,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,0,1,0,0.2348736035184325,0.6637968226407407,0.05518318040919645
1,0,1,1,0.25631771056923736,0.49287931157055204,0.065721780168847
2,0,3,2,0.331009320389616,0.6107609307007318,0.10965961675811788
3,2,0,3,0.27285646004277747,0.43477762244620277,0.07448329461991765
4,2,2,4,1.9999779279798,8.305367840340118,0.09341187219824995
5,0,0,5,1.9999850381071684,6.347603094576617,0.09256947957412497
6,0,3,6,0.3400799868583267,0.6615177166112652,0.11571289823486125
7,2,1,7,0.3165339304243078,0.5285902289884887,0.10025849080640041
8,3,3,8,0.36368917997742917,0.6384013298555283,0.13226799466967648
9,1,1,9,0.40864290509794227,0.9284233648918904,0.1668931255097931
10,3,0,10,0.2957851164495653,0.5256359269599251,0.0875139651097353
11,0,3,11,0.35702372024456713,0.6644377720322141,0.12763595362580193
12,3,1,12,0.39393280520571244,0.8728650630593597,0.15510258988788708
13,0,1,13,0.32083364703492045,0.6362757732710314,0.10296605793891343
14,3,2,14,0.33239726192888114,0.6765058059690849,0.11052715676079447
15,3,2,15,0.3857593303394352,0.8547273168811009,0.1490615790029171
16,2,1,16,0.36442091342031274,0.7154200293699109,0.13291354534119287
17,0,3,17,1.9999990128552654,6.372733463992505,0.11620209723909211
18,1,1,18,0.2909437933616024,0.7059582958208571,0.08464650073634669
19,1,2,19,1.9999923742545016,7.273591992515748,0.09710526878178963
20,1,3,20,0.23756552798761427,0.47340960251901787,0.056452827389285774
21,3,0,21,0.27116045603030137,0.5733077833214201,0.07356552960609679
22,2,2,22,0.3508910848672317,0.6559602786839267,0.12320920396323651
23,3,3,23,1.9999908408458205,5.659829313415457,0.1174762077227778
24,3,2,24,0.29096624722022746,0.5660294018193193,0.0846525487626859
25,1,2,25,0.30337606071042383,0.5990120311699018,0.09212446365068724
26,0,1,26,0.2165095511393468,0.4230947920852138,0.04687453264950967
27,2,1,27,0.24556535693615109,0.37618464550025144,0.06030668870201924
28,1,2,28,0.21925541407701593,0.4719153273899952,0.048072923810392756
29,1,2,29,0.3527227408891011,0.5582999338183894,0.12445643187072718
30,2,1,30,0.3277709170186646,0.7522010381387491,0.10750944617585244
31,2,2,31,0.2589877384303093,0.46942057626359157,0.06708226850262564
32,2,2,32,0.30564080146309597,0.5191598443664287,0.09347892060386066
33,3,3,33,0.3538067687686694,0.7509219946606065,0.12511438537178157
34,1,1,34,0.31523765089325295,0.5967300509891214,0.09935686881659146
35,3,3,35,0.342894503032529,0.5249371994714761,0.1176196372488079
36,0,2,36,0.38439731916899283,0.7179897125159403,0.1478535691772097
37,3,1,37,1.9999245905925251,7.097922207626503,0.058779762577828326
38,3,1,38,0.33424152157691106,0.6422824246397999,0.11188024844007516
39,3,3,39,0.2545793388375884,0.4901257012539111,0.06480514768248315
40,1,0,40,0.26331113847636023,0.48505549902322453,0.06932612362844455
41,3,1,41,0.2849988856221695,0.5881109247427636,0.08124806268127757
42,3,1,42,0.31482352196411506,0.6119114144147962,0.09909179907834804
43,1,1,43,0.279278823365611,0.5192008446502447,0.07801267417298079
44,0,2,44,0.3067790019351462,0.40712779050729975,0.09412671432794323
45,3,1,45,0.26875557354274543,0.49227900069082187,0.07224553773942544
46,0,1,46,0.28791922712478946,0.5575373573790107,0.08291067054841511
47,1,1,47,0.2595603182236952,0.5280671357072433,0.06739399634175278
48,0,3,48,1.9999988767303771,7.4356992581531784,0.11977126698644527
49,3,2,49,0.2815031713198412,0.540632201783119,0.07924379335532904
50,1,1,50,0.2707603010860952,0.45118519826550135,0.07335679869413128
51,0,3,51,0.3222663633063482,0.7450478091192179,0.10394205992171705
52,3,3,52,0.32891496561705663,0.5586747625694655,0.10826384226401137
53,3,3,53,0.3110327595747524,0.5157766838965283,0.09678739273263987
54,2,0,54,0.29672114610496864,0.5983250263056654,0.08803966647370963
55,0,0,55,0.3057812629006175,0.670133993402003,0.09353890805509309
56,0,0,56,0.3132316514767231,0.630713827841014,0.09811244022860732
57,2,2,57,1.9998271700822077,5.879460736804067,0.11350576187821963
58,0,1,58,0.2562210273170377,0.5264087769585626,0.0656800876881652
59,2,0,59,0.2920277072581755,0.6560937032237872,0.08530935123309061
60,1,3,60,0.3250952115396341,0.5420587709011893,0.10580222907462386
61,0,3,61,0.23675104246791065,0.4129628336604611,0.05606349551540265
62,3,0,62,1.9999994926386688,6.612790481533433,0.13082897307949926
63,1,2,63,0.3457962695871723,0.7586323403364847,0.11967635267019622
64,1,3,64,0.2763633581464046,0.4565951865781268,0.07640134707206181
65,0,3,65,0.3177319360846738,0.6986371074307468,0.10103480573268629
66,2,1,66,0.2913268665453921,0.5062084225185005,0.08490723556822376
67,0,3,67,1.9999984578263093,7.714579990899541,0.11364210237969874
68,0,2,68,0.2955456600901116,0.5488012752566683,0.08733082822284409
69,2,1,69,0.30160187293968027,0.5904965464359175,0.09094977627964639
70,3,3,70,0.3508401540235586,0.790396409735791,0.12312160694310195
71,0,3,71,0.28677594419745384,0.5691735260002877,0.08223234402429888
72,3,3,72,0.33547407594027745,0.6537798892722244,0.11261586859588948
73,3,1,73,0.2882034018763825,0.6508541027025978,0.08305715397315756
