,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,1,1,0,0.02818061541306256,0.05854249338295322,0.0007941598246564425
1,4,1,1,0.019751195096581815,0.02361239956655011,0.0003901115679567747
2,2,0,2,0.023130623454686104,0.03992773669310235,0.0005350277770385334
3,4,2,3,0.028536813341831963,0.04988273501253507,0.0008143521991827115
4,2,1,4,0.01822267753641218,0.026601007827438936,0.0003320662059974122
5,0,1,5,0.02970581559258698,0.04677164580298085,0.0008824529352866634
6,3,1,6,0.03432652473184176,0.040834925003846695,0.0011783315685121177
7,0,0,7,0.029650329640566655,0.05991544023741043,0.0008791491173659647
8,0,0,8,0.024052108700462028,0.03676099856354829,0.0005785066312323073
9,1,0,9,0.018192655987938303,0.025648387971196368,0.0003309731361614102
10,4,1,10,0.027358517647740273,0.043264926729539986,0.000748491493773478
11,0,0,11,0.02331256363749259,0.022694677277961848,0.0005434833518030515
12,0,2,12,0.02465545895546516,0.03288949277670472,0.0006078921242545541
13,4,2,13,0.022435901393617647,0.02954739648978746,0.0005033707340877382
14,1,1,14,0.017165242667751556,0.027015731838767362,0.0002946463953780964
15,3,0,15,0.026479129803185918,0.03348045959690591,0.0007011518805207338
16,1,1,16,0.019393542526319058,0.0340642429919643,0.0003761106338177549
17,3,1,17,0.02060478359936346,0.04014159129648984,0.0004245598490236457
18,4,0,18,0.02273681580796535,0.0292748120713876,0.0005169670505106033
19,4,2,19,0.02071387070198845,0.031299348109947736,0.0004290658079259253
20,4,1,20,0.0295440031813361,0.04237705392101715,0.0008728551018569257
21,4,2,21,0.021023089682692706,0.024372081699741407,0.00044197121674837634
22,3,0,22,0.022954871853056488,0.036596443281284245,0.0005269249466951895
23,2,0,23,0.02084141012929583,0.03854984321504491,0.00043436669078221636
24,2,2,24,0.019202625316269387,0.024642494869439487,0.00036874185137641816
25,1,0,25,0.02097275254329872,0.03423051478384874,0.0004398580017964253
26,2,0,26,0.022968060353995828,0.04115606214282794,0.0005275312157461596
